Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-09,PHI vs. IND,PHI,IND,Home,W,9.42,7,3,5,60.0,1,3,33.3,0,0,0.0,0,1,1,6,1,0,1,1,-2
2022-04-07,PHI @ TOR,PHI,TOR,Away,L,8.28,1,0,4,0.0,0,1,0.0,1,1,100.0,0,1,1,5,0,0,1,1,1
2022-04-05,PHI @ IND,PHI,IND,Away,W,7.29,3,1,4,25.0,1,4,25.0,0,0,0.0,0,0,0,3,0,0,1,2,-14
2022-04-03,PHI @ CLE,PHI,CLE,Away,W,6.44,3,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,2,0,0,0,0,6
2022-04-02,PHI vs. CHA,PHI,CHA,Home,W,11.41,7,2,4,50.0,1,2,50.0,2,2,100.0,0,3,3,6,1,0,2,0,21
2022-03-31,PHI @ DET,PHI,DET,Away,L,8.3,0,0,2,0.0,0,2,0.0,0,0,0.0,0,4,4,1,0,0,2,0,3
2022-03-29,PHI vs. MIL,PHI,MIL,Home,L,12.0,13,3,6,50.0,1,3,33.3,6,6,100.0,0,2,2,3,0,1,1,2,-2
2022-03-27,PHI @ PHX,PHI,PHX,Away,L,9.3,0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,2,1,0,0,0,-5
2022-03-25,PHI @ LAC,PHI,LAC,Away,W,8.33,2,0,1,0.0,0,0,0.0,2,2,100.0,0,1,1,4,1,0,2,0,-1
2022-03-23,PHI @ LAL,PHI,LAL,Away,W,11.0,16,4,7,57.1,1,3,33.3,7,7,100.0,0,2,2,2,1,0,2,0,-3
2022-03-20,PHI vs. TOR,PHI,TOR,Home,L,10.06,8,3,4,75.0,0,1,0.0,2,2,100.0,0,3,3,2,1,0,1,1,3
2022-03-18,PHI vs. DAL,PHI,DAL,Home,W,9.19,2,0,5,0.0,0,4,0.0,2,2,100.0,0,1,1,4,1,0,0,0,2
2022-03-16,PHI @ CLE,PHI,CLE,Away,W,9.52,2,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,2,1,0,3,0,-11
2022-03-14,PHI vs. DEN,PHI,DEN,Home,L,12.0,12,2,2,100.0,1,1,100.0,7,8,87.5,0,3,3,5,0,1,3,1,2
2022-03-13,PHI @ ORL,PHI,ORL,Away,W,9.27,5,1,3,33.3,1,2,50.0,2,2,100.0,0,2,2,2,2,0,1,0,6
2022-03-10,PHI vs. BKN,PHI,BKN,Home,L,8.18,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,2,1,-8
2022-03-07,PHI vs. CHI,PHI,CHI,Home,W,8.22,1,0,2,0.0,0,1,0.0,1,2,50.0,0,3,3,4,0,0,0,0,8
2022-03-04,PHI vs. CLE,PHI,CLE,Home,W,10.38,8,1,1,100.0,1,1,100.0,5,5,100.0,0,2,2,5,0,0,1,0,7
2022-03-02,PHI vs. NYK,PHI,NYK,Home,W,8.04,5,1,1,100.0,0,0,0.0,3,3,100.0,0,1,1,3,0,0,1,2,11
2022-02-27,PHI @ NYK,PHI,NYK,Away,W,9.11,5,2,3,66.7,0,1,0.0,1,1,100.0,0,2,2,3,1,0,1,3,-6
2022-02-25,PHI @ MIN,PHI,MIN,Away,W,9.36,3,1,2,50.0,1,2,50.0,0,0,0.0,0,3,3,3,0,0,1,1,10
2022-02-02,BKN @ SAC,BKN,SAC,Away,L,8.26,0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,1,4,0,-3
2022-02-01,BKN @ PHX,BKN,PHX,Away,L,12.0,5,2,8,25.0,1,3,33.3,0,0,0.0,0,2,2,3,0,0,0,0,-2
2022-01-25,BKN vs. LAL,BKN,LAL,Home,L,12.0,11,2,6,33.3,1,3,33.3,6,6,100.0,2,3,5,3,1,0,1,0,-5
2022-01-23,BKN @ MIN,BKN,MIN,Away,L,12.0,6,3,5,60.0,0,1,0.0,0,0,0.0,0,3,3,4,0,0,2,1,3
2022-01-21,BKN @ SAS,BKN,SAS,Away,W,12.0,12,4,8,50.0,1,2,50.0,3,3,100.0,0,3,3,4,0,0,1,1,6
2022-01-19,BKN @ WAS,BKN,WAS,Away,W,8.2,3,1,6,16.7,0,3,0.0,1,2,50.0,0,0,0,1,0,0,3,0,-3
2022-01-17,BKN @ CLE,BKN,CLE,Away,L,8.5,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,1,-1
2022-01-15,BKN vs. NOP,BKN,NOP,Home,W,10.26,7,2,4,50.0,0,1,0.0,3,3,100.0,0,2,2,3,0,0,2,2,-12
2022-01-13,BKN vs. OKC,BKN,OKC,Home,L,8.58,2,1,4,25.0,0,2,0.0,0,0,0.0,0,3,3,3,1,1,1,0,6
2022-01-12,BKN @ CHI,BKN,CHI,Away,W,9.23,8,2,4,50.0,2,4,50.0,2,2,100.0,0,2,2,5,0,0,0,0,13
2022-01-09,BKN vs. SAS,BKN,SAS,Home,W,8.27,2,1,3,33.3,0,1,0.0,0,0,0.0,0,3,3,2,1,0,2,2,2
2022-01-07,BKN vs. MIL,BKN,MIL,Home,L,10.13,10,4,5,80.0,1,2,50.0,1,1,100.0,0,2,2,2,0,0,2,1,-9
2022-01-05,BKN @ IND,BKN,IND,Away,W,8.59,8,2,4,50.0,0,2,0.0,4,5,80.0,0,0,0,3,0,0,0,0,-4
2022-01-03,BKN vs. MEM,BKN,MEM,Home,L,9.46,2,0,4,0.0,0,3,0.0,2,2,100.0,1,2,3,2,0,1,1,0,-7
