Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,MIL @ DET,MIL,DET,Away,W,4.09,10,4,6,66.7,0,1,0.0,2,2,100.0,0,1,1,2,0,0,0,0,3
2022-04-07,MIL vs. BOS,MIL,BOS,Home,W,10.24,5,1,5,20.0,0,0,0.0,3,5,60.0,1,2,3,1,1,1,0,1,8
2022-04-05,MIL @ CHI,MIL,CHI,Away,W,2.0,5,2,3,66.7,0,0,0.0,1,3,33.3,0,1,1,0,0,0,0,1,1
2022-04-03,MIL vs. DAL,MIL,DAL,Home,L,12.0,8,2,4,50.0,0,1,0.0,4,6,66.7,1,3,4,0,0,0,1,1,-3
2022-03-31,MIL @ BKN,MIL,BKN,Away,W,9.41,9,2,4,50.0,1,3,33.3,4,6,66.7,1,5,6,0,1,0,5,0,6
2022-03-29,MIL @ PHI,MIL,PHI,Away,W,9.04,12,4,5,80.0,0,0,0.0,4,6,66.7,0,3,3,0,0,2,0,1,8
2022-03-26,MIL @ MEM,MIL,MEM,Away,L,1.54,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,0
2022-03-22,MIL vs. CHI,MIL,CHI,Home,W,2.22,2,1,2,50.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,0,0,6
2022-03-16,MIL @ SAC,MIL,SAC,Away,W,9.25,8,3,6,50.0,0,0,0.0,2,2,100.0,0,1,1,1,2,0,0,0,4
2022-03-14,MIL @ UTA,MIL,UTA,Away,W,10.19,11,4,8,50.0,0,0,0.0,3,3,100.0,0,8,8,0,0,0,0,1,7
2022-03-12,MIL @ GSW,MIL,GSW,Away,L,4.24,0,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,2,0,0,0,0,-3
2022-03-09,MIL vs. ATL,MIL,ATL,Home,W,11.31,12,4,4,100.0,0,0,0.0,4,5,80.0,1,1,2,2,0,0,0,1,2
2022-03-08,MIL @ OKC,MIL,OKC,Away,W,4.53,11,5,6,83.3,1,1,100.0,0,0,0.0,0,0,0,2,0,0,0,1,0
2022-03-06,MIL vs. PHX,MIL,PHX,Home,W,6.31,1,0,0,0.0,0,0,0.0,1,2,50.0,2,0,2,3,0,2,1,3,-3
2022-03-04,MIL @ CHI,MIL,CHI,Away,W,12.0,10,3,7,42.9,0,1,0.0,4,8,50.0,3,3,6,2,0,0,0,2,13
2022-03-02,MIL vs. MIA,MIL,MIA,Home,W,12.0,14,4,9,44.4,0,1,0.0,6,6,100.0,2,3,5,0,1,0,0,0,5
2022-02-28,MIL vs. CHA,MIL,CHA,Home,W,2.31,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,2,0,1,1,0,0
2022-02-26,MIL vs. BKN,MIL,BKN,Home,L,12.0,6,1,6,16.7,0,2,0.0,4,6,66.7,0,8,8,4,0,0,2,2,0
2022-02-17,MIL vs. PHI,MIL,PHI,Home,L,12.0,16,6,7,85.7,2,3,66.7,2,2,100.0,0,4,4,2,1,0,2,3,4
2022-02-15,MIL vs. IND,MIL,IND,Home,W,9.13,19,7,7,100.0,1,1,100.0,4,7,57.1,0,3,3,0,0,0,0,1,3
2022-02-08,MIL @ LAL,MIL,LAL,Away,W,7.57,13,6,8,75.0,0,0,0.0,1,2,50.0,0,3,3,0,1,0,0,2,-3
