Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-03-22,POR @ UTA,POR,UTA,Away,W,33.37,30,8,19,42.1,2,10,20.0,12,14,85.7,1,6,7,12,0,0,2,1,18
2023-03-19,POR vs. LAC,POR,LAC,Home,L,38.41,21,4,17,23.5,1,8,12.5,12,13,92.3,1,6,7,9,1,1,4,0,-20
2023-03-17,POR vs. BOS,POR,BOS,Home,L,36.56,41,12,23,52.2,6,15,40.0,11,14,78.6,1,3,4,5,1,1,7,3,-14
2023-03-14,POR vs. NYK,POR,NYK,Home,L,39.02,38,11,26,42.3,8,17,47.1,8,9,88.9,2,5,7,7,0,0,4,3,-5
2023-03-10,POR @ PHI,POR,PHI,Away,L,38.43,22,6,15,40.0,2,8,25.0,8,8,100.0,0,6,6,11,0,0,2,2,3
2023-03-08,POR @ BOS,POR,BOS,Away,L,29.5,27,7,16,43.8,2,8,25.0,11,11,100.0,0,5,5,8,1,0,5,2,-16
2023-03-06,POR @ DET,POR,DET,Away,W,38.04,31,10,28,35.7,6,14,42.9,5,6,83.3,2,11,13,12,1,1,4,0,8
2023-03-05,POR @ ORL,POR,ORL,Away,W,36.39,41,10,25,40.0,4,16,25.0,17,20,85.0,3,6,9,6,2,1,5,2,10
2023-03-03,POR @ ATL,POR,ATL,Away,L,36.41,33,10,21,47.6,5,11,45.5,8,9,88.9,1,3,4,8,2,0,3,2,-13
2023-03-01,POR vs. NOP,POR,NOP,Home,L,39.27,41,12,22,54.5,2,9,22.2,15,16,93.8,0,8,8,0,1,0,4,1,2
2023-02-28,POR @ GSW,POR,GSW,Away,L,35.11,25,9,21,42.9,2,7,28.6,5,5,100.0,3,0,3,7,3,0,2,4,0
2023-02-26,POR vs. HOU,POR,HOU,Home,W,39.11,71,22,38,57.9,13,22,59.1,14,14,100.0,1,5,6,6,0,0,2,0,21
2023-02-14,POR vs. WAS,POR,WAS,Home,L,38.39,39,14,30,46.7,5,17,29.4,6,7,85.7,1,9,10,6,1,0,6,1,-13
2023-02-13,POR vs. LAL,POR,LAL,Home,W,33.34,40,13,23,56.5,8,14,57.1,6,7,85.7,0,6,6,5,0,1,3,1,11
2023-02-10,POR vs. OKC,POR,OKC,Home,L,35.54,38,10,18,55.6,6,13,46.2,12,13,92.3,1,1,2,9,1,0,6,3,-21
2023-02-08,POR vs. GSW,POR,GSW,Home,W,39.39,33,8,21,38.1,1,7,14.3,16,16,100.0,3,7,10,11,1,0,5,1,2
2023-02-06,POR vs. MIL,POR,MIL,Home,L,31.51,28,7,18,38.9,2,7,28.6,12,12,100.0,0,4,4,5,1,0,1,2,-10
2023-02-04,POR @ CHI,POR,CHI,Away,L,40.31,40,12,21,57.1,5,12,41.7,11,11,100.0,1,4,5,5,1,0,3,3,2
2023-02-03,POR @ WAS,POR,WAS,Away,W,39.57,29,9,20,45.0,3,10,30.0,8,8,100.0,0,3,3,6,0,0,2,1,5
2023-02-01,POR @ MEM,POR,MEM,Away,W,39.52,42,11,22,50.0,5,13,38.5,15,16,93.8,1,7,8,10,0,1,2,2,6
2023-01-30,POR vs. ATL,POR,ATL,Home,W,38.07,42,10,21,47.6,5,12,41.7,17,17,100.0,1,1,2,6,0,0,0,3,6
2023-01-28,POR vs. TOR,POR,TOR,Home,L,36.56,30,10,20,50.0,2,9,22.2,8,9,88.9,1,3,4,3,0,0,4,4,-24
2023-01-25,POR vs. UTA,POR,UTA,Home,W,39.33,60,21,29,72.4,9,15,60.0,9,10,90.0,0,7,7,8,3,0,4,1,11
2023-01-23,POR vs. SAS,POR,SAS,Home,W,30.43,37,12,19,63.2,7,11,63.6,6,6,100.0,0,1,1,12,1,0,3,2,6
2023-01-22,POR vs. LAL,POR,LAL,Home,L,39.59,24,5,17,29.4,3,13,23.1,11,13,84.6,1,5,6,10,0,0,1,2,-13
2023-01-19,POR vs. PHI,POR,PHI,Home,L,39.53,25,6,21,28.6,3,13,23.1,10,10,100.0,1,5,6,11,2,2,6,1,-4
2023-01-17,POR @ DEN,POR,DEN,Away,L,34.26,44,12,20,60.0,6,12,50.0,14,14,100.0,0,3,3,8,0,0,2,4,-20
2023-01-15,POR vs. DAL,POR,DAL,Home,W,36.52,40,10,17,58.8,4,9,44.4,16,16,100.0,0,3,3,6,1,0,1,1,25
2023-01-14,POR vs. DAL,POR,DAL,Home,W,29.17,36,11,20,55.0,4,11,36.4,10,10,100.0,0,5,5,10,0,0,1,2,12
2023-01-12,POR vs. CLE,POR,CLE,Home,L,40.12,50,16,28,57.1,5,13,38.5,13,15,86.7,0,2,2,3,1,0,1,1,-2
