Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-06,PHI vs. MIA,PHI,MIA,Home,L,27.35,14,5,12,41.7,2,6,33.3,2,2,100.0,0,4,4,4,0,0,3,1,-14
2023-04-04,PHI vs. BOS,PHI,BOS,Home,W,40.01,20,7,17,41.2,4,9,44.4,2,2,100.0,0,5,5,10,1,2,0,1,-4
2023-04-02,PHI @ MIL,PHI,MIL,Away,L,34.18,11,4,9,44.4,1,3,33.3,2,2,100.0,1,1,2,6,1,0,5,3,-12
2023-03-31,PHI vs. TOR,PHI,TOR,Home,W,37.06,23,9,14,64.3,3,6,50.0,2,2,100.0,1,2,3,11,2,1,6,2,8
2023-03-29,PHI vs. DAL,PHI,DAL,Home,W,38.21,15,4,14,28.6,2,6,33.3,5,7,71.4,2,2,4,12,3,0,2,3,3
2023-03-20,PHI vs. CHI,PHI,CHI,Home,L,46.37,5,2,14,14.3,0,6,0.0,1,1,100.0,0,7,7,12,1,1,5,2,-11
2023-03-17,PHI @ CHA,PHI,CHA,Away,W,31.23,11,4,15,26.7,0,6,0.0,3,4,75.0,3,8,11,10,3,0,2,1,25
2023-03-15,PHI @ CLE,PHI,CLE,Away,W,40.23,28,8,18,44.4,3,9,33.3,9,12,75.0,1,5,6,12,3,0,4,4,16
2023-03-12,PHI vs. WAS,PHI,WAS,Home,W,32.48,18,6,11,54.5,3,7,42.9,3,4,75.0,0,2,2,14,1,0,3,0,25
2023-03-10,PHI vs. POR,PHI,POR,Home,W,39.1,19,6,14,42.9,2,8,25.0,5,5,100.0,1,8,9,8,0,0,2,3,-3
2023-03-06,PHI @ IND,PHI,IND,Away,W,39.32,14,3,11,27.3,1,6,16.7,7,9,77.8,1,8,9,20,0,0,1,0,13
2023-03-04,PHI @ MIL,PHI,MIL,Away,W,39.09,38,11,26,42.3,5,9,55.6,11,11,100.0,4,5,9,10,1,0,2,1,5
2023-03-02,PHI @ DAL,PHI,DAL,Away,L,38.12,27,8,12,66.7,5,7,71.4,6,6,100.0,0,4,4,13,0,0,6,1,-21
2023-03-01,PHI @ MIA,PHI,MIA,Away,W,36.37,23,6,15,40.0,4,9,44.4,7,7,100.0,2,5,7,5,0,1,3,2,17
2023-02-27,PHI vs. MIA,PHI,MIA,Home,L,39.16,20,5,14,35.7,3,8,37.5,7,8,87.5,1,5,6,12,2,0,4,1,10
2023-02-25,PHI vs. BOS,PHI,BOS,Home,L,41.23,21,5,16,31.3,2,8,25.0,9,9,100.0,1,5,6,8,3,0,4,1,9
2023-02-23,PHI vs. MEM,PHI,MEM,Home,W,39.37,31,10,16,62.5,6,9,66.7,5,7,71.4,0,7,7,7,1,2,4,2,5
2023-02-15,PHI vs. CLE,PHI,CLE,Home,W,38.19,19,5,11,45.5,3,7,42.9,6,6,100.0,0,4,4,12,1,1,3,1,5
2023-02-13,PHI vs. HOU,PHI,HOU,Home,W,31.38,28,9,18,50.0,4,9,44.4,6,7,85.7,0,2,2,10,2,2,3,1,12
