Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-07,TOR @ BOS,TOR,BOS,Away,L,29.43,19,8,15,53.3,1,3,33.3,2,2,100.0,1,2,3,2,4,0,1,3,-17
2023-04-05,TOR @ BOS,TOR,BOS,Away,L,34.51,28,10,17,58.8,0,1,0.0,8,8,100.0,2,9,11,4,2,0,1,3,1
2023-04-04,TOR @ CHA,TOR,CHA,Away,W,34.52,22,8,16,50.0,0,2,0.0,6,7,85.7,3,11,14,4,2,2,2,4,5
2023-04-02,TOR @ CHA,TOR,CHA,Away,W,38.06,36,16,24,66.7,2,7,28.6,2,2,100.0,2,5,7,7,2,0,0,1,16
2023-03-31,TOR @ PHI,TOR,PHI,Away,L,41.37,14,5,15,33.3,1,3,33.3,3,4,75.0,0,4,4,7,0,0,2,2,-15
2023-03-28,TOR vs. MIA,TOR,MIA,Home,W,37.18,26,10,20,50.0,0,5,0.0,6,6,100.0,3,6,9,5,0,1,3,2,6
2023-03-26,TOR vs. WAS,TOR,WAS,Home,W,33.34,19,7,17,41.2,1,3,33.3,4,4,100.0,2,9,11,2,1,0,3,3,-3
2023-03-24,TOR vs. DET,TOR,DET,Home,W,38.07,32,12,19,63.2,2,6,33.3,6,10,60.0,0,5,5,9,1,0,2,3,26
2023-03-22,TOR vs. IND,TOR,IND,Home,L,39.49,31,11,17,64.7,0,2,0.0,9,11,81.8,3,7,10,7,0,1,1,5,0
2023-03-19,TOR @ MIL,TOR,MIL,Away,L,38.28,13,5,14,35.7,1,5,20.0,2,2,100.0,1,11,12,7,2,0,1,1,-12
2023-03-18,TOR vs. MIN,TOR,MIN,Home,W,35.25,27,11,22,50.0,1,6,16.7,4,6,66.7,2,8,10,6,0,0,3,4,18
2023-03-16,TOR vs. OKC,TOR,OKC,Home,W,34.01,25,9,19,47.4,3,5,60.0,4,8,50.0,5,9,14,8,0,0,0,2,4
2023-03-14,TOR vs. DEN,TOR,DEN,Home,W,39.21,12,6,16,37.5,0,3,0.0,0,1,0.0,1,7,8,4,1,0,3,4,17
2023-03-10,TOR @ LAL,TOR,LAL,Away,L,37.04,12,5,13,38.5,2,5,40.0,0,0,0.0,0,4,4,2,0,1,1,3,9
2023-03-08,TOR @ LAC,TOR,LAC,Away,L,41.06,20,9,21,42.9,1,3,33.3,1,2,50.0,2,4,6,5,2,0,3,3,-12
2023-03-06,TOR @ DEN,TOR,DEN,Away,L,36.34,19,8,18,44.4,1,2,50.0,2,2,100.0,2,2,4,4,0,1,3,1,-2
2023-03-04,TOR @ WAS,TOR,WAS,Away,W,37.28,15,5,10,50.0,0,1,0.0,5,5,100.0,1,3,4,8,4,0,4,5,-4
2023-03-02,TOR @ WAS,TOR,WAS,Away,L,39.21,13,6,16,37.5,1,5,20.0,0,0,0.0,3,8,11,6,0,1,4,5,-10
2023-02-28,TOR vs. CHI,TOR,CHI,Home,W,34.17,20,7,18,38.9,1,5,20.0,5,6,83.3,3,5,8,3,1,0,1,3,3
2023-02-26,TOR @ CLE,TOR,CLE,Away,L,32.54,25,10,24,41.7,4,7,57.1,1,1,100.0,2,6,8,5,0,0,4,2,-18
2023-02-25,TOR @ DET,TOR,DET,Away,W,35.13,29,9,19,47.4,1,2,50.0,10,13,76.9,0,8,8,5,3,2,0,1,8
2023-02-23,TOR vs. NOP,TOR,NOP,Home,W,38.01,26,9,21,42.9,1,5,20.0,7,8,87.5,1,3,4,5,0,0,1,2,8
2023-02-14,TOR vs. ORL,TOR,ORL,Home,W,41.19,26,10,15,66.7,2,4,50.0,4,6,66.7,0,4,4,6,2,0,3,1,8
2023-02-12,TOR vs. DET,TOR,DET,Home,W,38.2,28,10,19,52.6,1,3,33.3,7,10,70.0,1,3,4,6,0,2,2,2,6
