Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-07,BKN vs. ORL,BKN,ORL,Home,W,35.31,6,2,11,18.2,0,6,0.0,2,2,100.0,1,6,7,14,1,0,1,3,8
2023-04-05,BKN @ DET,BKN,DET,Away,W,32.52,6,1,10,10.0,0,4,0.0,4,4,100.0,0,3,3,16,1,1,2,1,15
2023-04-04,BKN vs. MIN,BKN,MIN,Home,L,38.16,30,13,24,54.2,3,9,33.3,1,2,50.0,0,3,3,6,0,1,0,2,-3
2023-04-02,BKN vs. UTA,BKN,UTA,Home,W,34.3,17,5,13,38.5,2,5,40.0,5,6,83.3,0,4,4,12,0,0,2,1,4
2023-03-31,BKN vs. ATL,BKN,ATL,Home,W,33.26,9,3,9,33.3,1,3,33.3,2,2,100.0,0,4,4,12,2,0,2,3,21
2023-03-29,BKN vs. HOU,BKN,HOU,Home,W,38.29,20,8,11,72.7,3,4,75.0,1,4,25.0,0,4,4,11,1,0,1,3,20
2023-03-26,BKN @ ORL,BKN,ORL,Away,L,29.08,2,0,11,0.0,0,6,0.0,2,2,100.0,0,3,3,5,1,0,2,3,-2
2023-03-25,BKN @ MIA,BKN,MIA,Away,W,35.41,15,4,11,36.4,2,5,40.0,5,6,83.3,1,6,7,9,1,0,2,3,17
2023-03-23,BKN vs. CLE,BKN,CLE,Home,L,42.07,25,9,15,60.0,2,4,50.0,5,6,83.3,0,4,4,12,1,0,2,1,9
2023-03-21,BKN vs. CLE,BKN,CLE,Home,L,38.22,19,6,15,40.0,1,5,20.0,6,8,75.0,1,4,5,11,0,0,2,1,12
2023-03-19,BKN vs. DEN,BKN,DEN,Home,L,27.03,8,3,6,50.0,1,3,33.3,1,1,100.0,0,2,2,11,1,0,2,1,-24
2023-03-16,BKN vs. SAC,BKN,SAC,Home,L,38.09,18,6,15,40.0,3,7,42.9,3,8,37.5,0,3,3,7,2,1,2,3,-4
2023-03-14,BKN @ OKC,BKN,OKC,Away,L,39.24,16,5,16,31.3,0,4,0.0,6,6,100.0,1,5,6,11,2,0,6,5,-14
2023-03-12,BKN @ DEN,BKN,DEN,Away,W,37.47,15,5,15,33.3,0,7,0.0,5,6,83.3,0,6,6,16,1,1,3,5,-2
2023-03-10,BKN @ MIN,BKN,MIN,Away,W,44.31,29,11,24,45.8,3,7,42.9,4,6,66.7,1,2,3,11,1,0,1,3,6
2023-03-07,BKN @ HOU,BKN,HOU,Away,W,28.44,23,8,16,50.0,3,7,42.9,4,4,100.0,0,1,1,4,0,1,2,2,3
2023-03-05,BKN vs. CHA,BKN,CHA,Home,W,39.1,24,9,19,47.4,3,10,30.0,3,4,75.0,1,7,8,8,1,2,1,2,13
2023-03-03,BKN @ BOS,BKN,BOS,Away,W,36.18,17,6,14,42.9,1,5,20.0,4,6,66.7,1,2,3,8,3,1,3,2,5
2023-03-01,BKN @ NYK,BKN,NYK,Away,L,29.26,11,3,10,30.0,0,3,0.0,5,5,100.0,1,1,2,10,2,0,3,2,-18
2023-02-28,BKN vs. MIL,BKN,MIL,Home,L,34.32,26,9,17,52.9,5,10,50.0,3,4,75.0,0,6,6,8,1,0,4,2,-4
2023-02-26,BKN @ ATL,BKN,ATL,Away,L,41.03,20,7,16,43.8,2,7,28.6,4,4,100.0,0,4,4,8,0,0,4,4,7
2023-02-24,BKN @ CHI,BKN,CHI,Away,L,24.26,2,0,6,0.0,0,3,0.0,2,3,66.7,0,1,1,5,0,0,1,1,-31
2023-02-15,BKN vs. MIA,BKN,MIA,Home,W,35.32,9,3,4,75.0,3,4,75.0,0,0,0.0,0,4,4,5,0,0,1,4,6
2023-02-13,BKN @ NYK,BKN,NYK,Away,L,32.55,28,8,21,38.1,3,10,30.0,9,9,100.0,0,3,3,4,1,0,2,2,-4
2023-02-11,BKN vs. PHI,BKN,PHI,Home,L,31.1,9,2,10,20.0,0,4,0.0,5,6,83.3,0,6,6,6,1,0,3,3,2
2023-02-09,BKN vs. CHI,BKN,CHI,Home,W,38.34,25,8,17,47.1,2,7,28.6,7,9,77.8,1,4,5,6,4,0,1,1,25
2023-02-04,DAL @ GSW,DAL,GSW,Away,L,32.37,25,9,17,52.9,3,6,50.0,4,5,80.0,0,4,4,4,1,0,3,2,-8
2023-02-02,DAL vs. NOP,DAL,NOP,Home,W,36.08,21,4,19,21.1,2,6,33.3,11,12,91.7,1,2,3,4,1,2,3,3,-4
2023-01-30,DAL vs. DET,DAL,DET,Home,W,31.46,12,5,16,31.3,0,6,0.0,2,4,50.0,0,3,3,2,0,0,0,2,-4
2023-01-28,DAL @ UTA,DAL,UTA,Away,L,41.31,35,11,23,47.8,6,11,54.5,7,10,70.0,0,4,4,8,1,1,3,1,-7
2023-01-26,DAL @ PHX,DAL,PHX,Away,W,39.42,36,10,18,55.6,5,6,83.3,11,14,78.6,0,6,6,9,0,0,1,0,9
2023-01-24,DAL vs. WAS,DAL,WAS,Home,L,34.41,20,6,15,40.0,3,7,42.9,5,5,100.0,0,1,1,8,0,0,2,3,16
2023-01-22,DAL vs. LAC,DAL,LAC,Home,L,35.39,21,8,18,44.4,1,5,20.0,4,5,80.0,1,3,4,5,0,0,2,4,-8
2023-01-20,DAL vs. MIA,DAL,MIA,Home,W,30.42,19,5,12,41.7,3,10,30.0,6,6,100.0,0,3,3,2,0,0,1,3,13
2023-01-18,DAL vs. ATL,DAL,ATL,Home,L,39.25,20,8,18,44.4,4,10,40.0,0,2,0.0,1,3,4,7,2,0,3,1,-5
2023-01-15,DAL @ POR,DAL,POR,Away,L,34.54,28,7,15,46.7,2,6,33.3,12,14,85.7,0,0,0,9,0,0,1,5,-18
2023-01-14,DAL @ POR,DAL,POR,Away,L,33.09,25,8,12,66.7,4,6,66.7,5,5,100.0,0,1,1,5,0,0,3,2,-14
2023-01-12,DAL @ LAL,DAL,LAL,Away,W,51.15,17,7,13,53.8,2,6,33.3,1,2,50.0,0,4,4,4,0,2,3,3,8
2023-01-10,DAL @ LAC,DAL,LAC,Away,L,40.18,13,4,7,57.1,3,6,50.0,2,2,100.0,0,4,4,5,1,2,1,2,-17
2023-01-08,DAL @ OKC,DAL,OKC,Away,L,35.47,21,6,16,37.5,1,5,20.0,8,10,80.0,1,2,3,8,1,0,4,2,-2
2023-01-07,DAL vs. NOP,DAL,NOP,Home,W,32.09,12,3,6,50.0,0,2,0.0,6,8,75.0,0,1,1,4,0,0,2,1,7
2023-01-05,DAL vs. BOS,DAL,BOS,Home,L,40.02,18,6,15,40.0,2,6,33.3,4,5,80.0,0,1,1,5,0,0,2,3,-23
2023-01-02,DAL @ HOU,DAL,HOU,Away,W,37.44,11,4,12,33.3,1,5,20.0,2,2,100.0,0,1,1,4,1,0,0,1,8
2022-12-31,DAL @ SAS,DAL,SAS,Away,W,35.53,11,5,12,41.7,0,3,0.0,1,2,50.0,0,2,2,3,0,0,1,5,-6
