Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-03-22,POR @ UTA,POR,UTA,Away,W,9.25,6,2,5,40.0,0,3,0.0,2,4,50.0,1,1,2,4,0,0,0,0,-5
2023-03-19,POR vs. LAC,POR,LAC,Home,L,11.21,5,1,4,25.0,0,3,0.0,3,3,100.0,0,2,2,6,1,0,1,0,-8
2023-03-17,POR vs. BOS,POR,BOS,Home,L,9.2,6,2,6,33.3,1,3,33.3,1,1,100.0,1,2,3,2,0,0,3,1,-10
2023-03-14,POR vs. NYK,POR,NYK,Home,L,8.51,3,1,4,25.0,1,3,33.3,0,0,0.0,0,2,2,5,0,0,1,0,15
2023-03-10,POR @ PHI,POR,PHI,Away,L,9.14,7,2,4,50.0,1,2,50.0,2,2,100.0,0,3,3,1,0,0,0,0,10
2023-03-08,POR @ BOS,POR,BOS,Away,L,8.39,11,4,8,50.0,2,4,50.0,1,1,100.0,0,1,1,1,0,0,2,1,-8
2023-03-06,POR @ DET,POR,DET,Away,W,9.39,16,6,11,54.5,4,7,57.1,0,0,0.0,0,5,5,2,0,0,1,0,8
2023-03-05,POR @ ORL,POR,ORL,Away,W,8.58,7,2,4,50.0,0,2,0.0,3,4,75.0,1,1,2,2,1,0,1,0,1
2023-03-03,POR @ ATL,POR,ATL,Away,L,8.54,12,4,7,57.1,2,4,50.0,2,2,100.0,0,0,0,0,0,0,2,0,-9
2023-03-01,POR vs. NOP,POR,NOP,Home,L,8.28,6,2,5,40.0,0,3,0.0,2,2,100.0,0,4,4,0,1,0,0,1,6
2023-02-28,POR @ GSW,POR,GSW,Away,L,9.43,15,5,8,62.5,2,3,66.7,3,3,100.0,0,0,0,3,0,0,0,0,13
2023-02-26,POR vs. HOU,POR,HOU,Home,W,10.14,16,5,8,62.5,3,5,60.0,3,3,100.0,1,2,3,1,0,0,0,0,1
2023-02-14,POR vs. WAS,POR,WAS,Home,L,10.27,14,5,9,55.6,3,5,60.0,1,2,50.0,1,1,2,0,0,0,2,0,-6
2023-02-13,POR vs. LAL,POR,LAL,Home,W,7.38,6,2,4,50.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0,2
2023-02-10,POR vs. OKC,POR,OKC,Home,L,11.37,20,5,6,83.3,3,4,75.0,7,7,100.0,0,1,1,4,1,0,1,0,2
2023-02-08,POR vs. GSW,POR,GSW,Home,W,10.31,5,1,5,20.0,0,1,0.0,3,3,100.0,1,1,2,4,0,0,1,1,8
2023-02-06,POR vs. MIL,POR,MIL,Home,L,9.02,2,1,6,16.7,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,1,-6
2023-02-04,POR @ CHI,POR,CHI,Away,L,7.27,9,3,3,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,0,-4
2023-02-03,POR @ WAS,POR,WAS,Away,W,9.59,5,2,7,28.6,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,1,-20
2023-02-01,POR @ MEM,POR,MEM,Away,W,8.34,4,1,3,33.3,0,1,0.0,2,2,100.0,0,0,0,3,0,0,1,0,-8
2023-01-30,POR vs. ATL,POR,ATL,Home,W,8.3,10,3,4,75.0,2,2,100.0,2,2,100.0,0,1,1,2,0,0,0,0,9
2023-01-28,POR vs. TOR,POR,TOR,Home,L,10.28,3,1,6,16.7,0,3,0.0,1,2,50.0,0,1,1,0,0,0,1,1,-21
2023-01-25,POR vs. UTA,POR,UTA,Home,W,9.15,9,4,6,66.7,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,1,-6
2023-01-23,POR vs. SAS,POR,SAS,Home,W,6.57,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,5,0,0,1,0,-5
2023-01-22,POR vs. LAL,POR,LAL,Home,L,9.25,2,1,5,20.0,0,4,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-12
2023-01-19,POR vs. PHI,POR,PHI,Home,L,7.39,2,1,6,16.7,0,2,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-7
2023-01-17,POR @ DEN,POR,DEN,Away,L,8.38,10,3,6,50.0,2,4,50.0,2,2,100.0,0,1,1,4,0,0,0,0,-8
2023-01-15,POR vs. DAL,POR,DAL,Home,W,8.4,7,2,3,66.7,0,0,0.0,3,3,100.0,0,2,2,4,0,0,0,0,5
2023-01-14,POR vs. DAL,POR,DAL,Home,W,8.14,11,3,7,42.9,0,3,0.0,5,5,100.0,0,1,1,3,0,0,1,0,4
2023-01-12,POR vs. CLE,POR,CLE,Home,L,8.44,11,3,7,42.9,2,4,50.0,3,4,75.0,0,1,1,0,0,0,0,0,5
2023-01-10,POR vs. ORL,POR,ORL,Home,L,9.06,6,2,4,50.0,1,2,50.0,1,1,100.0,0,1,1,1,1,0,2,0,-12
2023-01-08,POR @ TOR,POR,TOR,Away,L,9.39,4,2,5,40.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,1,0,0
2023-01-06,POR @ IND,POR,IND,Away,L,8.44,2,1,6,16.7,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,2
2023-01-04,POR @ MIN,POR,MIN,Away,L,9.32,1,0,3,0.0,0,2,0.0,1,2,50.0,0,0,0,1,0,0,2,0,-10
2023-01-02,POR vs. DET,POR,DET,Home,W,8.43,0,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,0,1
2022-12-30,POR @ GSW,POR,GSW,Away,L,10.37,5,2,6,33.3,1,3,33.3,0,0,0.0,1,1,2,0,0,0,2,0,-15
2022-12-26,POR vs. CHA,POR,CHA,Home,W,8.32,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,5,0,0,2,0,3
2022-12-23,POR @ DEN,POR,DEN,Away,L,10.23,8,3,5,60.0,0,2,0.0,2,2,100.0,0,0,0,1,0,0,0,1,-4
2022-12-21,POR @ OKC,POR,OKC,Away,L,10.19,0,0,5,0.0,0,4,0.0,0,0,0.0,0,0,0,2,1,0,1,1,8
2022-12-19,POR @ OKC,POR,OKC,Away,L,9.02,6,2,3,66.7,2,3,66.7,0,0,0.0,0,1,1,2,0,0,0,0,10
2022-12-17,POR @ HOU,POR,HOU,Away,W,9.32,8,2,6,33.3,1,4,25.0,3,4,75.0,0,0,0,3,1,0,0,0,7
2022-12-16,POR @ DAL,POR,DAL,Away,L,9.28,9,3,6,50.0,2,3,66.7,1,1,100.0,0,0,0,2,0,0,1,1,4
2022-12-14,POR @ SAS,POR,SAS,Away,W,10.3,12,5,8,62.5,2,4,50.0,0,0,0.0,0,1,1,1,0,0,1,0,7
2022-12-12,POR vs. MIN,POR,MIN,Home,W,9.25,10,3,4,75.0,3,3,100.0,1,1,100.0,0,0,0,2,0,0,1,0,9
2022-12-10,POR vs. MIN,POR,MIN,Home,W,12.0,11,2,6,33.3,0,3,0.0,7,7,100.0,0,0,0,4,1,0,0,0,5
2022-12-08,POR vs. DEN,POR,DEN,Home,L,9.03,3,1,4,25.0,1,3,33.3,0,0,0.0,1,1,2,4,2,0,0,0,8
2022-12-04,POR vs. IND,POR,IND,Home,W,9.1,8,3,5,60.0,2,3,66.7,0,0,0.0,0,1,1,2,1,0,2,2,3
2022-11-19,POR vs. UTA,POR,UTA,Home,L,10.12,4,1,4,25.0,0,3,0.0,2,3,66.7,0,1,1,4,0,0,1,1,4
2022-11-17,POR vs. BKN,POR,BKN,Home,L,8.2,5,2,6,33.3,1,4,25.0,0,0,0.0,0,1,1,2,0,0,0,0,-3
2022-11-15,POR vs. SAS,POR,SAS,Home,W,9.35,5,2,5,40.0,0,2,0.0,1,1,100.0,0,0,0,3,0,0,1,0,-4
