Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-03-22,POR @ UTA,POR,UTA,Away,W,8.12,8,3,5,60.0,1,2,50.0,1,1,100.0,0,0,0,2,0,0,0,1,-6
2023-03-19,POR vs. LAC,POR,LAC,Home,L,7.47,13,6,8,75.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,1,-11
2023-03-17,POR vs. BOS,POR,BOS,Home,L,7.37,4,1,2,50.0,0,1,0.0,2,3,66.7,0,2,2,0,0,1,1,0,-6
2023-03-14,POR vs. NYK,POR,NYK,Home,L,8.25,6,3,5,60.0,0,0,0.0,0,1,0.0,1,3,4,1,0,0,0,0,13
2023-03-12,POR @ NOP,POR,NOP,Away,L,5.12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,-6
2023-03-10,POR @ PHI,POR,PHI,Away,L,6.35,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,2,10
2023-03-08,POR @ BOS,POR,BOS,Away,L,3.07,0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,2,0,0,0,0,1
2023-02-01,POR @ MEM,POR,MEM,Away,W,2.29,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-5
2023-01-30,POR vs. ATL,POR,ATL,Home,W,10.03,5,2,3,66.7,1,1,100.0,0,0,0.0,0,3,3,0,0,0,1,1,2
2023-01-25,POR vs. UTA,POR,UTA,Home,W,4.44,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-7
2023-01-23,POR vs. SAS,POR,SAS,Home,W,7.06,10,4,6,66.7,1,2,50.0,1,2,50.0,1,2,3,2,1,0,0,0,0
2023-01-22,POR vs. LAL,POR,LAL,Home,L,6.31,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-5
2023-01-19,POR vs. PHI,POR,PHI,Home,L,4.25,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,-9
2023-01-17,POR @ DEN,POR,DEN,Away,L,8.38,6,2,5,40.0,1,2,50.0,1,1,100.0,1,3,4,0,0,2,0,1,-8
2023-01-15,POR vs. DAL,POR,DAL,Home,W,3.17,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,3
2023-01-14,POR vs. DAL,POR,DAL,Home,W,5.05,3,1,4,25.0,1,1,100.0,0,0,0.0,1,2,3,0,0,0,0,0,0
2023-01-12,POR vs. CLE,POR,CLE,Home,L,6.12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,0,1,3
2023-01-10,POR vs. ORL,POR,ORL,Home,L,7.28,5,2,5,40.0,0,1,0.0,1,2,50.0,2,2,4,0,0,0,2,1,-14
2023-01-08,POR @ TOR,POR,TOR,Away,L,7.22,3,1,2,50.0,0,1,0.0,1,2,50.0,2,3,5,2,0,0,0,0,-3
