Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-07,DAL vs. CHI,DAL,CHI,Home,L,12.0,11,3,10,30.0,0,5,0.0,5,7,71.4,0,5,5,3,0,0,0,0,3
2023-04-05,DAL vs. SAC,DAL,SAC,Home,W,12.0,8,3,8,37.5,0,4,0.0,2,4,50.0,1,2,3,2,0,0,0,1,1
2023-04-02,DAL @ ATL,DAL,ATL,Away,L,10.41,8,3,5,60.0,1,3,33.3,1,1,100.0,0,3,3,2,0,0,1,0,-4
2023-04-01,DAL @ MIA,DAL,MIA,Away,L,12.0,13,5,9,55.6,0,2,0.0,3,3,100.0,0,3,3,5,1,0,0,1,-13
2023-03-29,DAL @ PHI,DAL,PHI,Away,L,12.0,5,2,5,40.0,1,3,33.3,0,0,0.0,0,3,3,6,0,0,1,1,9
2023-03-27,DAL @ IND,DAL,IND,Away,W,9.11,2,1,5,20.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2
2023-03-26,DAL @ CHA,DAL,CHA,Away,L,12.0,5,0,6,0.0,0,3,0.0,5,6,83.3,1,5,6,2,0,0,0,1,-14
2023-03-24,DAL vs. CHA,DAL,CHA,Home,L,9.49,10,4,10,40.0,0,3,0.0,2,2,100.0,0,1,1,1,0,0,0,0,-7
2023-03-22,DAL vs. GSW,DAL,GSW,Home,L,9.48,6,3,7,42.9,0,2,0.0,0,0,0.0,0,1,1,6,1,0,1,0,3
2023-03-08,DAL @ NOP,DAL,NOP,Away,L,12.0,10,3,7,42.9,1,3,33.3,3,4,75.0,0,2,2,4,1,0,0,0,0
2023-03-07,DAL vs. UTA,DAL,UTA,Home,W,12.0,12,4,10,40.0,2,6,33.3,2,4,50.0,0,4,4,3,0,0,1,0,3
2023-03-05,DAL vs. PHX,DAL,PHX,Home,L,12.0,7,1,7,14.3,0,3,0.0,5,6,83.3,0,3,3,1,0,0,2,0,-6
2023-03-02,DAL vs. PHI,DAL,PHI,Home,W,12.0,17,6,8,75.0,3,4,75.0,2,3,66.7,0,2,2,3,0,0,2,2,1
2023-02-28,DAL vs. IND,DAL,IND,Home,L,12.0,18,7,10,70.0,1,3,33.3,3,4,75.0,0,2,2,1,0,1,1,2,2
2023-02-26,DAL vs. LAL,DAL,LAL,Home,L,12.0,14,5,8,62.5,3,4,75.0,1,3,33.3,0,6,6,3,0,0,1,1,12
2023-02-23,DAL vs. SAS,DAL,SAS,Home,W,12.0,11,3,7,42.9,0,3,0.0,5,5,100.0,0,6,6,3,1,1,1,0,8
2023-02-15,DAL @ DEN,DAL,DEN,Away,L,12.0,17,5,8,62.5,0,1,0.0,7,7,100.0,0,3,3,3,1,0,0,0,-1
2023-02-13,DAL vs. MIN,DAL,MIN,Home,L,12.0,10,4,7,57.1,0,1,0.0,2,3,66.7,0,2,2,1,1,0,0,1,-10
2023-02-11,DAL @ SAC,DAL,SAC,Away,L,12.0,11,4,7,57.1,1,4,25.0,2,2,100.0,0,3,3,3,0,0,2,0,-2
2023-02-02,DAL vs. NOP,DAL,NOP,Home,W,12.0,21,7,11,63.6,2,5,40.0,5,6,83.3,0,6,6,3,1,0,1,0,18
2023-01-30,DAL vs. DET,DAL,DET,Home,W,12.0,24,7,8,87.5,4,5,80.0,6,8,75.0,0,1,1,1,0,0,2,2,3
2023-01-26,DAL @ PHX,DAL,PHX,Away,W,3.21,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-4
2023-01-24,DAL vs. WAS,DAL,WAS,Home,L,12.0,15,7,12,58.3,0,3,0.0,1,2,50.0,0,3,3,2,0,0,1,1,-4
2023-01-22,DAL vs. LAC,DAL,LAC,Home,L,11.54,8,2,7,28.6,0,2,0.0,4,4,100.0,1,3,4,0,0,0,1,1,-2
2023-01-20,DAL vs. MIA,DAL,MIA,Home,W,12.0,11,3,7,42.9,2,2,100.0,3,4,75.0,0,3,3,3,0,0,0,0,12
2023-01-18,DAL vs. ATL,DAL,ATL,Home,L,12.0,19,6,7,85.7,1,2,50.0,6,6,100.0,0,1,1,3,0,0,3,1,-3
2023-01-14,DAL @ POR,DAL,POR,Away,L,12.0,4,2,5,40.0,0,1,0.0,0,3,0.0,0,3,3,4,0,0,1,0,-1
2023-01-12,DAL @ LAL,DAL,LAL,Away,W,12.0,9,3,6,50.0,1,2,50.0,2,3,66.7,0,5,5,4,0,0,2,1,14
2023-01-10,DAL @ LAC,DAL,LAC,Away,L,12.0,8,2,6,33.3,0,2,0.0,4,6,66.7,0,2,2,1,0,0,0,0,-6
2023-01-07,DAL vs. NOP,DAL,NOP,Home,W,12.0,14,4,9,44.4,2,3,66.7,4,6,66.7,0,5,5,2,0,0,2,0,19
2023-01-05,DAL vs. BOS,DAL,BOS,Home,L,12.0,11,3,9,33.3,0,2,0.0,5,7,71.4,0,3,3,1,0,0,1,1,-9
2023-01-02,DAL @ HOU,DAL,HOU,Away,W,12.0,5,2,6,33.3,0,2,0.0,1,2,50.0,1,3,4,1,0,0,3,1,-8
2022-12-31,DAL @ SAS,DAL,SAS,Away,W,12.0,22,8,11,72.7,3,3,100.0,3,5,60.0,0,1,1,1,1,1,0,1,2
2022-12-29,DAL vs. HOU,DAL,HOU,Home,W,12.0,14,4,8,50.0,1,4,25.0,5,8,62.5,0,3,3,3,0,2,2,0,6
2022-12-27,DAL vs. NYK,DAL,NYK,Home,W,12.0,16,5,7,71.4,1,1,100.0,5,7,71.4,0,2,2,3,1,0,1,0,-2
2022-12-25,DAL vs. LAL,DAL,LAL,Home,W,12.0,7,2,4,50.0,1,1,100.0,2,2,100.0,0,2,2,1,0,0,3,1,-7
2022-12-23,DAL @ HOU,DAL,HOU,Away,W,12.0,14,5,10,50.0,2,5,40.0,2,3,66.7,0,2,2,3,2,0,2,1,6
2022-12-21,DAL @ MIN,DAL,MIN,Away,W,11.48,8,2,4,50.0,0,2,0.0,4,5,80.0,0,2,2,4,2,0,2,0,0
2022-12-19,DAL @ MIN,DAL,MIN,Away,L,12.0,6,2,5,40.0,2,3,66.7,0,0,0.0,1,3,4,5,0,0,2,0,9
2022-12-16,DAL vs. POR,DAL,POR,Home,W,12.0,12,3,7,42.9,1,2,50.0,5,5,100.0,0,1,1,4,0,0,2,1,-1
2022-12-14,DAL vs. CLE,DAL,CLE,Home,L,12.0,7,3,8,37.5,0,2,0.0,1,1,100.0,0,0,0,1,0,1,0,0,-7
2022-12-12,DAL vs. OKC,DAL,OKC,Home,W,12.0,13,3,6,50.0,1,2,50.0,6,7,85.7,0,3,3,1,0,0,1,1,-5
2022-12-09,DAL vs. MIL,DAL,MIL,Home,L,12.0,16,6,10,60.0,3,5,60.0,1,1,100.0,0,2,2,4,0,0,0,0,1
2022-12-06,DAL @ DEN,DAL,DEN,Away,W,12.0,8,2,6,33.3,2,4,50.0,2,2,100.0,0,4,4,4,0,0,1,0,7
2022-12-05,DAL vs. PHX,DAL,PHX,Home,W,12.0,13,5,8,62.5,1,3,33.3,2,3,66.7,0,4,4,4,1,1,2,1,18
2022-12-03,DAL @ NYK,DAL,NYK,Away,W,12.0,7,2,8,25.0,1,5,20.0,2,2,100.0,0,2,2,1,0,1,2,1,-12
2022-12-01,DAL @ DET,DAL,DET,Away,L,12.0,14,5,8,62.5,3,5,60.0,1,2,50.0,0,2,2,5,2,0,1,0,0
2022-11-29,DAL vs. GSW,DAL,GSW,Home,W,12.0,11,3,8,37.5,1,3,33.3,4,6,66.7,1,5,6,2,0,0,1,1,12
2022-11-27,DAL @ MIL,DAL,MIL,Away,L,11.47,13,5,8,62.5,2,4,50.0,1,2,50.0,0,2,2,5,0,0,4,1,-5
2022-11-26,DAL @ TOR,DAL,TOR,Away,L,12.0,6,1,3,33.3,0,1,0.0,4,5,80.0,0,3,3,2,1,1,2,0,5
