Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-07,BKN vs. ORL,BKN,ORL,Home,W,12.0,6,2,5,40.0,0,2,0.0,2,2,100.0,0,4,4,6,0,0,0,0,4
2023-04-05,BKN @ DET,BKN,DET,Away,W,12.0,2,0,3,0.0,0,2,0.0,2,2,100.0,0,0,0,10,0,1,0,1,13
2023-04-04,BKN vs. MIN,BKN,MIN,Home,L,9.06,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,1,0,0,0
2023-04-02,BKN vs. UTA,BKN,UTA,Home,W,9.48,5,1,2,50.0,1,1,100.0,2,2,100.0,0,0,0,4,0,0,0,0,11
2023-03-31,BKN vs. ATL,BKN,ATL,Home,W,12.0,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,0,-8
2023-03-29,BKN vs. HOU,BKN,HOU,Home,W,12.0,7,3,3,100.0,1,1,100.0,0,2,0.0,0,2,2,5,0,0,0,0,5
2023-03-26,BKN @ ORL,BKN,ORL,Away,L,11.15,0,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,3,0,0,2,1,1
2023-03-25,BKN @ MIA,BKN,MIA,Away,W,9.52,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-7
2023-03-23,BKN vs. CLE,BKN,CLE,Home,L,12.0,8,3,4,75.0,0,1,0.0,2,2,100.0,0,1,1,4,0,0,0,0,2
2023-03-21,BKN vs. CLE,BKN,CLE,Home,L,12.0,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,4,0,0,0,0,7
2023-03-19,BKN vs. DEN,BKN,DEN,Home,L,10.43,6,2,3,66.7,1,1,100.0,1,1,100.0,0,1,1,5,1,0,0,1,-10
2023-03-16,BKN vs. SAC,BKN,SAC,Home,L,12.0,8,3,6,50.0,2,4,50.0,0,0,0.0,0,2,2,3,1,0,1,0,0
2023-03-14,BKN @ OKC,BKN,OKC,Away,L,12.0,2,1,5,20.0,0,2,0.0,0,0,0.0,1,2,3,7,1,0,1,2,9
2023-03-12,BKN @ DEN,BKN,DEN,Away,W,12.0,2,1,5,20.0,0,3,0.0,0,0,0.0,0,1,1,5,1,0,1,0,0
2023-03-10,BKN @ MIN,BKN,MIN,Away,W,12.0,3,1,6,16.7,1,3,33.3,0,0,0.0,0,0,0,5,0,0,0,1,-7
2023-03-07,BKN @ HOU,BKN,HOU,Away,W,12.0,13,4,7,57.1,2,4,50.0,3,3,100.0,0,0,0,1,0,0,1,0,-5
2023-03-05,BKN vs. CHA,BKN,CHA,Home,W,12.0,9,3,4,75.0,2,3,66.7,1,1,100.0,0,1,1,5,0,1,0,0,15
2023-03-03,BKN @ BOS,BKN,BOS,Away,W,12.0,4,2,5,40.0,0,2,0.0,0,2,0.0,0,0,0,1,1,0,1,1,-22
