Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-02-13,GSW vs. WAS,GSW,WAS,Home,W,11.54,12,4,5,80.0,2,3,66.7,2,2,100.0,0,3,3,1,0,0,0,2,12
2023-02-11,GSW vs. LAL,GSW,LAL,Home,L,6.3,3,1,4,25.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,-6
2023-02-08,GSW @ POR,GSW,POR,Away,L,8.56,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,-5
2023-02-06,GSW vs. OKC,GSW,OKC,Home,W,12.0,9,4,7,57.1,0,2,0.0,1,1,100.0,2,0,2,3,0,1,0,1,18
2023-02-04,GSW vs. DAL,GSW,DAL,Home,W,7.18,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,4
2023-02-02,GSW @ DEN,GSW,DEN,Away,L,8.25,1,0,3,0.0,0,0,0.0,1,2,50.0,1,2,3,1,0,0,0,0,-10
2023-02-01,GSW @ MIN,GSW,MIN,Away,L,7.29,3,1,1,100.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,1,1,-2
2023-01-30,GSW @ OKC,GSW,OKC,Away,W,6.23,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,2,3
2023-01-22,GSW vs. BKN,GSW,BKN,Home,L,6.15,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-9
2023-01-19,GSW @ BOS,GSW,BOS,Away,L,7.51,10,3,6,50.0,2,2,100.0,2,3,66.7,0,0,0,0,0,0,0,0,8
2023-01-16,GSW @ WAS,GSW,WAS,Away,W,2.22,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-8
2023-01-15,GSW @ CHI,GSW,CHI,Away,L,5.25,2,1,5,20.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-4
2023-01-13,GSW @ SAS,GSW,SAS,Away,W,6.53,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,0,0,1,0,1,4
2023-01-10,GSW vs. PHX,GSW,PHX,Home,L,7.11,4,2,3,66.7,0,1,0.0,0,1,0.0,0,0,0,0,0,1,0,1,-12
2023-01-07,GSW vs. ORL,GSW,ORL,Home,L,4.51,5,1,4,25.0,1,2,50.0,2,2,100.0,0,1,1,1,1,0,1,1,-10
2022-12-03,GSW vs. HOU,GSW,HOU,Home,W,12.0,17,6,9,66.7,5,7,71.4,0,0,0.0,1,0,1,1,2,0,0,0,-2
2022-12-02,GSW vs. CHI,GSW,CHI,Home,W,6.33,5,2,4,50.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,1,0,7
2022-11-29,GSW @ DAL,GSW,DAL,Away,L,9.02,8,3,3,100.0,1,1,100.0,1,2,50.0,0,0,0,0,0,0,0,0,-2
2022-11-27,GSW @ MIN,GSW,MIN,Away,W,6.34,7,3,5,60.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,0,0,4
2022-11-25,GSW vs. UTA,GSW,UTA,Home,W,9.23,6,2,4,50.0,1,2,50.0,1,1,100.0,1,0,1,0,2,0,1,1,2
2022-11-23,GSW vs. LAC,GSW,LAC,Home,W,8.35,8,3,5,60.0,2,3,66.7,0,0,0.0,1,0,1,0,0,0,0,0,-5
2022-11-20,GSW @ HOU,GSW,HOU,Away,W,10.51,9,3,4,75.0,3,4,75.0,0,0,0.0,0,0,0,0,0,0,1,0,1
2022-11-18,GSW vs. NYK,GSW,NYK,Home,W,7.27,3,1,2,50.0,0,1,0.0,1,2,50.0,2,0,2,0,0,0,0,0,2
2022-11-16,GSW @ PHX,GSW,PHX,Away,L,9.53,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,1,-4
2022-11-14,GSW vs. SAS,GSW,SAS,Home,W,7.35,2,1,4,25.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,1,0,6
2022-11-13,GSW @ SAC,GSW,SAC,Away,L,7.38,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,-2
2022-11-11,GSW vs. CLE,GSW,CLE,Home,W,8.42,5,1,2,50.0,1,2,50.0,2,2,100.0,1,1,2,0,1,0,2,0,-4
2022-11-07,GSW vs. SAC,GSW,SAC,Home,W,8.3,4,1,4,25.0,1,3,33.3,1,2,50.0,1,2,3,0,1,0,0,0,5
2022-11-03,GSW @ ORL,GSW,ORL,Away,L,6.59,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,1,1,1,-3
2022-11-01,GSW @ MIA,GSW,MIA,Away,L,7.27,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,1,12
2022-10-30,GSW @ DET,GSW,DET,Away,L,4.44,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-7
2022-10-29,GSW @ CHA,GSW,CHA,Away,L,9.34,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,1,11
2022-10-27,GSW vs. MIA,GSW,MIA,Home,W,4.38,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,2,-1
2022-10-25,GSW @ PHX,GSW,PHX,Away,L,11.55,4,2,6,33.3,0,2,0.0,0,0,0.0,0,2,2,2,0,0,0,2,-13
2022-10-23,GSW vs. SAC,GSW,SAC,Home,W,10.16,3,1,5,20.0,1,2,50.0,0,0,0.0,0,1,1,0,1,0,0,0,5
2022-10-21,GSW vs. DEN,GSW,DEN,Home,L,8.59,7,2,4,50.0,1,2,50.0,2,2,100.0,1,1,2,1,0,1,0,1,10
2022-10-18,GSW vs. LAL,GSW,LAL,Home,W,8.5,4,2,4,50.0,0,1,0.0,0,0,0.0,0,2,2,3,1,1,1,0,18
