Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2023-04-06,MIA @ PHI,MIA,PHI,Away,W,11.5,14,5,6,83.3,1,2,50.0,3,4,75.0,0,0,0,0,0,0,0,1,-3
2023-04-04,MIA @ DET,MIA,DET,Away,W,10.53,7,2,4,50.0,0,0,0.0,3,4,75.0,0,1,1,4,1,0,1,0,-4
2023-04-01,MIA vs. DAL,MIA,DAL,Home,W,11.17,4,1,3,33.3,0,1,0.0,2,2,100.0,0,1,1,5,0,0,0,1,-6
2023-03-29,MIA @ NYK,MIA,NYK,Away,L,9.51,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,0,0
2023-03-25,MIA vs. BKN,MIA,BKN,Home,L,11.07,10,3,6,50.0,1,1,100.0,3,3,100.0,1,0,1,0,0,0,0,0,-21
2023-03-22,MIA vs. NYK,MIA,NYK,Home,W,12.0,11,4,9,44.4,0,0,0.0,3,4,75.0,0,0,0,3,1,0,0,0,3
2023-03-19,MIA @ DET,MIA,DET,Away,W,12.0,10,1,2,50.0,0,0,0.0,8,9,88.9,1,1,2,3,0,0,1,1,-12
2023-03-18,MIA @ CHI,MIA,CHI,Away,L,12.0,14,5,6,83.3,0,0,0.0,4,4,100.0,1,3,4,1,0,0,0,2,12
2023-03-15,MIA vs. MEM,MIA,MEM,Home,W,9.57,5,2,3,66.7,0,0,0.0,1,1,100.0,1,1,2,4,0,1,1,0,7
2023-03-13,MIA vs. UTA,MIA,UTA,Home,W,9.19,11,2,7,28.6,0,0,0.0,7,7,100.0,3,1,4,1,0,1,0,0,-1
2023-03-11,MIA @ ORL,MIA,ORL,Away,L,9.57,11,4,7,57.1,1,2,50.0,2,2,100.0,0,1,1,1,0,0,0,0,0
2023-03-10,MIA vs. CLE,MIA,CLE,Home,W,12.0,11,5,7,71.4,1,1,100.0,0,0,0.0,0,0,0,2,0,0,0,0,2
2023-03-08,MIA vs. CLE,MIA,CLE,Home,L,11.59,11,5,7,71.4,0,0,0.0,1,3,33.3,1,0,1,3,1,0,1,0,-1
2023-03-06,MIA vs. ATL,MIA,ATL,Home,W,11.31,10,3,4,75.0,0,0,0.0,4,4,100.0,0,4,4,2,0,0,1,1,1
2023-03-04,MIA vs. ATL,MIA,ATL,Home,W,9.44,3,1,2,50.0,0,0,0.0,1,1,100.0,0,2,2,1,1,0,2,0,-4
2023-03-03,MIA vs. NYK,MIA,NYK,Home,L,11.02,6,2,5,40.0,0,0,0.0,2,2,100.0,0,0,0,3,0,0,0,0,10
2023-03-01,MIA vs. PHI,MIA,PHI,Home,L,10.29,6,2,3,66.7,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,0,-2
2023-02-27,MIA @ PHI,MIA,PHI,Away,W,9.09,6,2,2,100.0,0,0,0.0,2,2,100.0,0,2,2,2,1,0,1,0,-5
2023-02-25,MIA @ CHA,MIA,CHA,Away,L,9.2,5,2,3,66.7,0,0,0.0,1,3,33.3,0,0,0,2,0,0,0,0,-4
2023-02-24,MIA @ MIL,MIA,MIL,Away,L,7.41,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6
2023-02-15,MIA @ BKN,MIA,BKN,Away,L,8.39,2,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,-5
2023-02-13,MIA vs. DEN,MIA,DEN,Home,L,8.31,8,3,5,60.0,0,1,0.0,2,2,100.0,0,2,2,2,0,0,0,0,-5
2023-02-11,MIA @ ORL,MIA,ORL,Away,W,6.56,4,1,3,33.3,0,0,0.0,2,2,100.0,1,3,4,1,0,0,2,0,3
2023-02-10,MIA vs. HOU,MIA,HOU,Home,W,6.02,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,2,1,0,0,0,3
2023-02-08,MIA vs. IND,MIA,IND,Home,W,11.28,14,4,7,57.1,0,0,0.0,6,7,85.7,3,0,3,0,1,0,1,0,9
2023-02-04,MIA @ MIL,MIA,MIL,Away,L,10.48,17,6,7,85.7,1,1,100.0,4,5,80.0,0,1,1,0,0,0,0,0,0
2023-02-02,MIA @ NYK,MIA,NYK,Away,L,10.19,2,1,4,25.0,0,0,0.0,0,0,0.0,2,0,2,2,0,0,1,0,3
2023-01-31,MIA @ CLE,MIA,CLE,Away,W,11.24,5,1,5,20.0,0,2,0.0,3,3,100.0,0,0,0,2,2,1,2,0,0
2023-01-29,MIA @ CHA,MIA,CHA,Away,L,9.27,6,3,4,75.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,2,1,-3
2023-01-27,MIA vs. ORL,MIA,ORL,Home,W,9.37,4,1,1,100.0,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,0,10
2023-01-22,MIA vs. NOP,MIA,NOP,Home,W,10.2,11,3,3,100.0,0,0,0.0,5,7,71.4,0,1,1,1,1,0,0,1,5
2023-01-20,MIA @ DAL,MIA,DAL,Away,L,10.11,4,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,2,-15
2023-01-18,MIA @ NOP,MIA,NOP,Away,W,8.48,9,4,5,80.0,0,0,0.0,1,1,100.0,0,0,0,2,0,0,2,0,0
