Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,OKC vs. DAL,OKC,DAL,Home,W,15.26,12,5,6,83.3,2,2,100.0,0,0,0.0,1,1,2,1,0,1,0,1,34
2024-04-12,OKC vs. MIL,OKC,MIL,Home,W,19.14,6,2,5,40.0,2,4,50.0,0,0,0.0,0,1,1,2,2,0,0,1,5
2024-04-10,OKC vs. SAS,OKC,SAS,Home,W,24.3,0,0,5,0.0,0,4,0.0,0,0,0.0,0,4,4,3,3,1,0,1,24
2024-04-09,OKC vs. SAC,OKC,SAC,Home,W,18.24,3,1,5,20.0,1,2,50.0,0,0,0.0,0,2,2,2,1,1,0,0,9
2024-04-07,OKC @ CHA,OKC,CHA,Away,W,23.49,10,4,6,66.7,2,4,50.0,0,0,0.0,3,1,4,3,2,0,0,3,-2
2024-04-05,OKC @ IND,OKC,IND,Away,L,20.46,2,1,5,20.0,0,1,0.0,0,0,0.0,0,1,1,1,3,1,2,3,-29
2024-04-03,OKC @ BOS,OKC,BOS,Away,L,28.16,12,4,9,44.4,0,3,0.0,4,4,100.0,0,1,1,5,4,1,4,1,-16
2024-04-02,OKC @ PHI,OKC,PHI,Away,L,13.43,6,3,8,37.5,0,1,0.0,0,0,0.0,1,2,3,1,1,0,1,1,-7
2024-03-31,OKC @ NYK,OKC,NYK,Away,W,15.36,6,2,3,66.7,2,2,100.0,0,0,0.0,0,2,2,0,0,0,0,1,-3
2024-03-29,OKC vs. PHX,OKC,PHX,Home,W,31.29,16,6,9,66.7,4,4,100.0,0,0,0.0,0,4,4,3,0,1,1,2,23
2024-03-27,OKC vs. HOU,OKC,HOU,Home,L,24.32,4,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,-4
2024-03-26,OKC @ NOP,OKC,NOP,Away,W,13.11,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,1,0
2024-03-24,OKC @ MIL,OKC,MIL,Away,L,24.22,5,2,9,22.2,1,7,14.3,0,0,0.0,1,1,2,0,2,0,1,3,-9
2024-03-22,OKC @ TOR,OKC,TOR,Away,W,23.39,12,4,10,40.0,3,5,60.0,1,2,50.0,3,1,4,1,2,0,0,0,14
2024-03-20,OKC vs. UTA,OKC,UTA,Home,W,22.28,5,2,4,50.0,0,2,0.0,1,2,50.0,2,2,4,2,2,1,0,2,-6
2024-03-16,OKC @ MEM,OKC,MEM,Away,W,23.39,4,2,5,40.0,0,3,0.0,0,0,0.0,0,2,2,4,3,0,0,2,3
2024-03-14,OKC vs. DAL,OKC,DAL,Home,W,18.07,3,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,3,2,1,2,2,-3
2024-03-12,OKC vs. IND,OKC,IND,Home,L,23.19,11,4,7,57.1,3,4,75.0,0,0,0.0,0,3,3,0,0,1,3,2,-5
2024-03-10,OKC vs. MEM,OKC,MEM,Home,W,26.47,22,9,14,64.3,4,6,66.7,0,0,0.0,0,2,2,4,0,1,0,3,6
2024-03-08,OKC vs. MIA,OKC,MIA,Home,W,14.13,3,1,4,25.0,1,3,33.3,0,0,0.0,0,0,0,1,0,1,2,1,-14
2024-03-06,OKC @ POR,OKC,POR,Away,W,16.55,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,0,0,1,1,0,4
2024-03-04,OKC @ LAL,OKC,LAL,Away,L,22.01,7,3,8,37.5,1,4,25.0,0,0,0.0,2,2,4,1,3,0,1,1,-13
2024-03-03,OKC @ PHX,OKC,PHX,Away,W,17.42,5,2,3,66.7,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,1,7
2024-02-29,OKC @ SAS,OKC,SAS,Away,L,15.29,3,1,3,33.3,0,1,0.0,1,1,100.0,1,2,3,3,4,0,0,1,3
2024-02-27,OKC vs. HOU,OKC,HOU,Home,W,14.16,2,1,3,33.3,0,2,0.0,0,2,0.0,0,2,2,1,1,0,0,0,8
2024-02-25,OKC @ HOU,OKC,HOU,Away,W,18.3,6,2,7,28.6,2,5,40.0,0,0,0.0,1,1,2,1,0,2,0,0,0
2024-02-23,OKC vs. WAS,OKC,WAS,Home,W,22.0,13,5,7,71.4,3,5,60.0,0,0,0.0,2,3,5,1,0,0,1,2,12
2024-02-22,OKC vs. LAC,OKC,LAC,Home,W,19.11,7,3,3,100.0,1,1,100.0,0,0,0.0,2,2,4,3,4,0,0,1,20
2024-02-13,OKC @ ORL,OKC,ORL,Away,W,15.59,8,3,5,60.0,2,4,50.0,0,0,0.0,0,2,2,1,0,1,0,0,16
2024-02-11,OKC vs. SAC,OKC,SAC,Home,W,9.56,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-13
2024-02-10,OKC @ DAL,OKC,DAL,Away,L,25.27,15,5,11,45.5,3,7,42.9,2,2,100.0,0,2,2,0,1,0,1,2,-18
2024-02-06,OKC @ UTA,OKC,UTA,Away,L,15.37,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,1,-1
2024-02-04,OKC vs. TOR,OKC,TOR,Home,W,18.04,8,3,8,37.5,2,7,28.6,0,0,0.0,0,1,1,2,0,1,0,1,-10
2024-02-02,OKC vs. CHA,OKC,CHA,Home,W,24.48,12,5,7,71.4,2,4,50.0,0,0,0.0,0,2,2,1,1,0,1,1,22
2024-01-31,OKC vs. DEN,OKC,DEN,Home,W,20.1,5,2,7,28.6,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,3,0
2024-01-29,OKC vs. MIN,OKC,MIN,Home,L,19.33,3,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,2,0,1,0,6,-10
2024-01-28,OKC @ DET,OKC,DET,Away,L,21.16,4,2,4,50.0,0,1,0.0,0,0,0.0,1,3,4,1,2,0,0,1,-13
2024-01-26,OKC @ NOP,OKC,NOP,Away,W,20.39,12,5,10,50.0,2,5,40.0,0,0,0.0,1,1,2,1,4,0,0,1,18
2024-01-24,OKC @ SAS,OKC,SAS,Away,W,22.36,13,5,7,71.4,2,3,66.7,1,1,100.0,1,2,3,4,1,0,0,4,14
2024-01-23,OKC vs. POR,OKC,POR,Home,W,12.1,3,1,2,50.0,1,2,50.0,0,0,0.0,0,4,4,0,0,0,2,0,-4
