Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,SAC vs. POR,SAC,POR,Home,W,27.08,18,7,10,70.0,0,2,0.0,4,4,100.0,2,9,11,9,0,0,4,1,37
2024-04-12,SAC vs. PHX,SAC,PHX,Home,L,42.23,25,9,18,50.0,2,3,66.7,5,6,83.3,4,8,12,9,2,0,2,5,7
2024-04-11,SAC vs. NOP,SAC,NOP,Home,L,34.49,18,8,12,66.7,0,0,0.0,2,4,50.0,2,8,10,4,2,0,4,2,-16
2024-04-09,SAC @ OKC,SAC,OKC,Away,L,33.53,8,2,7,28.6,0,0,0.0,4,7,57.1,8,5,13,5,1,0,5,5,-18
2024-04-07,SAC @ BKN,SAC,BKN,Away,W,34.57,18,7,14,50.0,0,1,0.0,4,5,80.0,5,15,20,9,1,2,3,4,19
2024-04-05,SAC @ BOS,SAC,BOS,Away,L,33.48,16,6,13,46.2,0,0,0.0,4,7,57.1,5,11,16,6,1,1,2,1,13
2024-04-04,SAC @ NYK,SAC,NYK,Away,L,35.33,17,7,13,53.8,0,0,0.0,3,5,60.0,4,7,11,7,0,1,4,5,-25
2024-04-02,SAC vs. LAC,SAC,LAC,Home,W,34.51,22,8,17,47.1,0,3,0.0,6,10,60.0,7,13,20,9,2,0,4,1,-2
2024-03-31,SAC vs. UTA,SAC,UTA,Home,W,33.53,17,7,14,50.0,0,1,0.0,3,3,100.0,5,6,11,6,1,1,4,3,18
2024-03-29,SAC vs. DAL,SAC,DAL,Home,L,36.22,13,6,12,50.0,0,0,0.0,1,4,25.0,1,11,12,10,1,0,4,4,-3
2024-03-26,SAC vs. DAL,SAC,DAL,Home,L,31.18,12,3,10,30.0,0,1,0.0,6,8,75.0,1,10,11,9,0,2,4,1,-27
2024-03-25,SAC vs. PHI,SAC,PHI,Home,W,33.22,11,3,5,60.0,0,0,0.0,5,8,62.5,5,8,13,10,0,1,3,4,15
2024-03-23,SAC @ ORL,SAC,ORL,Away,W,39.31,21,7,14,50.0,1,3,33.3,6,6,100.0,1,13,14,8,1,0,2,3,9
2024-03-21,SAC @ WAS,SAC,WAS,Away,L,38.37,14,6,9,66.7,0,0,0.0,2,2,100.0,2,12,14,6,0,0,6,3,-4
2024-03-20,SAC @ TOR,SAC,TOR,Away,W,27.34,13,4,7,57.1,0,0,0.0,5,6,83.3,6,11,17,10,0,1,1,2,26
2024-03-18,SAC vs. MEM,SAC,MEM,Home,W,40.08,25,6,17,35.3,0,2,0.0,13,15,86.7,7,11,18,5,0,2,2,4,2
2024-03-16,SAC vs. NYK,SAC,NYK,Home,L,40.11,21,9,16,56.3,1,1,100.0,2,5,40.0,3,11,14,2,1,0,5,1,-13
2024-03-13,SAC vs. LAL,SAC,LAL,Home,W,37.56,17,6,10,60.0,0,1,0.0,5,6,83.3,5,14,19,10,2,1,2,4,10
2024-03-12,SAC vs. MIL,SAC,MIL,Home,W,33.54,22,10,14,71.4,0,0,0.0,2,2,100.0,2,9,11,8,1,0,0,3,20
2024-03-10,SAC vs. HOU,SAC,HOU,Home,L,39.36,25,10,11,90.9,0,0,0.0,5,6,83.3,2,13,15,8,3,2,9,1,1
2024-03-07,SAC vs. SAS,SAC,SAS,Home,W,37.54,31,14,19,73.7,1,1,100.0,2,3,66.7,5,12,17,9,1,1,4,2,-5
2024-03-06,SAC @ LAL,SAC,LAL,Away,W,38.12,16,7,13,53.8,0,1,0.0,2,3,66.7,4,16,20,12,2,0,3,2,11
2024-03-04,SAC vs. CHI,SAC,CHI,Home,L,31.36,18,7,19,36.8,0,1,0.0,4,4,100.0,10,11,21,4,2,0,5,6,2
2024-03-01,SAC @ MIN,SAC,MIN,Away,W,40.55,21,7,14,50.0,1,2,50.0,6,10,60.0,5,10,15,8,0,3,1,6,8
2024-02-28,SAC @ DEN,SAC,DEN,Away,L,32.09,13,5,14,35.7,0,1,0.0,3,4,75.0,5,5,10,7,1,0,3,0,-26
2024-02-26,SAC vs. MIA,SAC,MIA,Home,L,40.16,14,6,8,75.0,1,1,100.0,1,4,25.0,3,11,14,10,0,0,3,2,-15
2024-02-25,SAC @ LAC,SAC,LAC,Away,W,35.51,17,7,17,41.2,0,1,0.0,3,4,75.0,7,8,15,12,3,0,1,4,10
