Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-12,CLE vs. IND,CLE,IND,Home,W,37.34,33,12,27,44.4,4,10,40.0,5,5,100.0,2,2,4,5,4,0,1,2,12
2024-04-10,CLE vs. MEM,CLE,MEM,Home,W,33.37,29,9,17,52.9,5,10,50.0,6,7,85.7,1,3,4,8,3,1,3,2,2
2024-04-06,CLE @ LAL,CLE,LAL,Away,L,38.06,10,4,13,30.8,2,9,22.2,0,2,0.0,0,5,5,7,3,2,5,2,10
2024-04-03,CLE @ PHX,CLE,PHX,Away,L,37.55,24,8,17,47.1,2,7,28.6,6,6,100.0,0,3,3,2,2,2,1,1,-8
2024-03-31,CLE @ DEN,CLE,DEN,Away,L,30.53,13,3,12,25.0,2,6,33.3,5,5,100.0,0,0,0,6,1,0,2,2,-27
2024-03-29,CLE vs. PHI,CLE,PHI,Home,W,32.18,12,4,13,30.8,1,7,14.3,3,3,100.0,0,3,3,8,2,0,1,1,-7
2024-03-16,CLE @ HOU,CLE,HOU,Away,L,25.44,13,4,13,30.8,3,8,37.5,2,2,100.0,0,3,3,2,1,0,2,0,-15
2024-03-13,CLE @ NOP,CLE,NOP,Away,W,27.54,14,5,16,31.3,4,9,44.4,0,0,0.0,1,3,4,5,0,1,2,2,-6
2024-02-28,CLE @ CHI,CLE,CHI,Away,L,44.25,19,5,13,38.5,4,9,44.4,5,7,71.4,0,5,5,3,0,0,5,5,-4
2024-02-27,CLE vs. DAL,CLE,DAL,Home,W,38.09,31,11,20,55.0,7,11,63.6,2,3,66.7,0,7,7,6,0,1,7,3,-14
2024-02-25,CLE @ WAS,CLE,WAS,Away,W,36.19,16,4,10,40.0,3,6,50.0,5,5,100.0,0,4,4,5,1,0,3,5,6
2024-02-14,CLE vs. CHI,CLE,CHI,Home,W,38.52,30,8,21,38.1,2,8,25.0,12,13,92.3,0,6,6,7,2,0,0,1,4
2024-02-12,CLE vs. PHI,CLE,PHI,Home,L,37.23,36,9,20,45.0,4,9,44.4,14,17,82.4,1,3,4,6,3,0,3,2,10
2024-02-10,CLE @ TOR,CLE,TOR,Away,W,31.27,15,5,11,45.5,3,6,50.0,2,2,100.0,1,3,4,6,2,1,3,2,6
2024-02-08,CLE @ BKN,CLE,BKN,Away,W,30.05,27,10,18,55.6,4,10,40.0,3,3,100.0,0,5,5,4,3,3,4,1,17
2024-02-07,CLE @ WAS,CLE,WAS,Away,W,37.35,40,14,25,56.0,5,10,50.0,7,7,100.0,0,8,8,5,1,0,5,1,0
2024-02-05,CLE vs. SAC,CLE,SAC,Home,W,32.53,29,11,20,55.0,5,11,45.5,2,2,100.0,0,2,2,5,2,0,0,1,28
2024-02-03,CLE @ SAS,CLE,SAS,Away,W,35.27,31,12,20,60.0,4,9,44.4,3,3,100.0,3,5,8,7,2,2,2,2,20
2024-02-01,CLE @ MEM,CLE,MEM,Away,W,33.22,25,10,19,52.6,3,9,33.3,2,4,50.0,0,4,4,7,0,0,4,3,16
2024-01-31,CLE vs. DET,CLE,DET,Home,W,35.2,45,14,25,56.0,6,13,46.2,11,12,91.7,2,4,6,8,2,1,2,2,22
