Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,OKC vs. DAL,OKC,DAL,Home,W,13.16,9,4,6,66.7,1,2,50.0,0,0,0.0,0,0,0,3,0,0,0,1,12
2024-04-12,OKC vs. MIL,OKC,MIL,Home,W,26.48,17,7,12,58.3,1,3,33.3,2,2,100.0,0,2,2,5,1,1,1,0,12
2024-04-10,OKC vs. SAS,OKC,SAS,Home,W,23.35,10,5,11,45.5,0,2,0.0,0,0,0.0,0,7,7,2,3,1,1,1,25
2024-04-09,OKC vs. SAC,OKC,SAC,Home,W,35.42,11,5,11,45.5,1,2,50.0,0,0,0.0,0,6,6,4,1,0,2,0,3
2024-03-31,OKC @ NYK,OKC,NYK,Away,W,34.07,33,14,18,77.8,1,4,25.0,4,8,50.0,0,4,4,8,2,2,1,1,6
2024-03-29,OKC vs. PHX,OKC,PHX,Home,W,29.48,16,6,12,50.0,0,1,0.0,4,4,100.0,1,3,4,3,2,1,2,1,7
2024-03-27,OKC vs. HOU,OKC,HOU,Home,L,37.39,23,9,23,39.1,3,10,30.0,2,2,100.0,1,4,5,10,2,1,5,5,-14
2024-03-26,OKC @ NOP,OKC,NOP,Away,W,34.07,26,9,18,50.0,3,6,50.0,5,5,100.0,1,1,2,5,0,1,2,4,8
2024-03-24,OKC @ MIL,OKC,MIL,Away,L,29.04,18,8,15,53.3,1,4,25.0,1,2,50.0,3,0,3,4,1,0,0,3,-17
2024-03-22,OKC @ TOR,OKC,TOR,Away,W,27.06,20,9,13,69.2,0,0,0.0,2,2,100.0,0,3,3,3,3,2,3,1,12
2024-03-20,OKC vs. UTA,OKC,UTA,Home,W,31.32,18,8,14,57.1,0,2,0.0,2,3,66.7,0,2,2,4,1,0,3,1,28
2024-03-16,OKC @ MEM,OKC,MEM,Away,W,35.14,23,9,17,52.9,1,3,33.3,4,5,80.0,1,6,7,6,1,2,2,2,-3
2024-03-14,OKC vs. DAL,OKC,DAL,Home,W,35.14,27,11,21,52.4,3,5,60.0,2,2,100.0,0,4,4,5,1,3,3,3,-5
2024-03-10,OKC vs. MEM,OKC,MEM,Home,W,10.09,7,3,6,50.0,1,4,25.0,0,0,0.0,0,2,2,3,1,1,0,0,20
2024-03-08,OKC vs. MIA,OKC,MIA,Home,W,30.19,15,6,12,50.0,1,3,33.3,2,2,100.0,1,4,5,4,1,1,3,4,-2
2024-03-06,OKC @ POR,OKC,POR,Away,W,32.26,31,9,17,52.9,4,5,80.0,9,10,90.0,0,4,4,3,3,1,2,3,24
2024-03-04,OKC @ LAL,OKC,LAL,Away,L,26.1,7,2,9,22.2,1,3,33.3,2,2,100.0,0,2,2,3,1,0,1,2,-9
2024-03-03,OKC @ PHX,OKC,PHX,Away,W,32.53,22,10,19,52.6,1,3,33.3,1,1,100.0,1,3,4,2,3,0,1,3,1
2024-02-29,OKC @ SAS,OKC,SAS,Away,L,32.54,26,10,18,55.6,1,5,20.0,5,5,100.0,0,6,6,3,1,0,1,2,-17
2024-02-27,OKC vs. HOU,OKC,HOU,Home,W,34.52,24,11,17,64.7,2,3,66.7,0,0,0.0,2,3,5,5,2,2,3,1,5
2024-02-25,OKC @ HOU,OKC,HOU,Away,W,36.12,22,9,22,40.9,2,6,33.3,2,2,100.0,0,4,4,5,0,0,0,4,8
2024-02-23,OKC vs. WAS,OKC,WAS,Home,W,19.47,11,5,7,71.4,1,2,50.0,0,1,0.0,0,2,2,5,0,1,1,4,6
2024-02-22,OKC vs. LAC,OKC,LAC,Home,W,36.06,18,7,13,53.8,2,4,50.0,2,4,50.0,0,4,4,6,1,3,1,3,6
2024-02-13,OKC @ ORL,OKC,ORL,Away,W,34.5,33,12,18,66.7,3,6,50.0,6,7,85.7,0,2,2,3,1,0,3,3,2
2024-02-11,OKC vs. SAC,OKC,SAC,Home,W,36.45,32,13,20,65.0,2,4,50.0,4,4,100.0,1,7,8,9,0,0,2,3,26
2024-02-10,OKC @ DAL,OKC,DAL,Away,L,26.58,9,4,10,40.0,1,3,33.3,0,0,0.0,1,2,3,7,0,0,2,2,-17
2024-02-06,OKC @ UTA,OKC,UTA,Away,L,35.19,26,10,18,55.6,3,6,50.0,3,4,75.0,1,4,5,5,1,0,2,0,-4
2024-01-29,OKC vs. MIN,OKC,MIN,Home,L,33.0,20,8,17,47.1,4,7,57.1,0,2,0.0,0,2,2,3,0,0,2,3,-4
2024-01-28,OKC @ DET,OKC,DET,Away,L,27.57,20,8,16,50.0,2,3,66.7,2,4,50.0,0,1,1,3,0,0,0,2,-19
2024-01-26,OKC @ NOP,OKC,NOP,Away,W,30.41,15,7,14,50.0,1,4,25.0,0,0,0.0,0,4,4,7,0,0,1,3,22
2024-01-24,OKC @ SAS,OKC,SAS,Away,W,29.17,13,6,12,50.0,1,5,20.0,0,0,0.0,0,5,5,7,2,0,0,3,13
2024-01-23,OKC vs. POR,OKC,POR,Home,W,32.09,19,9,20,45.0,1,3,33.3,0,0,0.0,0,4,4,2,2,2,0,1,8
2024-01-20,OKC @ MIN,OKC,MIN,Away,W,35.34,20,6,18,33.3,0,2,0.0,8,10,80.0,3,2,5,3,3,0,0,4,17
2024-01-18,OKC @ UTA,OKC,UTA,Away,W,36.36,27,11,14,78.6,4,5,80.0,1,2,50.0,0,3,3,8,2,2,2,6,16
2024-01-16,OKC @ LAC,OKC,LAC,Away,L,32.45,25,10,14,71.4,2,3,66.7,3,3,100.0,0,3,3,7,0,0,4,5,-5
2024-01-15,OKC @ LAL,OKC,LAL,Away,L,34.5,25,10,18,55.6,2,4,50.0,3,4,75.0,2,1,3,6,3,0,1,1,1
2024-01-13,OKC vs. ORL,OKC,ORL,Home,W,32.6,16,7,16,43.8,1,3,33.3,1,1,100.0,2,4,6,2,0,0,2,1,12
2024-01-11,OKC vs. POR,OKC,POR,Home,W,18.59,21,9,10,90.0,1,1,100.0,2,3,66.7,3,4,7,4,0,2,1,0,39
2024-01-10,OKC @ MIA,OKC,MIA,Away,W,34.3,19,8,15,53.3,1,3,33.3,2,2,100.0,1,8,9,12,1,0,1,2,13
2024-01-08,OKC @ WAS,OKC,WAS,Away,W,33.5,21,9,13,69.2,1,1,100.0,2,2,100.0,1,6,7,10,2,0,4,3,22
2024-01-05,OKC @ BKN,OKC,BKN,Away,L,35.37,20,8,11,72.7,2,4,50.0,2,3,66.7,0,5,5,5,0,1,3,3,3
2024-01-03,OKC @ ATL,OKC,ATL,Away,L,34.37,21,9,12,75.0,1,1,100.0,2,5,40.0,1,2,3,6,4,0,2,4,3
2024-01-02,OKC vs. BOS,OKC,BOS,Home,W,31.22,16,6,9,66.7,2,2,100.0,2,2,100.0,0,1,1,1,3,2,5,3,2
2023-12-31,OKC vs. BKN,OKC,BKN,Home,W,28.44,17,7,14,50.0,1,3,33.3,2,4,50.0,0,3,3,5,0,1,3,1,7
2023-12-29,OKC @ DEN,OKC,DEN,Away,W,30.52,11,4,10,40.0,2,5,40.0,1,2,50.0,1,6,7,9,2,1,3,2,17
2023-12-27,OKC vs. NYK,OKC,NYK,Home,W,32.44,36,13,17,76.5,5,5,100.0,5,7,71.4,0,0,0,3,1,1,0,4,-2
2023-12-26,OKC vs. MIN,OKC,MIN,Home,W,26.2,21,7,11,63.6,4,6,66.7,3,3,100.0,0,1,1,3,0,2,1,3,12
2023-12-23,OKC vs. LAL,OKC,LAL,Home,L,34.09,28,11,17,64.7,2,5,40.0,4,4,100.0,0,6,6,3,0,0,1,3,2
2023-12-21,OKC vs. LAC,OKC,LAC,Home,W,28.5,13,6,11,54.5,1,3,33.3,0,0,0.0,1,3,4,7,2,0,2,0,24
2023-12-18,OKC vs. MEM,OKC,MEM,Home,W,28.25,10,3,9,33.3,1,3,33.3,3,4,75.0,0,4,4,5,2,1,0,2,14
