Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-12,LAC vs. UTA,LAC,UTA,Home,L,15.36,4,2,7,28.6,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-12
2024-04-09,LAC @ PHX,LAC,PHX,Away,W,32.3,10,4,12,33.3,2,4,50.0,0,0,0.0,0,5,5,1,0,0,1,5,25
2024-04-07,LAC vs. CLE,LAC,CLE,Home,W,28.07,14,5,13,38.5,4,9,44.4,0,0,0.0,1,2,3,0,1,0,0,2,19
2024-04-05,LAC vs. UTA,LAC,UTA,Home,W,25.52,18,5,12,41.7,4,8,50.0,4,4,100.0,0,2,2,1,1,0,1,2,15
2024-04-04,LAC vs. DEN,LAC,DEN,Home,W,35.22,11,4,12,33.3,2,7,28.6,1,2,50.0,1,2,3,3,1,0,0,0,10
2024-04-02,LAC @ SAC,LAC,SAC,Away,L,28.21,17,4,7,57.1,3,4,75.0,6,6,100.0,0,2,2,1,1,0,2,1,-3
2024-03-31,LAC @ CHA,LAC,CHA,Away,W,26.2,16,4,11,36.4,2,5,40.0,6,7,85.7,0,1,1,1,0,0,0,1,12
2024-03-29,LAC @ ORL,LAC,ORL,Away,W,26.22,10,5,8,62.5,0,1,0.0,0,0,0.0,0,0,0,1,0,1,1,2,4
2024-03-27,LAC @ PHI,LAC,PHI,Away,W,29.24,11,5,7,71.4,1,2,50.0,0,2,0.0,0,3,3,2,1,0,0,0,3
2024-03-25,LAC vs. IND,LAC,IND,Home,L,30.52,22,8,13,61.5,2,5,40.0,4,4,100.0,0,3,3,0,0,0,1,2,-4
2024-03-24,LAC vs. PHI,LAC,PHI,Home,L,24.34,20,7,11,63.6,3,5,60.0,3,3,100.0,1,0,1,1,0,0,1,1,-15
2024-03-15,LAC @ NOP,LAC,NOP,Away,L,26.08,15,4,9,44.4,2,6,33.3,5,5,100.0,0,0,0,1,1,0,1,3,-11
2024-03-14,LAC @ CHI,LAC,CHI,Away,W,27.57,18,6,10,60.0,3,6,50.0,3,4,75.0,0,2,2,2,1,0,2,3,9
2024-03-12,LAC vs. MIN,LAC,MIN,Home,L,27.57,11,4,9,44.4,1,2,50.0,2,3,66.7,1,3,4,2,0,1,1,3,-18
2024-03-10,LAC vs. MIL,LAC,MIL,Home,L,31.1,26,9,21,42.9,3,14,21.4,5,6,83.3,0,7,7,2,1,0,1,2,2
2024-03-09,LAC vs. CHI,LAC,CHI,Home,W,27.14,18,6,14,42.9,2,9,22.2,4,4,100.0,2,2,4,0,1,0,2,2,5
2024-03-06,LAC @ HOU,LAC,HOU,Away,W,28.37,12,4,9,44.4,3,5,60.0,1,2,50.0,0,2,2,0,1,0,0,0,5
2024-03-04,LAC @ MIL,LAC,MIL,Away,L,34.17,6,2,8,25.0,1,6,16.7,1,2,50.0,0,3,3,3,2,1,1,3,-12
2024-03-03,LAC @ MIN,LAC,MIN,Away,W,27.12,24,9,13,69.2,6,8,75.0,0,0,0.0,0,3,3,0,1,0,1,4,19
2024-03-01,LAC vs. WAS,LAC,WAS,Home,W,21.48,9,4,8,50.0,1,3,33.3,0,1,0.0,0,3,3,4,1,0,0,1,14
