Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-12,LAC vs. UTA,LAC,UTA,Home,L,9.0,4,2,4,50.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,1,2,-2
2024-04-09,LAC @ PHX,LAC,PHX,Away,W,39.41,16,7,17,41.2,2,4,50.0,0,0,0.0,2,13,15,15,2,0,5,3,17
2024-04-07,LAC vs. CLE,LAC,CLE,Home,W,25.25,8,3,9,33.3,0,2,0.0,2,2,100.0,2,5,7,6,1,1,2,2,18
2024-04-05,LAC vs. UTA,LAC,UTA,Home,W,21.19,17,8,11,72.7,1,1,100.0,0,1,0.0,0,5,5,4,2,0,5,2,10
2024-04-04,LAC vs. DEN,LAC,DEN,Home,W,23.44,12,4,9,44.4,0,2,0.0,4,4,100.0,1,5,6,5,1,1,2,1,8
2024-04-02,LAC @ SAC,LAC,SAC,Away,L,24.01,20,7,14,50.0,2,3,66.7,4,4,100.0,0,2,2,2,0,0,4,5,-14
2024-03-31,LAC @ CHA,LAC,CHA,Away,W,19.44,11,4,6,66.7,0,0,0.0,3,4,75.0,2,3,5,4,2,0,3,1,9
2024-03-29,LAC @ ORL,LAC,ORL,Away,W,17.59,5,2,6,33.3,0,1,0.0,1,2,50.0,2,1,3,5,1,0,2,1,3
2024-03-27,LAC @ PHI,LAC,PHI,Away,W,17.0,6,2,8,25.0,0,1,0.0,2,2,100.0,2,0,2,2,0,0,1,0,-6
2024-03-25,LAC vs. IND,LAC,IND,Home,L,18.18,14,5,10,50.0,0,2,0.0,4,6,66.7,2,2,4,7,0,0,1,1,-2
2024-03-01,LAC vs. WAS,LAC,WAS,Home,W,10.23,6,2,3,66.7,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,1,8
2024-02-28,LAC vs. LAL,LAC,LAL,Home,L,17.23,8,3,9,33.3,0,2,0.0,2,2,100.0,1,1,2,3,3,0,1,5,3
2024-02-25,LAC vs. SAC,LAC,SAC,Home,L,18.16,8,3,10,30.0,0,2,0.0,2,2,100.0,1,3,4,2,1,0,1,1,10
2024-02-23,LAC @ MEM,LAC,MEM,Away,W,22.37,13,6,15,40.0,1,4,25.0,0,0,0.0,0,2,2,0,1,0,3,0,-2
2024-02-22,LAC @ OKC,LAC,OKC,Away,L,16.0,2,1,9,11.1,0,2,0.0,0,0,0.0,0,1,1,5,1,0,1,2,-11
2024-02-14,LAC @ GSW,LAC,GSW,Away,W,31.26,15,6,14,42.9,0,3,0.0,3,5,60.0,4,1,5,6,1,0,2,2,8
2024-02-12,LAC vs. MIN,LAC,MIN,Home,L,29.0,11,3,11,27.3,1,5,20.0,4,5,80.0,0,2,2,3,2,0,1,2,-21
2024-02-10,LAC vs. DET,LAC,DET,Home,W,27.3,13,5,10,50.0,2,4,50.0,1,2,50.0,0,3,3,2,1,0,1,1,10
2024-02-07,LAC vs. NOP,LAC,NOP,Home,L,17.46,4,2,7,28.6,0,2,0.0,0,0,0.0,2,1,3,4,1,0,3,2,-12
2024-02-05,LAC @ ATL,LAC,ATL,Away,W,26.15,13,6,10,60.0,0,2,0.0,1,3,33.3,0,5,5,3,2,1,2,1,-3
2024-02-04,LAC @ MIA,LAC,MIA,Away,W,15.12,5,2,9,22.2,1,4,25.0,0,0,0.0,0,1,1,2,1,0,3,0,1
2024-02-02,LAC @ DET,LAC,DET,Away,W,25.09,23,10,13,76.9,2,3,66.7,1,2,50.0,1,2,3,9,2,0,2,2,15
2024-01-31,LAC @ WAS,LAC,WAS,Away,W,21.05,9,4,11,36.4,0,1,0.0,1,2,50.0,2,1,3,7,0,0,0,0,10
2024-01-29,LAC @ CLE,LAC,CLE,Away,L,22.07,13,5,8,62.5,0,2,0.0,3,4,75.0,0,4,4,3,0,0,4,1,-5
2024-01-27,LAC @ BOS,LAC,BOS,Away,W,15.11,4,2,9,22.2,0,2,0.0,0,0,0.0,1,3,4,5,0,0,1,0,3
2024-01-26,LAC @ TOR,LAC,TOR,Away,W,25.58,20,7,14,50.0,0,2,0.0,6,6,100.0,3,2,5,3,2,2,0,3,-2
