Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,DEN @ MEM,DEN,MEM,Away,W,12.0,6,3,5,60.0,0,0,0.0,0,0,0.0,2,7,9,2,1,0,3,0,3
2024-04-12,DEN @ SAS,DEN,SAS,Away,L,12.0,14,6,7,85.7,1,2,50.0,1,1,100.0,1,1,2,0,0,0,1,0,-1
2024-04-10,DEN vs. MIN,DEN,MIN,Home,W,11.58,11,5,6,83.3,1,1,100.0,0,2,0.0,1,4,5,3,1,0,1,0,-2
2024-04-09,DEN @ UTA,DEN,UTA,Away,W,11.05,13,6,11,54.5,1,1,100.0,0,0,0.0,4,4,8,2,1,0,1,1,17
2024-04-06,DEN vs. ATL,DEN,ATL,Home,W,12.0,9,2,6,33.3,1,2,50.0,4,4,100.0,0,4,4,3,1,0,1,0,7
2024-04-04,DEN @ LAC,DEN,LAC,Away,L,12.0,10,5,6,83.3,0,1,0.0,0,1,0.0,0,7,7,3,0,0,2,0,11
2024-04-02,DEN vs. SAS,DEN,SAS,Home,W,12.0,15,7,13,53.8,1,4,25.0,0,0,0.0,2,6,8,2,1,0,1,0,7
2024-03-31,DEN vs. CLE,DEN,CLE,Home,W,12.0,7,2,6,33.3,1,2,50.0,2,4,50.0,1,6,7,4,0,0,1,0,4
2024-03-29,DEN vs. MIN,DEN,MIN,Home,L,12.0,4,1,5,20.0,0,0,0.0,2,2,100.0,0,1,1,5,0,0,1,0,-7
2024-03-27,DEN vs. PHX,DEN,PHX,Home,L,12.0,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,4,0,0,0,0,0
2024-03-25,DEN vs. MEM,DEN,MEM,Home,W,12.0,16,5,7,71.4,0,0,0.0,6,7,85.7,1,3,4,3,1,0,2,1,15
2024-03-21,DEN vs. NYK,DEN,NYK,Home,W,11.5,7,3,6,50.0,0,0,0.0,1,2,50.0,1,6,7,5,0,0,0,0,4
2024-03-19,DEN @ MIN,DEN,MIN,Away,W,12.0,13,5,9,55.6,0,1,0.0,3,4,75.0,1,7,8,0,0,0,0,0,7
2024-03-17,DEN @ DAL,DEN,DAL,Away,L,11.56,8,2,9,22.2,0,1,0.0,4,5,80.0,3,2,5,1,1,0,3,0,6
2024-03-15,DEN @ SAS,DEN,SAS,Away,W,12.0,15,6,8,75.0,1,1,100.0,2,2,100.0,1,3,4,1,0,1,0,1,19
2024-03-13,DEN @ MIA,DEN,MIA,Away,W,12.0,7,3,6,50.0,0,0,0.0,1,1,100.0,2,3,5,2,1,0,1,0,7
