Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,MIN vs. PHX,MIN,PHX,Home,L,9.01,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,-14
2024-04-12,MIN vs. ATL,MIN,ATL,Home,W,8.41,8,4,4,100.0,0,0,0.0,0,0,0.0,2,3,5,0,0,2,0,0,1
2024-04-10,MIN @ DEN,MIN,DEN,Away,L,9.3,2,1,2,50.0,0,0,0.0,0,0,0.0,1,4,5,0,1,0,2,0,-3
2024-04-09,MIN vs. WAS,MIN,WAS,Home,W,9.23,2,0,0,0.0,0,0,0.0,2,4,50.0,0,2,2,1,1,2,1,0,-16
2024-04-07,MIN @ LAL,MIN,LAL,Away,W,9.54,6,3,4,75.0,0,0,0.0,0,0,0.0,1,2,3,0,1,1,0,0,-3
2024-04-05,MIN @ PHX,MIN,PHX,Away,L,8.28,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,-19
2024-04-03,MIN vs. TOR,MIN,TOR,Home,W,7.43,3,0,1,0.0,0,0,0.0,3,4,75.0,1,1,2,0,0,0,2,1,8
2024-04-02,MIN vs. HOU,MIN,HOU,Home,W,10.1,2,0,1,0.0,0,0,0.0,2,4,50.0,0,3,3,0,0,1,0,0,-2
2024-03-31,MIN vs. CHI,MIN,CHI,Home,L,11.03,5,2,2,100.0,0,0,0.0,1,2,50.0,0,2,2,0,0,1,0,1,-7
2024-03-29,MIN @ DEN,MIN,DEN,Away,W,9.0,7,3,4,75.0,0,0,0.0,1,1,100.0,1,3,4,0,0,1,0,2,4
2024-03-27,MIN vs. DET,MIN,DET,Home,W,7.0,2,1,1,100.0,0,0,0.0,0,0,0.0,2,2,4,1,0,1,1,2,3
2024-03-24,MIN vs. GSW,MIN,GSW,Home,W,10.36,3,1,2,50.0,0,0,0.0,1,1,100.0,0,3,3,0,0,1,2,0,-7
2024-03-22,MIN vs. CLE,MIN,CLE,Home,W,7.42,3,1,1,100.0,0,0,0.0,1,4,25.0,1,2,3,0,0,1,0,0,3
2024-03-12,MIN @ LAC,MIN,LAC,Away,W,8.46,0,0,1,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,-13
2024-03-08,MIN @ CLE,MIN,CLE,Away,L,7.53,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,1,1,1,0,1,1
2024-03-07,MIN @ IND,MIN,IND,Away,W,8.54,7,3,5,60.0,0,0,0.0,1,2,50.0,2,1,3,0,0,0,0,0,9
2024-03-04,MIN vs. POR,MIN,POR,Home,W,7.4,6,2,2,100.0,0,0,0.0,2,2,100.0,2,1,3,0,0,0,0,0,-2
2024-03-03,MIN vs. LAC,MIN,LAC,Home,L,9.25,4,1,2,50.0,0,0,0.0,2,2,100.0,0,3,3,0,0,1,0,0,15
2024-03-01,MIN vs. SAC,MIN,SAC,Home,L,9.32,2,1,1,100.0,0,0,0.0,0,2,0.0,1,1,2,0,0,0,0,0,-6
2024-02-28,MIN vs. MEM,MIN,MEM,Home,W,8.48,0,0,1,0.0,0,0,0.0,0,0,0.0,0,5,5,0,0,1,1,1,-11
2024-02-27,MIN vs. SAS,MIN,SAS,Home,W,9.22,4,2,5,40.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,0,7
2024-02-23,MIN vs. MIL,MIN,MIL,Home,L,8.06,2,1,1,100.0,0,0,0.0,0,0,0.0,2,4,6,0,0,1,0,0,-2
2024-02-15,MIN @ POR,MIN,POR,Away,W,9.14,6,3,3,100.0,0,0,0.0,0,0,0.0,2,7,9,1,0,1,1,0,26
2024-02-13,MIN @ POR,MIN,POR,Away,W,8.06,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4
2024-02-12,MIN @ LAC,MIN,LAC,Away,W,8.09,6,1,5,20.0,0,0,0.0,4,4,100.0,2,2,4,0,0,0,0,0,1
2024-02-08,MIN @ MIL,MIN,MIL,Away,W,8.36,2,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,0,2
2024-02-06,MIN @ CHI,MIN,CHI,Away,L,10.05,3,1,2,50.0,0,0,0.0,1,2,50.0,1,3,4,0,0,0,0,1,4
2024-02-04,MIN vs. HOU,MIN,HOU,Home,W,8.29,5,2,2,100.0,0,0,0.0,1,1,100.0,1,4,5,0,0,0,0,1,7
2024-02-02,MIN vs. ORL,MIN,ORL,Home,L,9.31,11,3,3,100.0,0,0,0.0,5,5,100.0,1,4,5,2,0,0,0,1,10
2024-01-31,MIN vs. DAL,MIN,DAL,Home,W,7.24,6,2,4,50.0,0,0,0.0,2,2,100.0,1,1,2,0,0,1,1,1,0
2024-01-29,MIN @ OKC,MIN,OKC,Away,W,9.18,2,1,1,100.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,0,-1
