Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,ATL @ IND,ATL,IND,Away,L,12.0,7,3,4,75.0,1,2,50.0,0,0,0.0,1,1,2,5,0,0,2,1,-15
2024-04-12,ATL @ MIN,ATL,MIN,Away,L,8.22,8,3,5,60.0,0,2,0.0,2,3,66.7,0,0,0,1,1,0,0,0,8
2024-04-10,ATL vs. CHA,ATL,CHA,Home,L,8.22,6,2,2,100.0,0,0,0.0,2,2,100.0,0,3,3,6,1,0,2,1,8
2024-02-23,ATL vs. TOR,ATL,TOR,Home,L,9.51,1,0,2,0.0,0,1,0.0,1,2,50.0,0,2,2,0,0,0,3,1,-14
2024-02-14,ATL @ CHA,ATL,CHA,Away,L,9.11,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,4,0,0,0,0,1
2024-02-12,ATL vs. CHI,ATL,CHI,Home,L,9.44,3,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,5,0,0,0,0,4
2024-02-10,ATL vs. HOU,ATL,HOU,Home,W,9.14,3,1,6,16.7,1,4,25.0,0,0,0.0,0,3,3,3,0,0,0,0,-4
2024-02-09,ATL @ PHI,ATL,PHI,Away,W,8.01,6,2,4,50.0,1,3,33.3,1,1,100.0,0,0,0,4,0,0,1,0,5
2024-02-07,ATL @ BOS,ATL,BOS,Away,L,8.34,11,4,8,50.0,2,5,40.0,1,1,100.0,0,0,0,2,0,0,0,0,1
2024-02-05,ATL vs. LAC,ATL,LAC,Home,L,8.14,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,1,1,-8
2024-02-03,ATL vs. GSW,ATL,GSW,Home,W,8.48,7,2,4,50.0,2,3,66.7,1,2,50.0,0,0,0,0,0,0,1,1,-5
2024-02-02,ATL vs. PHX,ATL,PHX,Home,W,9.44,11,4,5,80.0,3,3,100.0,0,0,0.0,0,0,0,3,1,0,2,1,1
2024-01-30,ATL vs. LAL,ATL,LAL,Home,W,5.5,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,3,0,0,3,0,-2
2024-01-28,ATL vs. TOR,ATL,TOR,Home,W,9.2,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,5,0,0,2,0,2
2024-01-26,ATL vs. DAL,ATL,DAL,Home,L,9.11,7,2,4,50.0,0,0,0.0,3,3,100.0,0,0,0,1,0,0,0,1,5
2024-01-20,ATL vs. CLE,ATL,CLE,Home,L,8.26,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,3,0,-6
2024-01-17,ATL vs. ORL,ATL,ORL,Home,W,8.19,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,0,0,3,0,-6
2024-01-15,ATL vs. SAS,ATL,SAS,Home,W,9.15,10,4,7,57.1,2,2,100.0,0,0,0.0,0,0,0,4,0,0,0,0,22
2024-01-13,ATL vs. WAS,ATL,WAS,Home,L,9.23,6,2,6,33.3,2,5,40.0,0,0,0.0,0,0,0,2,0,0,0,0,-1
2024-01-12,ATL vs. IND,ATL,IND,Home,L,9.03,3,1,5,20.0,0,1,0.0,1,1,100.0,0,0,0,2,0,0,0,0,-3
