Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-11,BOS vs. NYK,BOS,NYK,Home,L,9.02,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,-14
2024-04-09,BOS @ MIL,BOS,MIL,Away,L,12.0,5,2,7,28.6,1,3,33.3,0,0,0.0,2,1,3,2,0,1,2,0,-4
2024-04-07,BOS vs. POR,BOS,POR,Home,W,9.09,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,1,3
2024-04-05,BOS vs. SAC,BOS,SAC,Home,W,12.0,8,4,6,66.7,0,2,0.0,0,0,0.0,1,2,3,2,0,0,1,0,-8
2024-04-03,BOS vs. OKC,BOS,OKC,Home,W,6.42,5,2,3,66.7,1,2,50.0,0,0,0.0,0,3,3,1,0,0,1,0,9
2024-04-01,BOS @ CHA,BOS,CHA,Away,W,8.46,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,1,5
2024-03-30,BOS @ NOP,BOS,NOP,Away,W,9.11,3,1,1,100.0,1,1,100.0,0,0,0.0,0,3,3,4,2,0,2,0,13
2024-03-28,BOS @ ATL,BOS,ATL,Away,L,9.36,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,7
2024-03-17,BOS @ WAS,BOS,WAS,Away,W,7.41,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,1,8
2024-03-14,BOS vs. PHX,BOS,PHX,Home,W,4.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,6
2024-03-12,BOS @ UTA,BOS,UTA,Away,W,7.26,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,1,1,0,5
2024-03-09,BOS @ PHX,BOS,PHX,Away,W,9.05,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,2,1,0,0,0,6
2024-03-07,BOS @ DEN,BOS,DEN,Away,L,6.54,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-5
2024-03-05,BOS @ CLE,BOS,CLE,Away,L,8.06,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,1,0,1,1,-6
2024-03-03,BOS vs. GSW,BOS,GSW,Home,W,12.0,2,1,3,33.3,0,1,0.0,0,0,0.0,1,4,5,1,0,0,0,2,22
2024-03-01,BOS vs. DAL,BOS,DAL,Home,W,7.37,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,1,1,0,0,0,3
2024-02-27,BOS vs. PHI,BOS,PHI,Home,W,7.43,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,2,0,-4
2024-02-24,BOS @ NYK,BOS,NYK,Away,W,8.5,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-1
2024-02-22,BOS @ CHI,BOS,CHI,Away,W,7.55,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,1,-11
2024-02-14,BOS vs. BKN,BOS,BKN,Home,W,10.46,3,1,2,50.0,1,1,100.0,0,0,0.0,1,1,2,3,0,0,0,0,19
2024-02-13,BOS @ BKN,BOS,BKN,Away,W,7.54,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,2,2,0,1,2,11
2024-02-11,BOS @ MIA,BOS,MIA,Away,W,8.46,6,2,2,100.0,2,2,100.0,0,0,0.0,0,1,1,0,1,0,0,1,4
2024-02-09,BOS vs. WAS,BOS,WAS,Home,W,7.47,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-6
2024-02-04,BOS vs. MEM,BOS,MEM,Home,W,8.14,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,1,0,0
2024-02-01,BOS vs. LAL,BOS,LAL,Home,L,3.49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-9
2024-01-30,BOS vs. IND,BOS,IND,Home,W,12.0,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,1,1,1,0,0,5
2024-01-29,BOS vs. NOP,BOS,NOP,Home,W,9.39,8,3,4,75.0,1,2,50.0,1,1,100.0,0,1,1,0,1,0,0,1,1
2024-01-27,BOS vs. LAC,BOS,LAC,Home,L,8.38,3,1,6,16.7,1,5,20.0,0,0,0.0,0,2,2,3,1,0,0,0,-9
2024-01-25,BOS @ MIA,BOS,MIA,Away,W,10.2,6,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0,2,0,0,1,1,-2
2024-01-22,BOS @ DAL,BOS,DAL,Away,W,8.28,6,2,5,40.0,2,5,40.0,0,0,0.0,0,2,2,3,0,0,0,0,9
2024-01-19,BOS vs. DEN,BOS,DEN,Home,L,4.16,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2
2024-01-17,BOS vs. SAS,BOS,SAS,Home,W,8.47,8,3,4,75.0,2,2,100.0,0,0,0.0,0,1,1,1,0,0,1,0,13
2024-01-15,BOS @ TOR,BOS,TOR,Away,W,6.16,2,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,1,2
2024-01-13,BOS vs. HOU,BOS,HOU,Home,W,10.58,2,0,3,0.0,0,2,0.0,2,2,100.0,0,1,1,1,0,0,1,1,11
2024-01-11,BOS @ MIL,BOS,MIL,Away,L,10.1,4,2,7,28.6,0,3,0.0,0,0,0.0,0,2,2,2,0,0,1,0,-14
2024-01-10,BOS vs. MIN,BOS,MIN,Home,W,12.0,7,3,6,50.0,1,3,33.3,0,0,0.0,0,0,0,1,1,0,0,0,-4
2024-01-08,BOS @ IND,BOS,IND,Away,L,11.07,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,2,1,9
2024-01-06,BOS @ IND,BOS,IND,Away,W,9.3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,-2
2024-01-05,BOS vs. UTA,BOS,UTA,Home,W,10.38,5,2,2,100.0,1,1,100.0,0,0,0.0,0,4,4,1,0,1,2,1,12
2024-01-02,BOS @ OKC,BOS,OKC,Away,L,10.04,3,1,3,33.3,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,0,-2
2023-12-29,BOS vs. TOR,BOS,TOR,Home,W,7.3,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,2,0,0,1,1,0
2023-12-28,BOS vs. DET,BOS,DET,Home,W,12.0,4,1,3,33.3,0,1,0.0,2,2,100.0,2,2,4,1,0,0,3,1,-16
2023-12-25,BOS @ LAL,BOS,LAL,Away,W,10.53,5,2,3,66.7,1,2,50.0,0,0,0.0,1,1,2,1,1,0,1,1,-6
2023-12-23,BOS @ LAC,BOS,LAC,Away,W,7.43,3,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,4,0,0,0,1,9
2023-12-20,BOS @ SAC,BOS,SAC,Away,W,10.11,8,3,4,75.0,2,2,100.0,0,0,0.0,1,2,3,4,1,1,1,1,12
2023-12-19,BOS @ GSW,BOS,GSW,Away,L,7.18,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,2,-8
2023-12-17,BOS vs. ORL,BOS,ORL,Home,W,12.0,10,4,7,57.1,2,3,66.7,0,0,0.0,0,3,3,0,0,0,0,0,15
2023-12-15,BOS vs. ORL,BOS,ORL,Home,W,9.58,3,1,4,25.0,1,1,100.0,0,0,0.0,0,0,0,2,1,0,0,1,8
2023-12-14,BOS vs. CLE,BOS,CLE,Home,W,9.15,4,2,4,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,5
2023-12-12,BOS vs. CLE,BOS,CLE,Home,W,9.4,3,1,1,100.0,1,1,100.0,0,0,0.0,1,0,1,2,2,0,1,1,5
