Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,NOP vs. LAL,NOP,LAL,Home,L,9.35,2,0,3,0.0,0,0,0.0,2,2,100.0,2,1,3,1,0,0,2,0,-14
2024-04-12,NOP @ GSW,NOP,GSW,Away,W,7.41,3,1,3,33.3,0,0,0.0,1,1,100.0,0,1,1,2,4,0,1,1,20
2024-04-11,NOP @ SAC,NOP,SAC,Away,W,6.0,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,3,0,-4
2024-04-09,NOP @ POR,NOP,POR,Away,W,8.46,2,1,3,33.3,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,-5
2024-04-07,NOP @ PHX,NOP,PHX,Away,W,10.13,5,2,4,50.0,0,0,0.0,1,2,50.0,1,0,1,2,0,1,1,0,12
2024-04-03,NOP vs. ORL,NOP,ORL,Home,L,7.38,3,1,3,33.3,0,0,0.0,1,2,50.0,0,0,0,2,0,1,0,0,-1
2024-04-01,NOP vs. PHX,NOP,PHX,Home,L,7.15,8,2,5,40.0,0,0,0.0,4,4,100.0,0,1,1,1,0,0,1,0,-3
2024-03-30,NOP vs. BOS,NOP,BOS,Home,L,9.05,2,1,2,50.0,0,0,0.0,0,2,0.0,0,0,0,1,0,0,3,0,-7
2024-03-28,NOP vs. MIL,NOP,MIL,Home,W,7.19,2,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,2,0,0,0,0,7
2024-03-26,NOP vs. OKC,NOP,OKC,Home,L,6.26,7,3,3,100.0,0,0,0.0,1,2,50.0,0,1,1,1,2,0,4,2,-7
2024-03-24,NOP @ DET,NOP,DET,Away,W,6.58,9,4,4,100.0,0,0,0.0,1,2,50.0,0,2,2,2,0,0,0,0,-2
2024-03-22,NOP @ MIA,NOP,MIA,Away,W,6.32,0,0,1,0.0,0,0,0.0,0,0,0.0,2,0,2,2,0,0,2,0,-5
2024-03-21,NOP @ ORL,NOP,ORL,Away,L,6.05,6,3,5,60.0,0,0,0.0,0,2,0.0,0,1,1,0,1,0,2,1,0
2024-03-19,NOP @ BKN,NOP,BKN,Away,W,11.59,8,3,4,75.0,0,0,0.0,2,2,100.0,0,2,2,4,1,0,0,0,13
2024-03-16,NOP vs. POR,NOP,POR,Home,W,8.54,10,4,6,66.7,0,0,0.0,2,2,100.0,0,3,3,0,0,0,0,0,7
2024-03-15,NOP vs. LAC,NOP,LAC,Home,W,8.59,9,3,5,60.0,0,0,0.0,3,4,75.0,1,1,2,1,0,0,1,1,5
2024-03-13,NOP vs. CLE,NOP,CLE,Home,L,8.51,6,3,5,60.0,0,0,0.0,0,0,0.0,1,3,4,0,1,0,0,0,-1
2024-03-10,NOP @ ATL,NOP,ATL,Away,W,9.41,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,4
2024-03-08,NOP @ PHI,NOP,PHI,Away,W,9.35,6,1,3,33.3,0,0,0.0,4,4,100.0,1,2,3,0,1,2,0,0,8
2024-03-05,NOP @ TOR,NOP,TOR,Away,W,8.04,8,3,4,75.0,0,0,0.0,2,2,100.0,1,2,3,1,1,1,0,0,7
2024-03-01,NOP vs. IND,NOP,IND,Home,W,3.51,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-15
2024-02-28,NOP @ IND,NOP,IND,Away,L,7.48,7,3,7,42.9,0,1,0.0,1,2,50.0,1,1,2,1,0,0,1,1,-1
2024-02-27,NOP @ NYK,NOP,NYK,Away,W,6.25,4,1,5,20.0,0,0,0.0,2,2,100.0,1,0,1,0,0,0,1,2,-7
2024-02-25,NOP vs. CHI,NOP,CHI,Home,L,8.52,7,3,4,75.0,0,0,0.0,1,1,100.0,0,3,3,6,0,0,0,1,9
2024-02-23,NOP vs. MIA,NOP,MIA,Home,L,7.58,10,3,6,50.0,0,0,0.0,4,4,100.0,1,1,2,2,0,0,1,0,-3
2024-02-22,NOP vs. HOU,NOP,HOU,Home,W,9.11,5,2,6,33.3,0,0,0.0,1,1,100.0,0,0,0,2,1,1,0,0,6
2024-02-14,NOP vs. WAS,NOP,WAS,Home,W,9.41,14,5,6,83.3,0,0,0.0,4,4,100.0,1,1,2,2,0,0,0,0,4
2024-02-12,NOP @ MEM,NOP,MEM,Away,W,8.58,9,2,5,40.0,0,0,0.0,5,5,100.0,1,3,4,0,0,1,0,1,4
2024-02-09,NOP @ LAL,NOP,LAL,Away,L,9.15,8,3,7,42.9,0,0,0.0,2,2,100.0,1,1,2,2,0,0,1,1,-19
