Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-03-29,UTA vs. HOU,UTA,HOU,Home,L,6.45,7,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0,0,0,2,0,2,0
2024-03-27,UTA vs. SAS,UTA,SAS,Home,L,3.59,7,2,3,66.7,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,1,1
2024-03-25,UTA vs. DAL,UTA,DAL,Home,L,6.09,5,2,2,100.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,0,0,-6
2024-03-20,UTA @ OKC,UTA,OKC,Away,L,2.51,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-9
2024-03-15,UTA vs. ATL,UTA,ATL,Home,W,6.59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,3,-8
2024-03-12,UTA vs. BOS,UTA,BOS,Home,L,7.53,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
2024-03-09,UTA @ DEN,UTA,DEN,Away,L,6.03,4,0,0,0.0,0,0,0.0,4,6,66.7,1,0,1,0,0,0,0,0,2
2024-03-06,UTA vs. CHI,UTA,CHI,Home,L,6.17,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,1,4
2024-03-04,UTA vs. WAS,UTA,WAS,Home,W,6.47,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,0,2,15
2024-03-02,UTA @ MIA,UTA,MIA,Away,L,9.43,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
2024-02-29,UTA @ ORL,UTA,ORL,Away,L,5.52,3,1,1,100.0,0,0,0.0,1,2,50.0,1,2,3,0,0,0,1,2,-6
2024-02-27,UTA @ ATL,UTA,ATL,Away,L,4.14,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-6
2024-02-25,UTA vs. SAS,UTA,SAS,Home,W,6.12,10,3,3,100.0,2,2,100.0,2,2,100.0,0,1,1,0,1,0,0,0,12
2024-02-22,UTA vs. CHA,UTA,CHA,Home,L,5.32,2,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,2,-2
2024-02-15,UTA vs. GSW,UTA,GSW,Home,L,6.1,4,2,2,100.0,0,0,0.0,0,0,0.0,2,4,6,0,0,0,1,1,7
2024-02-14,UTA vs. LAL,UTA,LAL,Home,L,5.35,5,2,2,100.0,0,0,0.0,1,3,33.3,0,1,1,0,0,1,0,0,2
2024-02-12,UTA vs. GSW,UTA,GSW,Home,L,5.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-11
2024-02-08,UTA @ PHX,UTA,PHX,Away,L,5.04,6,2,3,66.7,0,0,0.0,2,2,100.0,1,1,2,0,0,0,0,2,5
2024-02-06,UTA vs. OKC,UTA,OKC,Home,W,7.19,8,4,4,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,3,-5
2024-02-01,UTA vs. PHI,UTA,PHI,Home,L,11.56,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,0,-3
2024-01-30,UTA @ NYK,UTA,NYK,Away,L,4.33,4,2,2,100.0,0,0,0.0,0,1,0.0,1,2,3,1,0,0,0,1,4
2024-01-27,UTA @ CHA,UTA,CHA,Away,W,9.45,7,3,5,60.0,0,1,0.0,1,2,50.0,3,2,5,0,0,0,0,1,-3
2024-01-25,UTA @ WAS,UTA,WAS,Away,W,4.52,4,2,3,66.7,0,0,0.0,0,0,0.0,2,2,4,0,1,0,0,1,0
2024-01-23,UTA @ NOP,UTA,NOP,Away,L,4.14,6,1,2,50.0,0,0,0.0,4,4,100.0,1,1,2,0,0,0,1,1,2
2024-01-20,UTA @ HOU,UTA,HOU,Away,L,3.03,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
2024-01-18,UTA vs. OKC,UTA,OKC,Home,L,3.56,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-8
2024-01-13,UTA vs. LAL,UTA,LAL,Home,W,11.0,4,1,2,50.0,0,0,0.0,2,2,100.0,1,3,4,0,0,0,0,1,3
2024-01-10,UTA vs. DEN,UTA,DEN,Home,W,4.48,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
2024-01-08,UTA @ MIL,UTA,MIL,Away,W,8.49,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,0,1,0,2,0,4
2024-01-06,UTA @ PHI,UTA,PHI,Away,W,6.2,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2
2024-01-03,UTA vs. DET,UTA,DET,Home,W,6.29,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-1
2023-12-30,UTA vs. MIA,UTA,MIA,Home,W,7.25,8,3,5,60.0,2,2,100.0,0,0,0.0,0,4,4,0,0,0,1,1,4
2023-12-28,UTA @ NOP,UTA,NOP,Away,L,5.52,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,0
2023-12-21,UTA @ DET,UTA,DET,Away,W,7.03,6,1,2,50.0,0,0,0.0,4,4,100.0,0,4,4,0,0,0,1,3,1
2023-12-20,UTA @ CLE,UTA,CLE,Away,L,3.16,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-12
2023-12-18,UTA vs. BKN,UTA,BKN,Home,W,6.57,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,1,6
2023-12-08,UTA vs. LAC,UTA,LAC,Home,L,12.0,11,4,5,80.0,0,1,0.0,3,3,100.0,2,4,6,0,0,0,1,0,-1
2023-12-06,UTA @ DAL,UTA,DAL,Away,L,5.21,6,3,4,75.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,-8
2023-12-02,UTA vs. POR,UTA,POR,Home,W,6.39,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-9
2023-11-30,UTA @ MIN,UTA,MIN,Away,L,3.24,3,1,1,100.0,1,1,100.0,0,0,0.0,0,3,3,0,0,0,0,0,0
2023-11-29,UTA @ MEM,UTA,MEM,Away,L,4.47,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,-1
2023-11-27,UTA vs. NOP,UTA,NOP,Home,W,6.58,2,1,3,33.3,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0
2023-11-22,UTA @ POR,UTA,POR,Away,L,8.12,6,3,6,50.0,0,0,0.0,0,0,0.0,3,3,6,0,0,0,0,0,9
2023-11-19,UTA vs. PHX,UTA,PHX,Home,L,9.46,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,0
2023-11-17,UTA vs. PHX,UTA,PHX,Home,L,11.53,7,2,3,66.7,0,1,0.0,3,4,75.0,1,3,4,0,0,1,0,2,-3
2023-11-14,UTA vs. POR,UTA,POR,Home,W,6.38,0,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,0,3
2023-11-10,UTA @ MEM,UTA,MEM,Away,W,8.58,1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,2,0,1,1
2023-11-08,UTA @ IND,UTA,IND,Away,L,9.14,2,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-12
2023-11-06,UTA @ CHI,UTA,CHI,Away,L,8.02,6,3,5,60.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-2
2023-11-04,UTA @ MIN,UTA,MIN,Away,L,5.45,5,1,2,50.0,0,1,0.0,3,4,75.0,0,0,0,0,1,1,1,2,-2
