Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-04-14,MIL @ ORL,MIL,ORL,Away,L,2.3,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-11
2024-04-09,MIL vs. BOS,MIL,BOS,Home,W,8.55,7,3,3,100.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,2,1,0
2024-04-05,MIL vs. TOR,MIL,TOR,Home,L,9.08,10,4,7,57.1,2,5,40.0,0,0,0.0,0,1,1,1,1,0,1,3,2
2024-04-02,MIL @ WAS,MIL,WAS,Away,L,6.0,5,2,3,66.7,1,2,50.0,0,0,0.0,2,1,3,0,0,0,0,0,-2
2024-03-30,MIL @ ATL,MIL,ATL,Away,W,10.19,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,2,-6
2024-03-28,MIL @ NOP,MIL,NOP,Away,L,6.46,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,4
2024-03-26,MIL vs. LAL,MIL,LAL,Home,L,8.01,3,1,7,14.3,1,4,25.0,0,0,0.0,0,1,1,1,0,0,0,2,-19
2024-03-24,MIL vs. OKC,MIL,OKC,Home,W,5.12,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,2,0,0,1,1,1
2024-03-20,MIL @ BOS,MIL,BOS,Away,L,7.39,7,2,2,100.0,0,0,0.0,3,3,100.0,0,1,1,1,0,1,1,2,5
2024-03-17,MIL vs. PHX,MIL,PHX,Home,W,9.01,8,2,5,40.0,0,1,0.0,4,4,100.0,0,1,1,3,0,0,0,0,-11
2024-02-03,MIL @ DAL,MIL,DAL,Away,W,11.1,2,0,2,0.0,0,0,0.0,2,2,100.0,0,0,0,4,0,0,1,3,12
2024-01-31,MIL @ POR,MIL,POR,Away,L,8.31,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,5
2024-01-29,MIL @ DEN,MIL,DEN,Away,L,7.51,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,-5
2024-01-26,MIL vs. CLE,MIL,CLE,Home,L,12.0,5,1,5,20.0,1,1,100.0,2,2,100.0,0,1,1,1,0,0,0,1,-9
