Player,team,3PM,confidence_level_3PM,middlebet_3PM
Jayson Tatum,BOS,2 to 4,56.67,2
Tyler Herro,MIA,1 to 3,47.66,1
Andrew Wiggins,MIA,0 to 3,31.46,0
Derrick White,MIA,2 to 4,52.29,2
Bam Adebayo,MIA,0 to 2,77.34,1
Sam Hauser,BOS,0 to 4,15.15,1
Jrue Holiday,MIA,0 to 1,14.84,0
Duncan Robinson,MIA,1 to 3,44.87,1
Al Horford,BOS,0 to 2,5.14,0
Kel'el Ware,MIA,0 to 0,0.0,0
Terry Rozier,MIA,0 to 2,10.87,0
Davion Mitchell,MIA,0 to 1,9.2,0
Kris Dunn,LAC,0 to 1,18.0,0
Kawhi Leonard,LAC,1 to 4,31.91,1
James Harden,LAC,1 to 4,40.59,1
Nicolas Batum,LAC,0 to 2,6.97,0
Ivica Zubac,LAC,0 to 0,100.0,0
Dyson Daniels,ATL,0 to 2,6.63,0
Zaccharie Risacher,ATL,0 to 1,32.05,0
Trae Young,ATL,0 to 2,22.79,0
Mouhamed Gueye,ATL,0 to 0,10.84,0
Onyeka Okongwu,ATL,1 to 2,66.01,1
Josh Green,CHA,0 to 2,21.62,0
DaQuan Jeffries,CHA,0 to 0,27.63,0
LaMelo Ball,CHA,2 to 5,47.37,2
Miles Bridges,CHA,1 to 3,39.47,1
Mark Williams,CHA,0 to 0,100.0,0
Stephon Castle,SAS,0 to 0,15.17,0
Devin Vassell,SAS,0 to 2,15.55,0
Chris Paul,SAS,0 to 2,44.15,0
Harrison Barnes,SAS,0 to 2,21.19,0
Bismack Biyombo,SAS,0 to 0,100.0,0
