Player,AST,confidence_level_AST,middlebet_AST
Cade Cunningham,5 to 8,65.24,5
Jordan Poole,2 to 5,47.5,2
Malik Beasley,0 to 1,6.07,0
Jalen Duren,1 to 3,36.96,1
Tobias Harris,0 to 2,49.15,0
Alex Sarr,0 to 1,43.65,0
Corey Kispert,0 to 1,9.41,0
Khris Middleton,1 to 3,44.47,1
Ausar Thompson,2 to 6,36.02,3
Dennis Schroder,3 to 5,63.76,3
Kyshawn George,1 to 3,34.86,1
Tim Hardaway Jr.,0 to 1,52.0,0
Richaun Holmes,0 to 1,29.8,0
Marcus Smart,1 to 3,47.24,1
Isaiah Stewart,0 to 1,31.13,0
Luka Doncic,4 to 8,50.73,5
Giannis Antetokounmpo,2 to 4,58.3,4
Damian Lillard,5 to 9,62.41,7
Austin Reaves,6 to 14,46.27,11
Kyle Kuzma,0 to 2,16.02,2
Dalton Knecht,0 to 1,0.0,0
Brook Lopez,0 to 1,33.48,0
Gabe Vincent,0 to 1,21.37,0
Dorian Finney-Smith,0 to 0,0.0,0
Taurean Prince,0 to 1,13.02,1
Jarred Vanderbilt,0 to 0,25.46,0
Paolo Banchero,1 to 2,60.24,1
Franz Wagner,1 to 3,55.15,3
Zion Williamson,1 to 3,44.33,3
CJ McCollum,1 to 3,47.18,3
Trey Murphy III,1 to 3,41.93,3
Cole Anthony,1 to 4,35.2,3
Kentavious Caldwell-Pope,0 to 0,7.2,0
Yves Missi,0 to 0,16.08,0
Cam Thomas,3 to 7,43.59,4
Coby White,1 to 4,42.45,1
Cameron Johnson,0 to 2,42.77,0
Kevin Huerter,0 to 2,23.42,0
Matas Buzelis,0 to 1,9.3,0
D'Angelo Russell,1 to 3,49.55,1
Nikola Vucevic,0 to 2,31.59,0
Tre Jones,1 to 6,30.42,2
Zach Collins,0 to 1,16.71,1
Nic Claxton,0 to 2,23.27,0
Ziaire Williams,0 to 0,28.95,1
Keon Johnson,0 to 2,45.04,0
Day'Ron Sharpe,0 to 1,16.52,0
Stephen Curry,2 to 5,53.05,2
Zach LaVine,1 to 4,41.45,1
DeMar DeRozan,1 to 3,50.98,1
Jimmy Butler,2 to 5,56.88,4
Malik Monk,1 to 2,63.66,1
Domantas Sabonis,1 to 4,46.47,1
Keegan Murray,0 to 1,2.07,0
Moses Moody,0 to 1,3.32,0
Buddy Hield,0 to 2,15.61,2
Quinten Post,0 to 0,33.33,0
Draymond Green,3 to 6,62.2,3
Keon Ellis,0 to 1,12.44,0
