RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,73,56,17,876.0,112.4,104.7,7.6,58.7,1.54,17.5,27.5,76.9,53.5,15.5,55.6,58.8,103.73,55.8,
2,TOR,72,53,19,864.0,112.7,108.1,4.6,63.3,1.62,17.5,28.1,71.9,50.4,14.8,53.4,58.3,100.11,53.1,
3,LAL,71,52,19,852.0,107.0,100.8,6.1,55.6,1.58,16.0,25.5,75.1,49.7,13.7,51.7,54.8,97.63,53.9,
4,LAC,72,49,23,864.0,109.7,106.8,2.9,56.5,1.52,16.1,27.0,75.2,51.6,14.3,52.1,56.2,99.64,50.7,
5,BOS,72,48,24,864.0,114.3,111.5,2.7,52.9,1.4,15.6,30.0,71.2,51.5,15.1,54.1,58.8,100.0,51.7,
6,DEN,73,46,27,876.0,113.0,111.9,1.1,62.4,1.79,18.1,31.4,71.3,51.2,14.2,52.5,56.8,96.52,50.9,
7,IND,73,45,28,876.0,110.4,113.0,-2.7,60.3,1.81,18.0,24.8,68.0,47.6,13.5,53.5,57.6,97.64,50.1,
8,HOU,72,44,28,864.0,109.6,111.2,-1.5,53.6,1.35,14.8,24.3,69.7,47.3,14.4,51.7,56.8,102.83,48.1,
8,MIA,73,44,29,876.0,105.9,111.7,-5.8,64.4,1.42,17.5,25.6,73.7,50.6,16.8,53.4,57.2,96.63,48.4,
8,OKC,72,44,28,864.0,108.7,100.9,7.8,49.1,1.33,14.6,23.5,73.1,49.4,14.3,52.6,57.3,98.5,55.7,
8,UTA,72,44,28,864.0,111.8,111.6,0.2,51.9,1.41,15.0,28.1,72.9,50.6,14.2,52.2,57.0,98.61,49.8,
12,DAL,75,43,32,900.0,109.5,108.5,1.0,57.3,1.63,16.3,24.9,73.0,49.0,13.5,52.7,56.3,98.08,50.9,
12,PHI,73,43,30,876.0,110.6,110.8,-0.2,62.0,1.57,17.5,28.3,75.4,51.7,15.3,53.5,57.5,97.12,50.4,
14,BKN,72,35,37,864.0,104.1,110.5,-6.4,58.2,1.37,15.6,29.4,73.6,51.2,15.6,49.0,53.2,99.25,46.8,
14,POR,74,35,39,888.0,115.4,111.9,3.6,47.3,1.7,14.8,26.4,71.5,48.9,11.6,53.9,57.4,98.49,50.3,
16,MEM,73,34,39,876.0,109.9,111.1,-1.2,58.3,1.59,17.3,28.8,73.2,51.5,15.0,53.0,56.8,101.32,51.1,
16,PHX,73,34,39,876.0,111.6,113.7,-2.1,65.0,1.67,17.9,27.5,75.5,51.0,14.8,52.0,57.9,101.1,50.3,
18,ORL,73,33,40,876.0,107.1,110.0,-2.9,60.2,1.6,16.8,24.9,72.4,49.4,14.2,51.6,56.0,97.42,49.6,
19,SAS,71,32,39,852.0,112.7,115.4,-2.7,57.8,1.93,17.7,23.1,75.1,49.1,12.3,54.1,58.1,99.38,49.1,
20,SAC,72,31,41,864.0,109.5,108.7,0.8,55.7,1.6,16.1,26.0,73.7,48.9,13.5,51.9,56.0,99.08,49.3,
21,NOP,72,30,42,864.0,110.7,110.2,0.5,60.3,1.74,17.2,28.6,74.6,51.1,13.7,52.4,55.8,99.69,49.7,
22,WAS,72,25,47,864.0,113.2,112.1,1.1,58.4,1.72,17.2,26.2,69.5,47.8,13.6,54.3,58.3,100.67,50.9,
23,CHA,65,23,42,780.0,105.1,113.9,-8.8,58.1,1.48,15.5,27.0,68.6,47.0,14.2,48.9,53.4,93.78,43.7,
24,CHI,65,22,43,780.0,108.2,110.4,-2.1,54.6,1.3,15.1,31.5,71.1,49.6,16.0,50.8,54.8,97.97,46.0,
25,NYK,66,21,45,792.0,108.1,110.4,-2.3,55.8,1.51,15.6,29.9,75.4,52.0,14.2,50.1,54.1,96.7,48.3,
26,ATL,67,20,47,804.0,106.3,109.0,-2.7,51.7,1.16,14.5,27.0,73.3,49.5,16.7,50.8,55.5,102.27,45.3,
26,DET,66,20,46,792.0,108.4,108.7,-0.3,59.8,1.52,17.1,26.2,71.1,48.5,15.3,53.0,56.5,95.79,48.9,
28,CLE,65,19,46,780.0,110.8,109.6,1.2,57.9,1.56,17.3,28.2,74.9,51.4,15.2,54.1,57.0,96.95,50.3,
28,MIN,64,19,45,768.0,109.1,109.9,-0.8,58.8,1.46,16.0,28.1,72.6,49.5,14.9,51.0,55.6,100.66,49.7,
30,GSW,65,15,50,780.0,107.1,107.8,-0.8,62.0,1.6,16.6,25.8,72.7,48.6,14.0,49.0,55.0,99.11,48.9,
