Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-13,UTA vs. SAS,UTA,SAS,Home,W,00:11:20,11,3,5,60.0,3,4,75.0,2,2,100.0,0,4,4,3,0,0,0,1,1
2020-08-08,UTA @ DEN,UTA,DEN,Away,L,00:47:05,35,12,33,36.4,5,16,31.3,6,7,85.7,2,4,6,8,1,1,5,5,2
2020-08-05,UTA vs. MEM,UTA,MEM,Home,W,00:37:35,18,7,18,38.9,3,7,42.9,1,1,100.0,3,4,7,6,0,0,2,4,22
2020-08-03,UTA vs. LAL,UTA,LAL,Home,L,00:35:14,33,9,22,40.9,4,10,40.0,11,12,91.7,0,5,5,4,0,0,4,4,-4
2020-08-01,UTA @ OKC,UTA,OKC,Away,L,00:31:55,13,5,15,33.3,0,4,0.0,3,3,100.0,1,0,1,4,0,0,4,1,-8
2020-07-30,UTA @ NOP,UTA,NOP,Away,W,00:35:36,20,6,14,42.9,2,4,50.0,6,7,85.7,3,2,5,5,3,1,2,3,7
2020-03-09,UTA vs. TOR,UTA,TOR,Home,L,00:34:16,11,4,16,25.0,3,6,50.0,0,0,0.0,1,2,3,3,3,0,1,2,-30
2020-03-07,UTA @ DET,UTA,DET,Away,W,00:33:58,25,8,14,57.1,2,6,33.3,7,8,87.5,0,5,5,1,0,0,1,3,9
2020-03-06,UTA @ BOS,UTA,BOS,Away,W,00:32:43,11,3,15,20.0,3,10,30.0,2,2,100.0,2,2,4,2,1,0,3,2,-20
2020-03-04,UTA @ NYK,UTA,NYK,Away,W,00:33:47,23,9,21,42.9,1,7,14.3,4,4,100.0,0,1,1,8,2,0,2,2,13
2020-03-02,UTA @ CLE,UTA,CLE,Away,W,00:34:14,19,7,15,46.7,3,7,42.9,2,2,100.0,0,9,9,4,0,1,4,2,21
2020-02-28,UTA vs. WAS,UTA,WAS,Home,W,00:32:50,30,9,21,42.9,4,6,66.7,8,10,80.0,3,5,8,3,0,0,2,4,-16
2020-02-26,UTA vs. BOS,UTA,BOS,Home,L,00:35:40,37,15,32,46.9,2,10,20.0,5,7,71.4,1,4,5,5,0,0,2,2,-1
2020-02-24,UTA vs. PHX,UTA,PHX,Home,L,00:35:20,38,11,19,57.9,6,9,66.7,10,12,83.3,1,3,4,4,1,0,4,4,-19
2020-02-22,UTA vs. HOU,UTA,HOU,Home,L,00:35:33,31,12,24,50.0,1,6,16.7,6,7,85.7,0,7,7,3,0,0,4,2,-12
2020-02-21,UTA vs. SAS,UTA,SAS,Home,L,00:32:04,12,5,14,35.7,2,6,33.3,0,0,0.0,0,1,1,4,0,0,1,2,-11
2020-02-12,UTA vs. MIA,UTA,MIA,Home,W,00:35:26,26,9,16,56.3,4,8,50.0,4,4,100.0,0,5,5,4,2,0,3,0,17
2020-02-10,UTA @ DAL,UTA,DAL,Away,W,00:34:52,23,8,12,66.7,3,6,50.0,4,5,80.0,0,4,4,2,0,0,9,5,-11
2020-02-09,UTA @ HOU,UTA,HOU,Away,W,00:36:33,24,9,23,39.1,4,11,36.4,2,2,100.0,0,5,5,6,0,0,3,2,-6
2020-02-07,UTA vs. POR,UTA,POR,Home,W,00:35:04,16,6,16,37.5,1,5,20.0,3,4,75.0,0,6,6,7,2,0,4,1,-5
2020-02-05,UTA vs. DEN,UTA,DEN,Home,L,00:36:09,18,8,24,33.3,2,9,22.2,0,1,0.0,1,7,8,1,0,0,4,5,-6
2020-02-01,UTA @ POR,UTA,POR,Away,L,00:32:24,25,11,21,52.4,3,6,50.0,0,0,0.0,0,2,2,4,1,0,2,2,-9
2020-01-30,UTA @ DEN,UTA,DEN,Away,L,00:34:48,4,1,12,8.3,0,6,0.0,2,2,100.0,1,4,5,8,0,0,4,2,-9
2020-01-29,UTA @ SAS,UTA,SAS,Away,L,00:33:34,31,9,20,45.0,3,6,50.0,10,10,100.0,0,1,1,4,1,0,3,3,-3
