Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-11,BOS @ MEM,BOS,MEM,Away,W,00:28:46,29,10,13,76.9,4,5,80.0,5,5,100.0,1,5,6,2,1,0,5,1,10
2020-08-09,BOS vs. ORL,BOS,ORL,Home,W,00:41:32,29,10,24,41.7,4,12,33.3,5,6,83.3,1,8,9,6,1,1,4,2,14
2020-08-07,BOS @ TOR,BOS,TOR,Away,W,00:27:59,18,7,14,50.0,2,7,28.6,2,3,66.7,0,7,7,4,2,0,3,0,34
2020-08-05,BOS vs. BKN,BOS,BKN,Home,W,00:18:25,19,7,11,63.6,5,8,62.5,0,0,0.0,0,2,2,2,1,0,3,3,8
2020-08-04,BOS @ MIA,BOS,MIA,Away,L,00:33:10,23,6,11,54.5,2,5,40.0,9,9,100.0,1,6,7,1,1,1,4,5,1
2020-08-02,BOS vs. POR,BOS,POR,Home,W,00:39:33,34,11,22,50.0,5,8,62.5,7,9,77.8,0,4,4,8,2,1,2,1,6
2020-07-31,BOS @ MIL,BOS,MIL,Away,L,00:32:27,5,2,18,11.1,0,4,0.0,1,2,50.0,4,3,7,3,2,1,2,3,-13
2020-03-10,BOS @ IND,BOS,IND,Away,W,00:35:54,30,11,22,50.0,3,9,33.3,5,6,83.3,1,5,6,2,4,0,0,1,5
2020-03-08,BOS vs. OKC,BOS,OKC,Home,L,00:38:06,19,8,22,36.4,3,7,42.9,0,1,0.0,0,5,5,3,2,1,3,4,-16
2020-03-06,BOS vs. UTA,BOS,UTA,Home,L,00:32:58,18,7,19,36.8,2,5,40.0,2,4,50.0,0,7,7,3,2,0,3,2,12
2020-03-04,BOS @ CLE,BOS,CLE,Away,W,00:39:40,32,11,24,45.8,5,10,50.0,5,7,71.4,0,9,9,6,2,1,4,1,7
2020-02-29,BOS vs. HOU,BOS,HOU,Home,L,00:44:34,32,9,27,33.3,4,12,33.3,10,14,71.4,2,11,13,5,2,2,5,2,-5
2020-02-26,BOS @ UTA,BOS,UTA,Away,W,00:38:25,33,13,20,65.0,3,5,60.0,4,5,80.0,0,11,11,3,0,0,2,0,8
2020-02-25,BOS @ POR,BOS,POR,Away,W,00:34:26,36,14,22,63.6,8,12,66.7,0,0,0.0,0,4,4,1,0,2,2,1,22
2020-02-23,BOS @ LAL,BOS,LAL,Away,L,00:36:33,41,12,20,60.0,4,7,57.1,13,15,86.7,1,4,5,2,1,2,2,3,6
2020-02-21,BOS @ MIN,BOS,MIN,Away,W,00:35:32,28,8,21,38.1,4,10,40.0,8,8,100.0,2,9,11,3,1,1,2,1,0
2020-02-13,BOS vs. LAC,BOS,LAC,Home,W,00:47:53,39,14,23,60.9,5,10,50.0,6,10,60.0,0,9,9,1,1,1,4,4,4
2020-02-11,BOS @ HOU,BOS,HOU,Away,L,00:34:31,15,5,15,33.3,0,7,0.0,5,9,55.6,1,8,9,4,4,1,1,3,-10
2020-02-09,BOS @ OKC,BOS,OKC,Away,W,00:34:45,26,10,19,52.6,4,7,57.1,2,4,50.0,3,8,11,1,0,1,4,3,0
2020-02-07,BOS vs. ATL,BOS,ATL,Home,W,00:37:51,32,10,19,52.6,7,12,58.3,5,6,83.3,3,1,4,6,0,2,5,3,6
2020-02-05,BOS vs. ORL,BOS,ORL,Home,W,00:38:37,33,11,24,45.8,5,11,45.5,6,7,85.7,0,8,8,5,3,2,2,3,12
2020-02-03,BOS @ ATL,BOS,ATL,Away,W,00:35:15,28,10,20,50.0,5,9,55.6,3,3,100.0,0,7,7,3,1,0,1,0,19
2020-02-01,BOS vs. PHI,BOS,PHI,Home,W,00:28:36,25,7,19,36.8,3,6,50.0,8,10,80.0,1,2,3,4,1,1,0,2,21
2020-01-30,BOS vs. GSW,BOS,GSW,Home,W,00:23:52,20,7,14,50.0,1,5,20.0,5,6,83.3,1,5,6,2,1,1,2,2,12
2020-01-22,BOS vs. MEM,BOS,MEM,Home,W,00:26:08,23,9,18,50.0,3,7,42.9,2,2,100.0,1,6,7,4,2,1,1,0,25
2020-01-20,BOS vs. LAL,BOS,LAL,Home,W,00:28:59,27,10,18,55.6,5,8,62.5,2,3,66.7,1,4,5,3,1,0,0,3,32
2020-01-18,BOS vs. PHX,BOS,PHX,Home,L,00:39:13,26,10,20,50.0,2,7,28.6,4,5,80.0,1,9,10,2,3,1,4,3,-3
2020-01-16,BOS @ MIL,BOS,MIL,Away,L,00:40:19,17,8,20,40.0,1,5,20.0,0,2,0.0,0,7,7,3,0,1,2,2,5
2020-01-13,BOS vs. CHI,BOS,CHI,Home,W,00:29:44,21,7,17,41.2,2,7,28.6,5,7,71.4,0,6,6,2,1,2,1,1,-2
2020-01-11,BOS vs. NOP,BOS,NOP,Home,W,00:30:23,41,16,22,72.7,6,9,66.7,3,3,100.0,0,6,6,4,3,0,0,1,30
2020-01-09,BOS @ PHI,BOS,PHI,Away,L,00:35:48,15,4,13,30.8,1,5,20.0,6,6,100.0,0,10,10,4,2,1,4,2,-11
2020-01-08,BOS vs. SAS,BOS,SAS,Home,L,00:31:27,14,5,16,31.3,0,5,0.0,4,4,100.0,0,6,6,3,1,0,3,2,-19
2020-01-06,BOS @ WAS,BOS,WAS,Away,L,00:30:34,17,8,20,40.0,1,4,25.0,0,0,0.0,0,1,1,2,0,2,0,2,-6
2020-01-04,BOS @ CHI,BOS,CHI,Away,W,00:35:54,28,12,15,80.0,2,4,50.0,2,2,100.0,0,7,7,2,2,2,3,1,-9
2020-01-03,BOS vs. ATL,BOS,ATL,Home,W,00:36:51,13,2,16,12.5,0,2,0.0,9,10,90.0,1,8,9,3,0,0,1,1,-4
