Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,WAS vs. NYK,WAS,NYK,Home,W,00:09:39,8,2,4,50.0,1,2,50.0,3,4,75.0,0,1,1,2,0,0,1,0,1
2020-03-08,WAS vs. MIA,WAS,MIA,Home,L,00:10:26,8,3,5,60.0,1,2,50.0,1,1,100.0,0,0,0,1,0,1,4,0,-8
2020-03-06,WAS vs. ATL,WAS,ATL,Home,W,00:11:59,13,5,6,83.3,3,4,75.0,0,0,0.0,0,2,2,2,0,1,1,1,-1
2020-03-04,WAS @ POR,WAS,POR,Away,L,00:10:02,12,4,7,57.1,3,3,100.0,1,1,100.0,1,1,2,2,0,0,1,0,-7
2020-03-03,WAS @ SAC,WAS,SAC,Away,L,00:09:36,10,4,6,66.7,0,0,0.0,2,2,100.0,0,0,0,1,0,0,2,0,-14
2020-03-01,WAS @ GSW,WAS,GSW,Away,W,00:10:54,22,6,10,60.0,5,6,83.3,5,6,83.3,1,0,1,1,1,0,0,0,9
2020-02-28,WAS @ UTA,WAS,UTA,Away,L,00:12:00,10,4,9,44.4,1,5,20.0,1,2,50.0,0,1,1,4,1,0,0,0,-3
2020-02-26,WAS vs. BKN,WAS,BKN,Home,W,00:09:27,7,3,6,50.0,1,2,50.0,0,0,0.0,0,2,2,2,2,0,1,0,11
2020-02-24,WAS vs. MIL,WAS,MIL,Home,L,00:08:31,8,3,5,60.0,2,3,66.7,0,0,0.0,0,0,0,1,0,0,1,0,-6
2020-02-23,WAS @ CHI,WAS,CHI,Away,L,00:09:47,11,4,7,57.1,2,5,40.0,1,1,100.0,1,1,2,1,1,0,1,0,5
2020-02-21,WAS vs. CLE,WAS,CLE,Home,L,00:08:51,5,1,6,16.7,1,3,33.3,2,2,100.0,0,1,1,1,1,0,1,2,3
2020-02-12,WAS @ NYK,WAS,NYK,Away,W,00:09:19,6,3,6,50.0,0,3,0.0,0,0,0.0,0,0,0,1,2,1,2,0,2
2020-02-11,WAS vs. CHI,WAS,CHI,Home,W,00:09:39,5,2,5,40.0,0,0,0.0,1,2,50.0,0,0,0,3,0,0,0,0,12
2020-02-09,WAS vs. MEM,WAS,MEM,Home,L,00:09:07,6,3,6,50.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,1,8
