Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-09,NOP vs. SAS,NOP,SAS,Home,L,00:10:42,6,2,4,50.0,1,1,100.0,1,2,50.0,0,2,2,0,0,0,1,0,-9
2020-08-07,NOP vs. WAS,NOP,WAS,Home,W,00:12:00,9,2,4,50.0,1,1,100.0,4,4,100.0,0,3,3,2,1,0,1,1,-4
2020-08-06,NOP @ SAC,NOP,SAC,Away,L,00:07:54,3,1,4,25.0,1,2,50.0,0,0,0.0,0,0,0,2,1,0,1,0,-10
2020-08-03,NOP vs. MEM,NOP,MEM,Home,W,00:11:40,8,1,4,25.0,0,0,0.0,6,8,75.0,0,2,2,3,0,0,2,0,6
2020-08-01,NOP @ LAC,NOP,LAC,Away,L,00:08:28,3,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,2,0,-11
2020-07-30,NOP vs. UTA,NOP,UTA,Home,L,00:08:54,7,3,7,42.9,1,2,50.0,0,0,0.0,0,3,3,0,0,0,0,1,-6
2020-03-08,NOP @ MIN,NOP,MIN,Away,W,00:12:00,10,4,5,80.0,0,0,0.0,2,3,66.7,1,4,5,2,0,0,0,1,7
2020-03-06,NOP vs. MIA,NOP,MIA,Home,W,00:12:00,0,0,7,0.0,0,3,0.0,0,0,0.0,0,3,3,2,1,0,1,1,6
2020-03-04,NOP @ DAL,NOP,DAL,Away,L,00:10:18,6,2,5,40.0,0,2,0.0,2,2,100.0,0,2,2,1,0,1,1,0,1
2020-03-03,NOP vs. MIN,NOP,MIN,Home,L,00:09:40,6,2,6,33.3,0,0,0.0,2,2,100.0,1,2,3,1,1,0,0,0,5
2020-03-01,NOP vs. LAL,NOP,LAL,Home,L,00:12:00,9,3,8,37.5,0,4,0.0,3,3,100.0,0,1,1,0,0,0,1,0,4
2020-02-28,NOP vs. CLE,NOP,CLE,Home,W,00:10:20,10,3,5,60.0,1,2,50.0,3,4,75.0,0,1,1,2,1,0,0,0,16
2020-02-25,NOP @ LAL,NOP,LAL,Away,L,00:12:00,12,5,8,62.5,0,2,0.0,2,2,100.0,0,3,3,1,0,0,2,0,-4
2020-02-23,NOP @ GSW,NOP,GSW,Away,W,00:09:23,5,1,5,20.0,1,3,33.3,2,2,100.0,0,0,0,0,0,0,0,1,-1
2020-02-21,NOP @ POR,NOP,POR,Away,W,00:09:45,10,3,5,60.0,1,1,100.0,3,3,100.0,0,1,1,4,0,0,1,1,6
2020-02-06,NOP @ CHI,NOP,CHI,Away,W,00:08:57,9,3,7,42.9,1,3,33.3,2,2,100.0,0,2,2,2,2,0,0,0,4
2020-02-04,NOP vs. MIL,NOP,MIL,Home,L,00:12:00,13,4,6,66.7,2,4,50.0,3,3,100.0,0,3,3,0,1,1,1,1,7
2020-02-02,NOP @ HOU,NOP,HOU,Away,L,00:12:00,10,4,6,66.7,2,3,66.7,0,0,0.0,1,2,3,1,0,0,2,1,-2
2020-01-31,NOP vs. MEM,NOP,MEM,Home,W,00:09:27,6,3,6,50.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,0,6
2020-01-28,NOP @ CLE,NOP,CLE,Away,W,00:12:00,15,5,7,71.4,4,4,100.0,1,1,100.0,0,0,0,2,1,0,1,0,6
2020-01-26,NOP vs. BOS,NOP,BOS,Home,W,00:06:34,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2
2020-01-24,NOP vs. DEN,NOP,DEN,Home,L,00:10:34,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,3,0,0,2,0,-3
2020-01-22,NOP vs. SAS,NOP,SAS,Home,L,00:12:00,5,1,6,16.7,0,2,0.0,3,3,100.0,0,1,1,1,1,0,2,1,-7
2020-01-20,NOP @ MEM,NOP,MEM,Away,W,00:07:09,3,0,1,0.0,0,1,0.0,3,4,75.0,0,0,0,3,0,0,1,2,-2
2020-01-18,NOP vs. LAC,NOP,LAC,Home,L,00:12:00,7,3,5,60.0,1,3,33.3,0,2,0.0,0,3,3,2,0,0,1,1,2
2020-01-16,NOP vs. UTA,NOP,UTA,Home,W,00:12:00,7,2,6,33.3,1,2,50.0,2,2,100.0,1,2,3,0,0,1,1,0,-3
2020-01-11,NOP @ BOS,NOP,BOS,Away,L,00:10:39,5,1,6,16.7,1,3,33.3,2,2,100.0,1,1,2,3,0,0,3,2,-17
2020-01-10,NOP @ NYK,NOP,NYK,Away,W,00:12:00,10,4,6,66.7,2,3,66.7,0,0,0.0,2,0,2,4,0,0,2,0,2
2020-01-08,NOP vs. CHI,NOP,CHI,Home,W,00:12:00,3,1,6,16.7,0,3,0.0,1,2,50.0,0,5,5,3,0,1,2,0,2
2020-01-06,NOP vs. UTA,NOP,UTA,Home,L,00:12:00,11,4,8,50.0,2,2,100.0,1,1,100.0,1,1,2,3,1,0,1,1,1
2020-01-04,NOP @ SAC,NOP,SAC,Away,W,00:08:27,5,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,0,2,0,1,1,7
2020-01-03,NOP @ LAL,NOP,LAL,Away,L,00:09:37,4,2,10,20.0,0,3,0.0,0,0,0.0,1,1,2,1,0,1,1,1,-16
2019-12-29,NOP vs. HOU,NOP,HOU,Home,W,00:12:00,6,3,6,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,0,-1
