Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-02-01,BKN @ WAS,BKN,WAS,Away,L,00:09:22,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,3,2,4
2020-01-31,BKN vs. CHI,BKN,CHI,Home,W,00:09:15,16,6,6,100.0,2,2,100.0,2,2,100.0,0,1,1,0,0,0,1,0,11
2020-01-29,BKN vs. DET,BKN,DET,Home,W,00:10:22,7,3,7,42.9,1,3,33.3,0,0,0.0,1,2,3,2,1,0,1,0,8
2020-01-25,BKN @ DET,BKN,DET,Away,W,00:08:29,5,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,1,0
2020-01-23,BKN vs. LAL,BKN,LAL,Home,L,00:10:01,5,2,5,40.0,0,1,0.0,1,2,50.0,0,0,0,2,0,0,0,0,-9
2020-01-18,BKN vs. MIL,BKN,MIL,Home,L,00:08:07,5,2,4,50.0,1,1,100.0,0,0,0.0,0,3,3,2,0,0,1,1,-2
2020-01-15,BKN @ PHI,BKN,PHI,Away,L,00:08:27,0,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,1,0,-4
2020-01-14,BKN vs. UTA,BKN,UTA,Home,L,00:07:36,6,2,5,40.0,1,1,100.0,1,1,100.0,1,0,1,3,1,0,0,0,-3
2020-01-12,BKN vs. ATL,BKN,ATL,Home,W,00:07:43,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,1,0,12
2019-11-14,BKN @ DEN,BKN,DEN,Away,L,00:08:27,5,2,4,50.0,1,2,50.0,0,0,0.0,0,2,2,6,0,0,0,1,1
2019-11-12,BKN @ UTA,BKN,UTA,Away,L,00:10:35,4,2,6,33.3,0,2,0.0,0,0,0.0,0,0,0,2,0,1,1,0,6
2019-11-10,BKN @ PHX,BKN,PHX,Away,L,00:08:31,5,2,4,50.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,1,2,-17
2019-11-08,BKN @ POR,BKN,POR,Away,W,00:09:58,6,2,7,28.6,2,3,66.7,0,0,0.0,0,1,1,0,1,0,1,0,1
2019-11-04,BKN vs. NOP,BKN,NOP,Home,W,00:09:12,6,3,6,50.0,0,3,0.0,0,0,0.0,0,1,1,3,1,0,2,0,5
2019-11-02,BKN @ DET,BKN,DET,Away,L,00:10:05,2,1,4,25.0,0,3,0.0,0,0,0.0,0,2,2,4,0,0,1,1,-7
2019-11-01,BKN vs. HOU,BKN,HOU,Home,W,00:08:39,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,5,0,4
2019-10-30,BKN vs. IND,BKN,IND,Home,L,00:08:40,10,3,5,60.0,1,1,100.0,3,4,75.0,0,4,4,3,0,0,0,0,-4
2019-10-27,BKN @ MEM,BKN,MEM,Away,L,00:09:01,14,5,8,62.5,2,3,66.7,2,3,66.7,1,1,2,2,0,0,0,0,-1
2019-10-25,BKN vs. NYK,BKN,NYK,Home,W,00:07:16,6,0,2,0.0,0,1,0.0,6,6,100.0,0,0,0,1,1,0,0,2,2
2019-10-23,BKN vs. MIN,BKN,MIN,Home,L,00:08:49,12,5,8,62.5,2,4,50.0,0,0,0.0,0,3,3,1,0,1,0,0,-1
