Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-11,HOU @ SAS,HOU,SAS,Away,L,00:08:33,4,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,4,0,0,1,0,-2
2020-08-04,HOU @ POR,HOU,POR,Away,L,00:08:34,5,1,5,20.0,0,1,0.0,3,6,50.0,0,0,0,1,0,1,0,1,-4
2020-08-02,HOU vs. MIL,HOU,MIL,Home,W,00:09:10,7,3,6,50.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,1,0,-2
2020-07-31,HOU @ DAL,HOU,DAL,Away,W,00:09:01,4,2,5,40.0,0,0,0.0,0,1,0.0,0,1,1,0,0,0,1,1,-3
2020-03-10,HOU vs. MIN,HOU,MIN,Home,W,00:09:28,8,3,4,75.0,0,0,0.0,2,2,100.0,0,2,2,3,0,0,0,2,1
2020-03-08,HOU vs. ORL,HOU,ORL,Home,L,00:09:41,10,3,5,60.0,1,1,100.0,3,4,75.0,0,2,2,2,1,0,2,0,1
2020-03-05,HOU vs. LAC,HOU,LAC,Home,L,00:09:03,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,2,-11
2020-03-02,HOU @ NYK,HOU,NYK,Away,L,00:09:12,9,3,6,50.0,1,2,50.0,2,2,100.0,1,2,3,0,0,0,1,0,-7
2020-02-29,HOU @ BOS,HOU,BOS,Away,W,00:09:59,9,4,8,50.0,1,2,50.0,0,0,0.0,1,3,4,1,1,0,3,0,-5
2020-02-26,HOU vs. MEM,HOU,MEM,Home,W,00:09:51,13,6,9,66.7,0,1,0.0,1,2,50.0,2,3,5,2,2,0,0,1,16
2020-02-22,HOU @ UTA,HOU,UTA,Away,W,00:09:15,7,3,6,50.0,1,2,50.0,0,0,0.0,1,1,2,1,0,0,0,1,-5
2020-02-20,HOU @ GSW,HOU,GSW,Away,W,00:09:09,9,4,9,44.4,1,1,100.0,0,0,0.0,1,1,2,2,1,0,0,0,12
2020-02-11,HOU vs. BOS,HOU,BOS,Home,W,00:08:09,7,2,6,33.3,0,0,0.0,3,4,75.0,0,1,1,1,0,0,0,0,2
2020-02-09,HOU vs. UTA,HOU,UTA,Home,L,00:10:14,17,8,11,72.7,1,1,100.0,0,1,0.0,0,2,2,0,0,0,1,1,5
2020-02-06,HOU @ LAL,HOU,LAL,Away,W,00:08:54,5,2,7,28.6,1,1,100.0,0,0,0.0,1,1,2,2,0,0,1,1,-4
2020-02-02,HOU vs. NOP,HOU,NOP,Home,W,00:09:57,2,1,6,16.7,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,3
2020-01-31,HOU vs. DAL,HOU,DAL,Home,W,00:08:02,7,3,6,50.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,0,1,4
2020-01-29,HOU @ POR,HOU,POR,Away,L,00:10:23,8,4,6,66.7,0,0,0.0,0,0,0.0,1,1,2,4,0,1,1,1,3
2020-01-26,HOU @ DEN,HOU,DEN,Away,L,00:09:16,6,3,5,60.0,0,0,0.0,0,0,0.0,1,0,1,3,1,1,2,0,6
2020-01-24,HOU @ MIN,HOU,MIN,Away,W,00:09:57,12,5,9,55.6,0,0,0.0,2,2,100.0,0,0,0,2,0,0,0,0,5
2020-01-22,HOU vs. DEN,HOU,DEN,Home,W,00:09:56,10,5,9,55.6,0,0,0.0,0,0,0.0,1,4,5,1,1,0,2,1,3
2020-01-20,HOU vs. OKC,HOU,OKC,Home,L,00:08:28,8,4,6,66.7,0,0,0.0,0,0,0.0,0,3,3,3,0,0,0,0,1
2020-01-18,HOU vs. LAL,HOU,LAL,Home,L,00:08:49,10,5,6,83.3,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,0,4
2020-01-15,HOU vs. POR,HOU,POR,Home,L,00:09:30,6,3,7,42.9,0,1,0.0,0,1,0.0,1,1,2,3,0,0,0,0,5
2020-01-11,HOU vs. MIN,HOU,MIN,Home,W,00:09:52,8,2,6,33.3,1,2,50.0,3,4,75.0,0,0,0,2,0,0,1,1,5
2020-01-09,HOU @ OKC,HOU,OKC,Away,L,00:10:16,9,4,8,50.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,2,0,-11
2020-01-03,HOU vs. PHI,HOU,PHI,Home,W,00:06:44,2,1,6,16.7,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,1,-4
2019-12-31,HOU vs. DEN,HOU,DEN,Home,W,00:09:24,10,4,6,66.7,0,0,0.0,2,2,100.0,0,0,0,2,0,0,1,0,11
2019-12-28,HOU vs. BKN,HOU,BKN,Home,W,00:09:14,14,7,9,77.8,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,12
2019-12-25,HOU @ GSW,HOU,GSW,Away,L,00:09:52,12,3,10,30.0,0,1,0.0,6,6,100.0,3,1,4,0,0,0,0,0,-2
2019-12-23,HOU @ SAC,HOU,SAC,Away,W,00:09:50,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,2,1,21
2019-12-21,HOU @ PHX,HOU,PHX,Away,W,00:08:21,7,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,1,1,-3
2019-12-19,HOU @ LAC,HOU,LAC,Away,W,00:09:21,7,3,6,50.0,0,0,0.0,1,1,100.0,0,2,2,0,0,0,2,0,2
2019-12-16,HOU vs. SAS,HOU,SAS,Home,W,00:09:41,9,4,7,57.1,1,2,50.0,0,0,0.0,0,2,2,0,0,0,1,0,-19
2019-12-13,HOU @ ORL,HOU,ORL,Away,W,00:10:00,9,4,6,66.7,1,2,50.0,0,0,0.0,0,3,3,1,0,0,1,1,3
2019-12-11,HOU @ CLE,HOU,CLE,Away,W,00:07:54,6,2,5,40.0,0,1,0.0,2,2,100.0,0,0,0,3,1,0,0,1,6
2019-12-09,HOU vs. SAC,HOU,SAC,Home,L,00:09:11,8,4,6,66.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,-2
2019-12-07,HOU vs. PHX,HOU,PHX,Home,W,00:09:01,9,4,7,57.1,1,2,50.0,0,0,0.0,0,2,2,1,1,1,2,0,-3
2019-12-05,HOU @ TOR,HOU,TOR,Away,W,00:08:18,3,1,5,20.0,0,2,0.0,1,2,50.0,0,1,1,3,1,0,2,0,4
2019-12-03,HOU @ SAS,HOU,SAS,Away,L,00:08:39,5,2,5,40.0,1,1,100.0,0,0,0.0,0,0,0,2,1,0,1,2,-3
2019-11-30,HOU vs. ATL,HOU,ATL,Home,W,00:09:04,5,2,4,50.0,1,1,100.0,0,0,0.0,0,2,2,5,0,0,2,1,12
2019-11-27,HOU vs. MIA,HOU,MIA,Home,W,00:09:31,8,3,5,60.0,0,0,0.0,2,2,100.0,1,5,6,2,1,0,4,1,4
2019-11-24,HOU vs. DAL,HOU,DAL,Home,L,00:07:59,5,1,5,20.0,1,3,33.3,2,2,100.0,0,2,2,0,0,0,3,0,-23
