Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-08,MIL @ DAL,MIL,DAL,Away,L,00:05:42,5,2,4,50.0,0,0,0.0,1,2,50.0,0,2,2,0,0,1,1,1,-11
2020-08-06,MIL vs. MIA,MIL,MIA,Home,W,00:07:15,9,2,2,100.0,0,0,0.0,5,5,100.0,1,4,5,2,0,0,2,1,14
2020-08-02,MIL @ HOU,MIL,HOU,Away,L,00:08:27,12,4,7,57.1,1,1,100.0,3,3,100.0,2,5,7,2,0,1,0,0,8
2020-07-31,MIL vs. BOS,MIL,BOS,Home,W,00:07:57,4,1,4,25.0,0,1,0.0,2,4,50.0,0,1,1,2,1,0,0,0,-4
2020-03-06,MIL @ LAL,MIL,LAL,Away,L,00:10:42,8,3,5,60.0,1,2,50.0,1,1,100.0,1,1,2,1,0,0,1,1,-12
2020-03-04,MIL vs. IND,MIL,IND,Home,W,00:09:06,5,1,4,25.0,1,3,33.3,2,2,100.0,0,4,4,4,0,0,2,2,19
2020-03-02,MIL @ MIA,MIL,MIA,Away,L,00:09:53,7,3,6,50.0,0,1,0.0,1,2,50.0,0,5,5,1,0,0,2,0,-10
2020-03-01,MIL @ CHA,MIL,CHA,Away,W,00:07:27,6,3,6,50.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,0,4
2020-02-28,MIL vs. OKC,MIL,OKC,Home,W,00:09:59,8,3,6,50.0,1,2,50.0,1,2,50.0,0,3,3,3,0,0,2,0,16
2020-02-25,MIL @ TOR,MIL,TOR,Away,W,00:09:17,2,0,1,0.0,0,0,0.0,2,2,100.0,0,5,5,4,0,0,1,0,12
2020-02-24,MIL @ WAS,MIL,WAS,Away,W,00:05:34,8,1,1,100.0,0,0,0.0,6,6,100.0,0,3,3,1,0,0,0,1,4
2020-02-22,MIL vs. PHI,MIL,PHI,Home,W,00:08:36,12,4,5,80.0,0,1,0.0,4,6,66.7,0,8,8,4,0,0,1,1,16
2020-02-20,MIL @ DET,MIL,DET,Away,W,00:10:06,5,2,6,33.3,0,1,0.0,1,1,100.0,0,3,3,1,0,0,2,2,2
2020-02-08,MIL @ ORL,MIL,ORL,Away,W,00:09:27,6,2,7,28.6,0,0,0.0,2,2,100.0,1,6,7,1,0,1,3,2,-3
2020-02-06,MIL vs. PHI,MIL,PHI,Home,W,00:09:18,8,2,5,40.0,0,1,0.0,4,4,100.0,0,4,4,1,0,0,1,0,2
2020-02-04,MIL @ NOP,MIL,NOP,Away,W,00:09:31,16,6,9,66.7,1,1,100.0,3,5,60.0,0,6,6,2,0,0,0,1,14
2020-02-02,MIL vs. PHX,MIL,PHX,Home,W,00:07:34,9,3,9,33.3,0,1,0.0,3,4,75.0,4,4,8,2,1,1,1,0,-7
2020-01-31,MIL vs. DEN,MIL,DEN,Home,L,00:10:00,10,3,9,33.3,1,2,50.0,3,6,50.0,2,4,6,1,0,1,0,0,-8
2020-01-24,MIL @ CHA,MIL,CHA,Away,W,00:07:30,6,2,3,66.7,0,0,0.0,2,4,50.0,2,4,6,1,0,1,2,0,1
