Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-14,HOU vs. PHI,HOU,PHI,Home,L,00:09:42,12,3,5,60.0,1,3,33.3,5,5,100.0,0,1,1,2,1,1,2,0,-6
2020-08-12,HOU vs. IND,HOU,IND,Home,L,00:09:03,9,1,3,33.3,1,3,33.3,6,7,85.7,0,7,7,5,2,0,1,0,6
2020-08-09,HOU @ SAC,HOU,SAC,Away,W,00:09:33,7,1,4,25.0,0,3,0.0,5,5,100.0,0,1,1,1,0,0,2,0,-9
2020-08-06,HOU vs. LAL,HOU,LAL,Home,W,00:09:17,10,3,5,60.0,2,2,100.0,2,2,100.0,0,2,2,4,1,0,2,0,1
2020-08-04,HOU @ POR,HOU,POR,Away,L,00:09:04,6,2,4,50.0,1,2,50.0,1,1,100.0,0,1,1,3,0,0,0,1,-3
2020-08-02,HOU vs. MIL,HOU,MIL,Home,W,00:10:03,7,2,5,40.0,0,3,0.0,3,4,75.0,1,1,2,1,0,0,1,2,-3
2020-07-31,HOU @ DAL,HOU,DAL,Away,W,00:09:19,23,6,6,100.0,2,2,100.0,9,9,100.0,0,1,1,3,0,0,0,2,4
2020-03-10,HOU vs. MIN,HOU,MIN,Home,W,00:09:10,8,2,3,66.7,1,2,50.0,3,5,60.0,0,3,3,0,1,1,3,0,-5
2020-03-08,HOU vs. ORL,HOU,ORL,Home,L,00:09:05,5,1,4,25.0,1,3,33.3,2,2,100.0,0,0,0,2,0,0,1,1,-11
2020-03-07,HOU @ CHA,HOU,CHA,Away,L,00:12:00,4,1,4,25.0,0,1,0.0,2,2,100.0,0,3,3,3,0,0,4,1,-13
2020-03-05,HOU vs. LAC,HOU,LAC,Home,L,00:09:57,9,4,9,44.4,0,3,0.0,1,1,100.0,0,0,0,3,0,0,1,0,-6
2020-03-02,HOU @ NYK,HOU,NYK,Away,L,00:10:00,10,1,4,25.0,0,3,0.0,8,8,100.0,0,1,1,1,2,0,3,1,0
2020-02-29,HOU @ BOS,HOU,BOS,Away,W,00:08:59,5,2,5,40.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,1,0,-5
2020-02-26,HOU vs. MEM,HOU,MEM,Home,W,00:10:21,7,3,7,42.9,1,3,33.3,0,0,0.0,2,3,5,1,0,0,1,1,8
2020-02-24,HOU vs. NYK,HOU,NYK,Home,W,00:09:32,12,4,7,57.1,2,2,100.0,2,4,50.0,1,1,2,3,1,0,2,0,2
2020-02-22,HOU @ UTA,HOU,UTA,Away,W,00:09:15,12,4,7,57.1,2,2,100.0,2,2,100.0,1,2,3,3,0,0,0,1,8
2020-02-20,HOU @ GSW,HOU,GSW,Away,W,00:09:36,11,2,4,50.0,2,3,66.7,5,6,83.3,0,0,0,5,1,1,0,1,24
2020-02-11,HOU vs. BOS,HOU,BOS,Home,W,00:10:46,7,2,5,40.0,1,4,25.0,2,2,100.0,0,4,4,2,0,1,2,0,3
2020-02-09,HOU vs. UTA,HOU,UTA,Home,L,00:09:08,7,3,6,50.0,1,4,25.0,0,0,0.0,0,2,2,3,1,1,1,0,7
2020-02-07,HOU @ PHX,HOU,PHX,Away,L,00:10:31,9,1,5,20.0,0,3,0.0,7,7,100.0,0,1,1,1,1,0,0,0,-17
2020-02-06,HOU @ LAL,HOU,LAL,Away,W,00:10:00,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,-2
2020-02-04,HOU vs. CHA,HOU,CHA,Home,W,00:09:24,7,2,5,40.0,1,2,50.0,2,2,100.0,0,2,2,3,2,0,3,2,-11
2020-02-02,HOU vs. NOP,HOU,NOP,Home,W,00:09:28,14,4,7,57.1,2,5,40.0,4,4,100.0,1,0,1,3,0,1,0,1,-6
2020-01-31,HOU vs. DAL,HOU,DAL,Home,W,00:09:16,5,1,7,14.3,1,3,33.3,2,2,100.0,1,4,5,3,0,0,0,0,4
2020-01-29,HOU @ POR,HOU,POR,Away,L,00:09:15,7,3,5,60.0,1,2,50.0,0,0,0.0,1,2,3,2,1,0,1,1,4
2020-01-24,HOU @ MIN,HOU,MIN,Away,W,00:08:46,2,1,5,20.0,0,1,0.0,0,0,0.0,0,2,2,4,0,1,0,2,6
2020-01-22,HOU vs. DEN,HOU,DEN,Home,W,00:09:09,10,3,3,100.0,1,1,100.0,3,4,75.0,0,1,1,2,0,0,1,2,2
2020-01-20,HOU vs. OKC,HOU,OKC,Home,L,00:10:54,7,3,11,27.3,0,6,0.0,1,1,100.0,1,2,3,1,0,0,2,0,-5
2020-01-18,HOU vs. LAL,HOU,LAL,Home,L,00:09:19,9,1,4,25.0,1,3,33.3,6,7,85.7,0,3,3,4,0,0,3,0,5
2020-01-15,HOU vs. POR,HOU,POR,Home,L,00:09:06,5,2,4,50.0,1,1,100.0,0,1,0.0,1,2,3,0,0,0,1,2,-6
2020-01-14,HOU @ MEM,HOU,MEM,Away,L,00:09:55,17,6,8,75.0,2,3,66.7,3,3,100.0,0,1,1,0,0,1,0,0,7
2020-01-11,HOU vs. MIN,HOU,MIN,Home,W,00:10:31,4,1,6,16.7,0,2,0.0,2,4,50.0,0,3,3,2,1,0,5,1,-3
2020-01-09,HOU @ OKC,HOU,OKC,Away,L,00:09:07,4,1,6,16.7,0,4,0.0,2,2,100.0,1,0,1,1,0,1,0,0,-15
2020-01-08,HOU @ ATL,HOU,ATL,Away,W,00:12:00,22,6,9,66.7,3,5,60.0,7,7,100.0,0,2,2,6,1,0,2,0,16
2020-01-03,HOU vs. PHI,HOU,PHI,Home,W,00:12:00,9,3,8,37.5,1,3,33.3,2,2,100.0,1,5,6,1,0,0,1,1,-7
2019-12-31,HOU vs. DEN,HOU,DEN,Home,W,00:09:12,9,2,3,66.7,2,2,100.0,3,5,60.0,0,1,1,2,0,0,1,1,4
