Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,CLE @ CHI,CLE,CHI,Away,L,00:10:10,7,1,5,20.0,0,4,0.0,5,5,100.0,0,4,4,3,1,0,3,0,4
2020-03-08,CLE vs. SAS,CLE,SAS,Home,W,00:08:00,3,0,2,0.0,0,1,0.0,3,3,100.0,1,5,6,1,0,0,0,0,14
2020-03-07,CLE vs. DEN,CLE,DEN,Home,W,00:08:19,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,-7
2020-03-04,CLE vs. BOS,CLE,BOS,Home,L,00:09:11,8,2,3,66.7,2,2,100.0,2,2,100.0,1,4,5,1,0,1,1,0,0
2020-03-02,CLE vs. UTA,CLE,UTA,Home,L,00:07:33,6,2,4,50.0,2,3,66.7,0,0,0.0,0,2,2,0,1,0,1,0,-2
2020-02-29,CLE vs. IND,CLE,IND,Home,L,00:09:02,5,2,3,66.7,0,1,0.0,1,1,100.0,0,2,2,2,0,0,0,0,-2
2020-02-28,CLE @ NOP,CLE,NOP,Away,L,00:08:14,4,2,6,33.3,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,1,-14
2020-02-26,CLE vs. PHI,CLE,PHI,Home,W,00:09:14,2,0,2,0.0,0,2,0.0,2,2,100.0,0,3,3,1,0,0,1,0,4
2020-02-24,CLE vs. MIA,CLE,MIA,Home,W,00:08:21,5,1,4,25.0,1,3,33.3,2,3,66.7,0,5,5,0,0,0,2,0,-12
2020-02-21,CLE @ WAS,CLE,WAS,Away,W,00:08:51,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,0,-3
2020-02-09,CLE vs. LAC,CLE,LAC,Home,L,00:08:29,6,2,4,50.0,2,4,50.0,0,0,0.0,0,3,3,1,1,0,1,0,-12
2020-02-05,CLE @ OKC,CLE,OKC,Away,L,00:08:35,2,1,5,20.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,0,0
2020-02-03,CLE vs. NYK,CLE,NYK,Home,L,00:12:00,17,6,9,66.7,2,5,40.0,3,3,100.0,1,5,6,1,0,0,1,1,4
2020-02-01,CLE vs. GSW,CLE,GSW,Home,L,00:08:01,2,1,4,25.0,0,3,0.0,0,0,0.0,0,2,2,3,1,0,0,0,-1
2020-01-30,CLE vs. TOR,CLE,TOR,Home,L,00:10:33,8,3,4,75.0,2,3,66.7,0,0,0.0,0,2,2,3,0,0,0,0,0
2020-01-28,CLE vs. NOP,CLE,NOP,Home,L,00:07:47,7,3,6,50.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,-6
2020-01-27,CLE @ DET,CLE,DET,Away,W,00:08:53,8,3,5,60.0,2,4,50.0,0,0,0.0,0,2,2,0,0,0,0,1,8
2020-01-25,CLE vs. CHI,CLE,CHI,Home,L,00:11:56,8,4,7,57.1,0,1,0.0,0,0,0.0,1,6,7,2,1,0,1,1,6
2020-01-23,CLE vs. WAS,CLE,WAS,Home,L,00:08:29,5,2,7,28.6,1,4,25.0,0,0,0.0,0,2,2,0,1,0,0,0,-1
