Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-12,OKC vs. MIA,OKC,MIA,Home,W,00:06:56,4,2,4,50.0,0,1,0.0,0,0,0.0,1,0,1,1,1,0,1,2,7
2020-08-10,OKC @ PHX,OKC,PHX,Away,L,00:08:01,4,1,2,50.0,0,1,0.0,2,2,100.0,0,3,3,2,1,0,3,2,-12
2020-08-09,OKC vs. WAS,OKC,WAS,Home,W,00:08:06,3,1,3,33.3,1,1,100.0,0,0,0.0,0,1,1,2,0,1,1,0,8
2020-08-07,OKC @ MEM,OKC,MEM,Away,L,00:08:50,8,2,6,33.3,1,2,50.0,3,3,100.0,2,0,2,2,2,0,1,0,-8
2020-08-05,OKC @ LAL,OKC,LAL,Away,W,00:06:56,8,2,3,66.7,0,0,0.0,4,4,100.0,0,2,2,1,0,0,2,2,1
2020-08-03,OKC vs. DEN,OKC,DEN,Home,L,00:07:53,8,3,5,60.0,0,1,0.0,2,2,100.0,0,1,1,2,0,0,2,0,4
2020-08-01,OKC vs. UTA,OKC,UTA,Home,W,00:05:54,7,3,4,75.0,0,0,0.0,1,1,100.0,0,1,1,3,0,0,0,0,6
2020-03-08,OKC @ BOS,OKC,BOS,Away,W,00:08:11,6,2,3,66.7,0,1,0.0,2,2,100.0,0,0,0,1,1,1,1,1,-5
2020-03-06,OKC @ NYK,OKC,NYK,Away,W,00:07:29,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,1,-4
2020-03-04,OKC @ DET,OKC,DET,Away,W,00:07:13,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,2,-2
2020-03-03,OKC vs. LAC,OKC,LAC,Home,L,00:07:32,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,0,6
2020-02-28,OKC @ MIL,OKC,MIL,Away,L,00:08:02,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-5
2020-02-27,OKC vs. SAC,OKC,SAC,Home,W,00:07:17,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-6
2020-02-25,OKC @ CHI,OKC,CHI,Away,W,00:07:29,4,2,4,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,1,0,10
