Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-01-29,HOU @ POR,HOU,POR,Away,L,00:03:18,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-11
2020-01-26,HOU @ DEN,HOU,DEN,Away,L,00:06:41,4,1,2,50.0,0,0,0.0,2,2,100.0,4,0,4,1,0,1,0,2,-3
2020-01-24,HOU @ MIN,HOU,MIN,Away,W,00:11:38,6,3,4,75.0,0,0,0.0,0,2,0.0,2,0,2,0,0,1,1,0,-9
2020-01-22,HOU vs. DEN,HOU,DEN,Home,W,00:07:28,2,1,2,50.0,0,0,0.0,0,0,0.0,2,3,5,0,0,2,0,1,3
2020-01-20,HOU vs. OKC,HOU,OKC,Home,L,00:06:07,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,6
2020-01-18,HOU vs. LAL,HOU,LAL,Home,L,00:12:00,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,1,-1
2020-01-15,HOU vs. POR,HOU,POR,Home,L,00:05:13,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-6
2020-01-14,HOU @ MEM,HOU,MEM,Away,L,00:09:10,4,2,2,100.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,1,2,0
2020-01-09,HOU @ OKC,HOU,OKC,Away,L,00:12:00,6,2,5,40.0,0,0,0.0,2,2,100.0,3,2,5,0,0,0,0,1,4
2020-01-08,HOU @ ATL,HOU,ATL,Away,W,00:08:51,4,2,3,66.7,0,0,0.0,0,0,0.0,1,3,4,0,1,1,0,0,-7
2020-01-03,HOU vs. PHI,HOU,PHI,Home,W,00:10:11,9,4,4,100.0,0,0,0.0,1,1,100.0,1,2,3,2,0,0,0,2,9
2019-12-31,HOU vs. DEN,HOU,DEN,Home,W,00:09:29,5,2,4,50.0,0,0,0.0,1,2,50.0,1,4,5,0,2,0,0,0,5
2019-12-25,HOU @ GSW,HOU,GSW,Away,L,00:09:42,6,2,2,100.0,0,0,0.0,2,2,100.0,1,3,4,0,0,0,0,2,-1
2019-12-23,HOU @ SAC,HOU,SAC,Away,W,00:12:00,2,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,-8
2019-12-21,HOU @ PHX,HOU,PHX,Away,W,00:09:32,6,3,3,100.0,0,0,0.0,0,0,0.0,1,5,6,1,0,0,0,1,11
2019-12-19,HOU @ LAC,HOU,LAC,Away,W,00:09:48,4,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,1,1,0,2,1,-10
2019-12-16,HOU vs. SAS,HOU,SAS,Home,W,00:06:38,4,2,2,100.0,0,0,0.0,0,2,0.0,0,2,2,1,0,1,1,1,3
2019-12-14,HOU vs. DET,HOU,DET,Home,L,00:09:15,2,1,2,50.0,0,0,0.0,0,0,0.0,2,5,7,0,0,0,0,1,-5
2019-12-13,HOU @ ORL,HOU,ORL,Away,W,00:04:54,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-2
2019-12-11,HOU @ CLE,HOU,CLE,Away,W,00:07:30,4,2,2,100.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,3
2019-12-09,HOU vs. SAC,HOU,SAC,Home,L,00:08:39,2,1,1,100.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,1,0,5
2019-12-07,HOU vs. PHX,HOU,PHX,Home,W,00:08:05,7,3,3,100.0,0,0,0.0,1,2,50.0,0,3,3,0,0,1,1,1,11
2019-12-05,HOU @ TOR,HOU,TOR,Away,W,00:10:36,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,1,2,0,1,1,2
2019-12-03,HOU @ SAS,HOU,SAS,Away,L,00:09:38,4,2,2,100.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,1,9
2019-11-24,HOU vs. DAL,HOU,DAL,Home,L,00:09:03,5,2,2,100.0,0,0,0.0,1,2,50.0,1,4,5,1,0,0,0,0,-6
2019-11-22,HOU @ LAC,HOU,LAC,Away,L,00:11:51,8,4,4,100.0,0,0,0.0,0,2,0.0,0,4,4,0,0,2,1,2,3
2019-11-20,HOU @ DEN,HOU,DEN,Away,L,00:09:28,4,2,3,66.7,0,0,0.0,0,0,0.0,2,5,7,0,1,0,1,1,3
2019-11-18,HOU vs. POR,HOU,POR,Home,W,00:10:34,4,2,4,50.0,0,0,0.0,0,1,0.0,1,6,7,0,0,2,1,0,13
2019-11-13,HOU vs. LAC,HOU,LAC,Home,W,00:10:09,4,2,3,66.7,0,0,0.0,0,2,0.0,1,8,9,0,0,1,0,0,0
2019-11-11,HOU @ NOP,HOU,NOP,Away,W,00:07:15,2,1,1,100.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,1,0
2019-11-09,HOU @ CHI,HOU,CHI,Away,W,00:12:00,4,2,2,100.0,0,0,0.0,0,0,0.0,1,6,7,0,0,1,0,1,8
2019-11-06,HOU vs. GSW,HOU,GSW,Home,W,00:08:08,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,0,0,11
2019-11-04,HOU @ MEM,HOU,MEM,Away,W,00:09:02,6,3,5,60.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,2
2019-11-03,HOU @ MIA,HOU,MIA,Away,L,00:07:23,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,0,11
2019-11-01,HOU @ BKN,HOU,BKN,Away,L,00:05:53,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-12
2019-10-30,HOU @ WAS,HOU,WAS,Away,W,00:12:00,11,5,7,71.4,0,0,0.0,1,3,33.3,1,3,4,1,0,1,1,0,-2
