Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,MIN @ HOU,MIN,HOU,Away,L,00:09:41,7,1,3,33.3,0,2,0.0,5,6,83.3,0,0,0,2,1,0,1,1,-3
2020-03-08,MIN vs. NOP,MIN,NOP,Home,L,00:10:25,2,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,1,0,0,3,1,5
2020-03-04,MIN vs. CHI,MIN,CHI,Home,W,00:06:41,5,2,4,50.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,2,1,-2
2020-03-03,MIN @ NOP,MIN,NOP,Away,W,00:08:28,10,3,7,42.9,2,3,66.7,2,2,100.0,0,0,0,3,0,0,0,1,9
2020-03-01,MIN vs. DAL,MIN,DAL,Home,L,00:06:29,3,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,0,-4
2020-02-28,MIN @ ORL,MIN,ORL,Away,L,00:08:08,0,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,0,3
2020-02-26,MIN @ MIA,MIN,MIA,Away,W,00:07:16,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,2,2,1,0,0,10
2020-02-24,MIN @ DAL,MIN,DAL,Away,L,00:05:18,2,0,2,0.0,0,2,0.0,2,2,100.0,0,0,0,1,0,0,0,0,-2
2020-02-21,MIN vs. BOS,MIN,BOS,Home,L,00:07:20,2,0,3,0.0,0,3,0.0,2,2,100.0,0,1,1,1,0,0,0,0,-9
2020-02-12,MIN vs. CHA,MIN,CHA,Home,L,00:08:46,7,3,8,37.5,1,4,25.0,0,0,0.0,0,0,0,1,0,0,1,1,-1
2020-02-10,MIN @ TOR,MIN,TOR,Away,L,00:07:15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,0,-5
2020-02-05,GSW @ BKN,GSW,BKN,Away,L,00:05:25,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-6
2020-02-01,GSW @ CLE,GSW,CLE,Away,W,00:05:14,1,0,2,0.0,0,1,0.0,1,2,50.0,0,1,1,2,0,0,1,0,-4
2020-01-30,GSW @ BOS,GSW,BOS,Away,L,00:06:42,3,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,1,2,0,1,0,-5
2020-01-28,GSW @ PHI,GSW,PHI,Away,L,00:09:30,6,2,5,40.0,1,3,33.3,1,3,33.3,0,2,2,0,1,0,0,1,-4
2020-01-24,GSW vs. IND,GSW,IND,Home,L,00:09:14,5,1,2,50.0,1,2,50.0,2,2,100.0,0,0,0,3,0,0,1,1,6
2020-01-22,GSW vs. UTA,GSW,UTA,Home,L,00:04:26,2,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0
2020-01-20,GSW @ POR,GSW,POR,Away,L,00:12:00,10,4,9,44.4,2,7,28.6,0,0,0.0,0,2,2,2,0,0,1,1,-5
2020-01-18,GSW vs. ORL,GSW,ORL,Home,W,00:09:53,12,3,6,50.0,2,5,40.0,4,4,100.0,0,1,1,2,0,0,0,0,4
2020-01-16,GSW vs. DEN,GSW,DEN,Home,L,00:08:07,4,1,3,33.3,1,2,50.0,1,2,50.0,0,1,1,1,1,0,1,1,-14
2020-01-14,GSW vs. DAL,GSW,DAL,Home,L,00:08:14,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,2,1,-1
2020-01-12,GSW @ MEM,GSW,MEM,Away,L,00:07:57,10,3,5,60.0,2,3,66.7,2,2,100.0,1,1,2,1,0,0,1,0,1
2019-12-28,GSW vs. DAL,GSW,DAL,Home,L,00:04:44,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,0,-8
2019-12-27,GSW vs. PHX,GSW,PHX,Home,W,00:10:44,12,3,8,37.5,1,5,20.0,5,6,83.3,0,2,2,4,0,0,0,0,19
2019-12-25,GSW vs. HOU,GSW,HOU,Home,W,00:05:47,4,1,3,33.3,0,2,0.0,2,2,100.0,0,1,1,0,0,0,2,0,-2
2019-12-23,GSW vs. MIN,GSW,MIN,Home,W,00:09:33,8,1,4,25.0,1,2,50.0,5,6,83.3,0,0,0,0,0,0,2,1,-12
2019-12-20,GSW vs. NOP,GSW,NOP,Home,W,00:10:28,10,4,6,66.7,2,3,66.7,0,0,0.0,0,1,1,1,0,0,3,1,7
2019-12-18,GSW @ POR,GSW,POR,Away,L,00:10:03,8,3,7,42.9,2,5,40.0,0,0,0.0,0,1,1,2,0,1,0,1,-6
2019-12-15,GSW vs. SAC,GSW,SAC,Home,L,00:05:36,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,1,1,5
2019-12-13,GSW @ UTA,GSW,UTA,Away,L,00:08:41,3,1,7,14.3,1,6,16.7,0,0,0.0,0,0,0,2,1,0,0,2,2
2019-12-11,GSW vs. NYK,GSW,NYK,Home,L,00:07:12,10,4,6,66.7,2,4,50.0,0,0,0.0,0,1,1,1,0,0,2,1,1
2019-12-09,GSW vs. MEM,GSW,MEM,Home,L,00:09:42,3,1,6,16.7,1,5,20.0,0,0,0.0,1,0,1,1,0,0,0,0,1
2019-12-06,GSW @ CHI,GSW,CHI,Away,W,00:07:50,1,0,4,0.0,0,4,0.0,1,2,50.0,0,2,2,1,0,0,0,0,5
2019-12-04,GSW @ CHA,GSW,CHA,Away,L,00:07:25,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-1
2019-11-13,GSW @ LAL,GSW,LAL,Away,L,00:03:58,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,1,-6
2019-11-11,GSW vs. UTA,GSW,UTA,Home,L,00:06:41,4,1,3,33.3,0,1,0.0,2,3,66.7,0,0,0,3,0,0,0,0,-2
2019-11-09,GSW @ OKC,GSW,OKC,Away,L,00:08:31,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,3,1,0,1,2,1
2019-11-08,GSW @ MIN,GSW,MIN,Away,L,00:08:45,14,6,12,50.0,2,5,40.0,0,0,0.0,0,2,2,0,0,0,1,0,-5
2019-11-01,GSW vs. SAS,GSW,SAS,Home,L,00:03:07,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
2019-10-28,GSW @ NOP,GSW,NOP,Away,W,00:03:35,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,3,0,0,0,0,3
2019-10-24,GSW vs. LAC,GSW,LAC,Home,L,00:07:54,4,0,1,0.0,0,1,0.0,4,4,100.0,0,0,0,4,0,0,0,0,2
