Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-13,POR @ BKN,POR,BKN,Away,W,00:07:52,12,5,7,71.4,2,3,66.7,0,0,0.0,0,2,2,3,0,0,1,0,4
2020-08-11,POR @ DAL,POR,DAL,Away,W,00:07:42,13,6,9,66.7,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,0,1
2020-08-09,POR vs. PHI,POR,PHI,Home,W,00:06:56,10,3,5,60.0,0,1,0.0,4,4,100.0,0,0,0,2,0,0,0,0,-2
2020-08-08,POR vs. LAC,POR,LAC,Home,L,00:05:49,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,-3
2020-08-06,POR @ DEN,POR,DEN,Away,W,00:05:47,6,2,4,50.0,2,4,50.0,0,0,0.0,0,2,2,3,0,0,0,0,2
2020-08-04,POR vs. HOU,POR,HOU,Home,W,00:06:17,4,1,3,33.3,0,1,0.0,2,2,100.0,0,3,3,1,0,0,0,0,-8
2020-08-02,POR @ BOS,POR,BOS,Away,L,00:08:02,4,1,3,33.3,0,1,0.0,2,2,100.0,0,0,0,1,0,0,1,0,1
2020-07-31,POR vs. MEM,POR,MEM,Home,W,00:07:03,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,0
2020-03-10,POR vs. PHX,POR,PHX,Home,W,00:05:56,4,1,4,25.0,0,2,0.0,2,2,100.0,0,3,3,0,0,1,2,0,0
2020-03-07,POR vs. SAC,POR,SAC,Home,L,00:07:12,6,2,5,40.0,1,4,25.0,1,2,50.0,0,2,2,0,0,0,0,0,-7
2020-03-06,POR @ PHX,POR,PHX,Away,L,00:09:24,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,3,0,0,1,0,10
2020-03-04,POR vs. WAS,POR,WAS,Home,W,00:08:05,9,2,5,40.0,1,2,50.0,4,4,100.0,1,1,2,1,0,0,0,0,2
2020-02-12,POR @ MEM,POR,MEM,Away,L,00:08:10,7,3,5,60.0,1,3,33.3,0,0,0.0,0,0,0,4,0,0,1,1,4
2020-02-11,POR @ NOP,POR,NOP,Away,L,00:05:04,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
2020-02-09,POR vs. MIA,POR,MIA,Home,W,00:05:08,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4
2020-02-07,POR @ UTA,POR,UTA,Away,L,00:07:49,11,4,7,57.1,1,2,50.0,2,3,66.7,0,1,1,3,0,0,0,1,17
2020-02-06,POR vs. SAS,POR,SAS,Home,W,00:05:37,5,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,3,0,0,2,0,-2
2020-02-04,POR @ DEN,POR,DEN,Away,L,00:06:04,2,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-14
2020-02-01,POR vs. UTA,POR,UTA,Home,W,00:05:59,13,4,6,66.7,3,4,75.0,2,2,100.0,0,1,1,0,0,0,0,1,7
2020-01-31,POR @ LAL,POR,LAL,Away,W,00:07:37,6,2,5,40.0,0,1,0.0,2,3,66.7,0,1,1,1,1,0,0,0,1
2020-01-29,POR vs. HOU,POR,HOU,Home,W,00:06:23,9,2,4,50.0,1,3,33.3,4,4,100.0,0,3,3,4,0,0,1,1,14
2020-01-26,POR vs. IND,POR,IND,Home,W,00:05:36,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,4,1,0,0,0,6
2020-01-23,POR vs. DAL,POR,DAL,Home,L,00:05:55,2,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,4,0,0,2,0,1
2020-01-20,POR vs. GSW,POR,GSW,Home,W,00:07:23,14,2,5,40.0,1,2,50.0,9,9,100.0,0,2,2,0,1,0,2,0,3
2020-01-18,POR @ OKC,POR,OKC,Away,L,00:06:58,13,3,5,60.0,2,3,66.7,5,5,100.0,0,0,0,2,0,0,0,1,-1
2020-01-17,POR @ DAL,POR,DAL,Away,L,00:07:53,14,5,6,83.3,0,0,0.0,4,4,100.0,0,1,1,3,1,0,2,0,-2
2020-01-15,POR @ HOU,POR,HOU,Away,W,00:05:13,5,1,2,50.0,1,1,100.0,2,2,100.0,1,2,3,0,0,0,1,0,6
2020-01-13,POR vs. CHA,POR,CHA,Home,W,00:05:38,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,10
2020-01-11,POR vs. MIL,POR,MIL,Home,L,00:09:37,10,3,5,60.0,1,2,50.0,3,3,100.0,0,1,1,2,0,0,0,1,4
2020-01-09,POR @ MIN,POR,MIN,Away,L,00:07:18,7,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,-9
2020-01-07,POR @ TOR,POR,TOR,Away,W,00:08:34,2,0,1,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,2,0,3
