Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-12,MIA @ OKC,MIA,OKC,Away,L,00:07:15,5,1,2,50.0,0,0,0.0,3,4,75.0,1,1,2,0,2,0,2,1,-1
2020-08-10,MIA vs. IND,MIA,IND,Home,W,00:08:01,4,1,6,16.7,0,2,0.0,2,2,100.0,2,2,4,1,0,0,0,0,-7
2020-08-03,MIA vs. TOR,MIA,TOR,Home,L,00:07:44,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,2,0,-1
2020-08-01,MIA @ DEN,MIA,DEN,Away,W,00:07:41,5,1,2,50.0,0,0,0.0,3,3,100.0,1,0,1,1,1,0,1,2,-4
2020-03-08,MIA @ WAS,MIA,WAS,Away,W,00:06:32,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,1,-5
2020-03-06,MIA @ NOP,MIA,NOP,Away,L,00:07:39,8,2,3,66.7,0,0,0.0,4,5,80.0,0,2,2,1,0,0,0,0,-8
2020-03-04,MIA vs. ORL,MIA,ORL,Home,W,00:06:23,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-4
2020-03-02,MIA vs. MIL,MIA,MIL,Home,W,00:07:29,1,0,3,0.0,0,0,0.0,1,2,50.0,0,1,1,2,0,0,0,1,-4
2020-02-29,MIA vs. BKN,MIA,BKN,Home,W,00:07:13,3,1,2,50.0,0,0,0.0,1,1,100.0,1,1,2,2,0,0,0,0,6
2020-02-28,MIA vs. DAL,MIA,DAL,Home,W,00:05:22,3,1,3,33.3,0,0,0.0,1,2,50.0,0,0,0,1,0,1,0,2,2
2020-02-26,MIA vs. MIN,MIA,MIN,Home,L,00:06:09,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,1,12
2020-02-20,MIA @ ATL,MIA,ATL,Away,L,00:07:15,8,3,7,42.9,0,0,0.0,2,2,100.0,1,1,2,2,0,0,0,0,5
2020-02-12,MIA @ UTA,MIA,UTA,Away,L,00:07:08,6,2,5,40.0,0,1,0.0,2,3,66.7,0,1,1,1,0,0,0,0,2
2020-02-10,MIA @ GSW,MIA,GSW,Away,W,00:07:20,5,2,2,100.0,0,0,0.0,1,2,50.0,0,3,3,2,2,1,1,0,3
2020-02-05,MIA @ LAC,MIA,LAC,Away,L,00:06:21,8,2,3,66.7,0,1,0.0,4,5,80.0,0,1,1,0,0,0,1,0,-7
2020-02-03,MIA vs. PHI,MIA,PHI,Home,W,00:07:44,17,6,9,66.7,0,0,0.0,5,5,100.0,0,0,0,0,1,0,0,0,6
2020-02-01,MIA @ ORL,MIA,ORL,Away,W,00:07:56,4,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,1,0,1,1,0,9
