Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-11,ATL vs. NYK,ATL,NYK,Home,L,00:12:00,6,3,3,100.0,0,0,0.0,0,1,0.0,1,5,6,0,0,0,1,1,18
2020-03-09,ATL vs. CHA,ATL,CHA,Home,W,00:10:22,3,1,1,100.0,0,0,0.0,1,2,50.0,2,2,4,0,0,2,0,0,-7
2020-03-07,ATL @ MEM,ATL,MEM,Away,L,00:07:10,7,3,3,100.0,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,0,-1
2020-03-06,ATL @ WAS,ATL,WAS,Away,L,00:09:50,16,6,8,75.0,1,2,50.0,3,3,100.0,1,3,4,1,1,0,0,1,12
2020-03-02,ATL vs. MEM,ATL,MEM,Home,L,00:04:40,5,2,4,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,0,-8
2020-02-29,ATL vs. POR,ATL,POR,Home,W,00:09:30,3,1,3,33.3,1,3,33.3,0,0,0.0,0,3,3,2,1,0,1,1,-2
2020-02-28,ATL vs. BKN,ATL,BKN,Home,W,00:07:25,8,1,2,50.0,0,1,0.0,6,6,100.0,1,2,3,1,0,0,0,1,9
2020-02-26,ATL vs. ORL,ATL,ORL,Home,L,00:06:48,2,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,1,0,2,0,0,-6
2020-02-24,ATL @ PHI,ATL,PHI,Away,L,00:08:32,2,1,3,33.3,0,1,0.0,0,0,0.0,3,0,3,0,0,0,0,0,-13
2020-02-22,ATL vs. DAL,ATL,DAL,Home,W,00:09:15,9,3,3,100.0,0,0,0.0,3,4,75.0,3,0,3,1,0,1,0,1,11
2020-02-20,ATL vs. MIA,ATL,MIA,Home,W,00:10:50,4,1,3,33.3,0,0,0.0,2,2,100.0,2,1,3,0,0,1,0,0,12
2020-02-12,ATL @ CLE,ATL,CLE,Away,L,00:09:55,9,3,3,100.0,1,1,100.0,2,2,100.0,0,1,1,1,0,1,0,0,2
2020-02-10,ATL @ ORL,ATL,ORL,Away,L,00:07:44,11,5,6,83.3,1,1,100.0,0,0,0.0,2,1,3,0,0,1,0,1,-14
2020-02-09,ATL vs. NYK,ATL,NYK,Home,W,00:09:24,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-7
2020-02-07,ATL @ BOS,ATL,BOS,Away,L,00:10:32,6,2,4,50.0,0,1,0.0,2,2,100.0,0,3,3,0,1,0,1,2,8
2020-02-05,ATL @ MIN,ATL,MIN,Away,W,00:12:00,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,1,-12
2020-02-03,ATL vs. BOS,ATL,BOS,Home,L,00:10:44,4,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,2,1,1,0,1,1
2020-02-01,ATL @ DAL,ATL,DAL,Away,L,00:08:02,6,3,4,75.0,0,0,0.0,0,1,0.0,2,2,4,0,0,0,1,0,2
2020-01-30,ATL vs. PHI,ATL,PHI,Home,W,00:10:00,6,3,4,75.0,0,0,0.0,0,0,0.0,3,3,6,0,0,0,0,2,1
2020-01-28,ATL @ TOR,ATL,TOR,Away,L,00:04:34,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-14
2020-01-26,ATL vs. WAS,ATL,WAS,Home,W,00:05:50,9,4,4,100.0,0,0,0.0,1,1,100.0,1,1,2,0,0,0,1,2,0
2020-01-24,ATL @ OKC,ATL,OKC,Away,L,00:06:21,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,2,-13
2020-01-22,ATL vs. LAC,ATL,LAC,Home,W,00:12:00,8,3,6,50.0,0,1,0.0,2,2,100.0,4,3,7,0,0,0,0,0,13
2020-01-20,ATL vs. TOR,ATL,TOR,Home,L,00:11:46,6,3,4,75.0,0,0,0.0,0,0,0.0,1,2,3,0,0,2,2,3,-4
2020-01-18,ATL vs. DET,ATL,DET,Home,L,00:04:19,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,1,1,2,-3
2020-01-17,ATL @ SAS,ATL,SAS,Away,W,00:08:32,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,16
2020-01-14,ATL vs. PHX,ATL,PHX,Home,W,00:06:36,2,1,2,50.0,0,0,0.0,0,0,0.0,0,5,5,0,0,1,0,2,3
2020-01-12,ATL @ BKN,ATL,BKN,Away,L,00:05:09,2,1,2,50.0,0,1,0.0,0,1,0.0,0,0,0,1,0,0,0,1,1
2020-01-10,ATL @ WAS,ATL,WAS,Away,L,00:07:59,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,0,0,1,1,2,0
2020-01-08,ATL vs. HOU,ATL,HOU,Home,L,00:07:44,0,0,4,0.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,1,-1
2020-01-06,ATL vs. DEN,ATL,DEN,Home,L,00:09:30,9,3,9,33.3,0,3,0.0,3,3,100.0,1,0,1,0,0,1,0,0,-7
