Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-12,TOR @ PHI,TOR,PHI,Away,W,00:12:00,18,6,9,66.7,1,3,33.3,5,7,71.4,0,1,1,1,0,0,0,0,0
2020-08-09,TOR vs. MEM,TOR,MEM,Home,W,00:08:19,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,4,1,0,1,1,4
2020-08-07,TOR vs. BOS,TOR,BOS,Home,L,00:12:00,7,2,3,66.7,0,1,0.0,3,3,100.0,0,1,1,2,1,0,2,1,-8
2020-08-05,TOR @ ORL,TOR,ORL,Away,W,00:12:00,7,2,3,66.7,2,2,100.0,1,1,100.0,0,2,2,4,0,1,0,3,5
2020-08-03,TOR @ MIA,TOR,MIA,Away,W,00:06:56,6,1,1,100.0,1,1,100.0,3,3,100.0,0,1,1,2,0,1,1,2,-1
2020-08-01,TOR vs. LAL,TOR,LAL,Home,W,00:12:00,7,1,4,25.0,0,2,0.0,5,5,100.0,0,1,1,3,1,0,2,1,-5
2020-03-09,TOR @ UTA,TOR,UTA,Away,W,00:12:00,8,2,4,50.0,1,3,33.3,3,3,100.0,0,1,1,3,1,0,2,1,1
2020-03-08,TOR @ SAC,TOR,SAC,Away,W,00:06:17,11,4,4,100.0,3,3,100.0,0,0,0.0,0,1,1,1,0,0,0,2,4
2020-03-05,TOR @ GSW,TOR,GSW,Away,W,00:07:26,0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,3,0,0,0,2,-7
2020-03-03,TOR @ PHX,TOR,PHX,Away,W,00:06:21,1,0,1,0.0,0,1,0.0,1,1,100.0,0,0,0,1,0,0,0,0,3
2020-03-01,TOR @ DEN,TOR,DEN,Away,L,00:09:11,9,3,4,75.0,2,3,66.7,1,1,100.0,0,2,2,2,0,0,1,2,7
2020-02-28,TOR vs. CHA,TOR,CHA,Home,L,00:07:35,4,1,3,33.3,0,2,0.0,2,2,100.0,0,1,1,1,0,0,0,2,-6
2020-02-25,TOR vs. MIL,TOR,MIL,Home,L,00:10:18,1,0,4,0.0,0,2,0.0,1,2,50.0,0,2,2,2,0,1,1,0,-3
2020-02-23,TOR vs. IND,TOR,IND,Home,W,00:08:41,11,4,6,66.7,2,4,50.0,1,1,100.0,0,2,2,1,2,0,2,0,8
2020-02-21,TOR vs. PHX,TOR,PHX,Home,W,00:06:36,5,2,4,50.0,1,3,33.3,0,0,0.0,0,1,1,3,0,0,0,1,8
2020-02-12,TOR @ BKN,TOR,BKN,Away,L,00:06:56,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,1,-5
2020-02-10,TOR vs. MIN,TOR,MIN,Home,W,00:07:08,4,1,1,100.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,2,2,-1
2020-02-07,TOR @ IND,TOR,IND,Away,W,00:06:47,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,3,0,0,0,2,-6
2020-02-05,TOR vs. IND,TOR,IND,Home,W,00:06:51,0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,1,-15
2020-02-02,TOR vs. CHI,TOR,CHI,Home,W,00:06:16,4,1,1,100.0,1,1,100.0,1,2,50.0,0,1,1,1,0,0,0,0,0
2020-01-31,TOR @ DET,TOR,DET,Away,W,00:06:06,5,2,3,66.7,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,0,5
2020-01-30,TOR @ CLE,TOR,CLE,Away,W,00:08:33,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2
2020-01-28,TOR vs. ATL,TOR,ATL,Home,W,00:08:11,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,4,1,0,0,1,7
2020-01-26,TOR @ SAS,TOR,SAS,Away,W,00:09:38,3,1,1,100.0,0,0,0.0,1,1,100.0,0,1,1,2,0,0,2,1,-4
2020-01-24,TOR @ NYK,TOR,NYK,Away,W,00:05:19,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,0,3
2020-01-22,TOR vs. PHI,TOR,PHI,Home,W,00:06:50,4,2,4,50.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,7
2020-01-20,TOR @ ATL,TOR,ATL,Away,W,00:06:51,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-5
2020-01-18,TOR @ MIN,TOR,MIN,Away,W,00:07:52,5,2,4,50.0,1,2,50.0,0,0,0.0,1,1,2,1,0,0,1,2,2
2020-01-17,TOR vs. WAS,TOR,WAS,Home,W,00:04:59,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,2,-8
2020-01-15,TOR @ OKC,TOR,OKC,Away,W,00:09:34,2,0,3,0.0,0,1,0.0,2,3,66.7,1,1,2,2,0,0,2,1,8
2020-01-12,TOR vs. SAS,TOR,SAS,Home,L,00:09:26,3,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,4,0,0,1,0,2
2020-01-08,TOR @ CHA,TOR,CHA,Away,W,00:06:31,6,2,4,50.0,1,1,100.0,1,2,50.0,0,0,0,2,0,0,0,1,5
2020-01-07,TOR vs. POR,TOR,POR,Home,L,00:10:32,10,3,5,60.0,2,4,50.0,2,3,66.7,0,0,0,2,0,0,0,0,2
