Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,BKN @ LAL,BKN,LAL,Away,W,00:06:26,11,3,5,60.0,0,1,0.0,5,5,100.0,0,1,1,2,0,0,0,1,4
2020-03-08,BKN vs. CHI,BKN,CHI,Home,W,00:08:26,9,2,4,50.0,1,3,33.3,4,4,100.0,1,1,2,0,0,0,1,1,10
2020-03-06,BKN vs. SAS,BKN,SAS,Home,W,00:06:20,2,1,4,25.0,0,2,0.0,0,2,0.0,0,0,0,2,0,0,1,1,-8
2020-03-04,BKN vs. MEM,BKN,MEM,Home,L,00:07:06,4,1,4,25.0,0,2,0.0,2,2,100.0,1,0,1,1,1,0,0,1,-9
2020-03-03,BKN @ BOS,BKN,BOS,Away,W,00:07:29,5,2,6,33.3,1,3,33.3,0,1,0.0,0,0,0,0,0,2,0,0,-7
2020-02-29,BKN @ MIA,BKN,MIA,Away,L,00:08:13,6,2,5,40.0,0,3,0.0,2,2,100.0,0,2,2,3,0,0,2,1,-5
2020-02-28,BKN @ ATL,BKN,ATL,Away,L,00:07:37,4,0,1,0.0,0,0,0.0,4,4,100.0,0,0,0,3,0,0,0,0,-11
2020-02-26,BKN @ WAS,BKN,WAS,Away,L,00:06:27,4,2,3,66.7,0,0,0.0,0,2,0.0,1,1,2,1,0,0,2,1,2
2020-02-24,BKN vs. ORL,BKN,ORL,Home,L,00:08:01,10,4,7,57.1,2,4,50.0,0,0,0.0,0,0,0,0,0,0,0,0,3
2020-02-22,BKN @ CHA,BKN,CHA,Away,W,00:05:52,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,1,5
2020-02-20,BKN @ PHI,BKN,PHI,Away,L,00:04:51,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-4
2020-02-12,BKN vs. TOR,BKN,TOR,Home,W,00:06:56,3,1,3,33.3,0,0,0.0,1,2,50.0,0,0,0,2,0,0,0,1,5
2020-02-10,BKN @ IND,BKN,IND,Away,W,00:07:38,4,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,1,0,1,1,0,-2
2020-02-08,BKN @ TOR,BKN,TOR,Away,L,00:08:15,2,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,4,0,0,0,0,-7
2020-02-05,BKN vs. GSW,BKN,GSW,Home,W,00:07:07,3,1,4,25.0,0,1,0.0,1,1,100.0,1,0,1,2,0,0,0,0,-2
