Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-11,ATL vs. NYK,ATL,NYK,Home,L,00:12:00,27,7,9,77.8,4,6,66.7,9,10,90.0,0,0,0,4,0,0,2,1,18
2020-03-09,ATL vs. CHA,ATL,CHA,Home,W,00:08:05,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,5,0,0,1,0,-2
2020-03-07,ATL @ MEM,ATL,MEM,Away,L,00:07:22,4,0,4,0.0,0,3,0.0,4,4,100.0,0,2,2,1,1,0,1,2,-4
2020-03-02,ATL vs. MEM,ATL,MEM,Home,L,00:04:59,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-8
2020-02-29,ATL vs. POR,ATL,POR,Home,W,00:08:19,5,2,5,40.0,0,2,0.0,1,1,100.0,0,1,1,2,0,0,1,1,-6
2020-02-28,ATL vs. BKN,ATL,BKN,Home,W,00:05:17,5,1,5,20.0,0,2,0.0,3,3,100.0,0,0,0,2,1,0,0,1,9
2020-02-26,ATL vs. ORL,ATL,ORL,Home,L,00:12:00,5,1,9,11.1,0,4,0.0,3,4,75.0,0,1,1,4,1,0,0,0,-2
2020-02-24,ATL @ PHI,ATL,PHI,Away,L,00:08:47,8,4,10,40.0,0,4,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-15
2020-02-22,ATL vs. DAL,ATL,DAL,Home,W,00:12:00,13,5,10,50.0,3,5,60.0,0,1,0.0,0,3,3,4,0,0,1,0,13
2020-02-20,ATL vs. MIA,ATL,MIA,Home,W,00:11:16,20,6,12,50.0,3,7,42.9,5,6,83.3,0,1,1,1,1,0,0,2,16
2020-02-12,ATL @ CLE,ATL,CLE,Away,L,00:09:30,9,2,3,66.7,1,1,100.0,4,5,80.0,0,1,1,2,0,0,2,2,5
2020-02-10,ATL @ ORL,ATL,ORL,Away,L,00:09:32,10,4,8,50.0,2,4,50.0,0,0,0.0,0,0,0,4,0,0,0,0,-6
2020-02-09,ATL vs. NYK,ATL,NYK,Home,W,00:09:41,10,4,6,66.7,1,2,50.0,1,1,100.0,0,0,0,1,0,0,2,0,-11
2020-02-05,ATL @ MIN,ATL,MIN,Away,W,00:10:08,12,3,7,42.9,2,5,40.0,4,4,100.0,0,0,0,2,0,0,0,2,-7
2020-02-03,ATL vs. BOS,ATL,BOS,Home,L,00:07:24,7,2,4,50.0,0,1,0.0,3,3,100.0,0,0,0,0,1,0,4,0,-2
2020-01-30,ATL vs. PHI,ATL,PHI,Home,W,00:12:00,9,3,7,42.9,1,2,50.0,2,2,100.0,0,0,0,3,0,0,3,1,3
2020-01-28,ATL @ TOR,ATL,TOR,Away,L,00:02:34,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,0,-2
2020-01-26,ATL vs. WAS,ATL,WAS,Home,W,00:10:07,10,4,7,57.1,2,4,50.0,0,0,0.0,0,2,2,1,0,0,2,1,3
2020-01-24,ATL @ OKC,ATL,OKC,Away,L,00:07:48,8,3,6,50.0,0,0,0.0,2,3,66.7,0,0,0,2,0,0,0,0,-12
2020-01-20,ATL vs. TOR,ATL,TOR,Home,L,00:12:00,18,5,8,62.5,1,3,33.3,7,8,87.5,0,3,3,3,1,0,3,1,-4
2020-01-18,ATL vs. DET,ATL,DET,Home,L,00:05:56,4,1,2,50.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,2,0,-5
2020-01-17,ATL @ SAS,ATL,SAS,Away,W,00:09:25,12,3,3,100.0,2,2,100.0,4,6,66.7,0,1,1,2,0,0,2,0,15
2020-01-14,ATL vs. PHX,ATL,PHX,Home,W,00:12:00,21,5,8,62.5,4,7,57.1,7,8,87.5,0,0,0,3,1,0,3,0,12
2020-01-10,ATL @ WAS,ATL,WAS,Away,L,00:07:19,4,2,6,33.3,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-15
2020-01-08,ATL vs. HOU,ATL,HOU,Home,L,00:10:49,14,3,11,27.3,1,4,25.0,7,8,87.5,2,2,4,2,0,0,0,0,5
2020-01-06,ATL vs. DEN,ATL,DEN,Home,L,00:10:44,9,2,4,50.0,1,1,100.0,4,4,100.0,0,2,2,2,0,0,2,1,2
2020-01-04,ATL vs. IND,ATL,IND,Home,W,00:07:20,5,1,5,20.0,0,3,0.0,3,4,75.0,0,1,1,1,1,0,1,1,1
2020-01-03,ATL @ BOS,ATL,BOS,Away,L,00:09:37,5,1,7,14.3,0,3,0.0,3,3,100.0,0,1,1,3,0,0,3,2,1
2019-12-23,ATL @ CLE,ATL,CLE,Away,L,00:08:59,8,2,6,33.3,2,6,33.3,2,2,100.0,0,0,0,2,2,0,2,0,-2
2019-12-21,ATL @ BKN,ATL,BKN,Away,L,00:12:00,12,5,12,41.7,0,4,0.0,2,3,66.7,0,1,1,0,1,0,2,1,-23
2019-12-19,ATL vs. UTA,ATL,UTA,Home,L,00:12:00,12,5,13,38.5,2,6,33.3,0,0,0.0,1,0,1,2,0,0,0,0,-6
2019-12-17,ATL @ NYK,ATL,NYK,Away,L,00:12:00,15,5,7,71.4,3,4,75.0,2,2,100.0,0,2,2,3,0,0,1,1,2
2019-12-15,ATL vs. LAL,ATL,LAL,Home,L,00:08:21,7,2,7,28.6,1,4,25.0,2,2,100.0,1,3,4,1,0,0,0,0,3
2019-12-13,ATL vs. IND,ATL,IND,Home,L,00:09:23,7,3,9,33.3,1,3,33.3,0,0,0.0,0,1,1,1,0,0,0,0,-6
2019-12-11,ATL @ CHI,ATL,CHI,Away,L,00:03:41,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,1,1,-9
2019-12-10,ATL @ MIA,ATL,MIA,Away,L,00:11:24,2,1,3,33.3,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,1,3
2019-12-08,ATL @ CHA,ATL,CHA,Away,W,00:08:21,14,5,7,71.4,1,3,33.3,3,3,100.0,0,1,1,3,0,0,0,2,15
2019-12-04,ATL vs. BKN,ATL,BKN,Home,L,00:09:40,14,4,7,57.1,1,2,50.0,5,5,100.0,0,0,0,3,1,0,2,0,3
2019-12-02,ATL vs. GSW,ATL,GSW,Home,W,00:08:03,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,1,0,1
2019-11-30,ATL @ HOU,ATL,HOU,Away,L,00:06:42,12,4,5,80.0,2,3,66.7,2,2,100.0,0,2,2,2,0,0,0,0,7
2019-11-29,ATL @ IND,ATL,IND,Away,L,00:11:49,21,7,9,77.8,3,4,75.0,4,4,100.0,0,0,0,1,1,0,3,1,7
2019-11-27,ATL @ MIL,ATL,MIL,Away,L,00:08:27,4,2,6,33.3,0,0,0.0,0,0,0.0,0,1,1,3,1,0,2,2,-5
2019-11-25,ATL vs. MIN,ATL,MIN,Home,L,00:07:24,7,1,7,14.3,0,3,0.0,5,6,83.3,1,1,2,1,0,0,1,1,-11
2019-11-23,ATL vs. TOR,ATL,TOR,Home,L,00:12:00,5,2,8,25.0,1,5,20.0,0,0,0.0,0,3,3,1,0,0,2,0,-6
