Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-11,MIL @ WAS,MIL,WAS,Away,W,00:10:09,12,1,3,33.3,0,0,0.0,10,12,83.3,2,7,9,1,1,0,3,2,12
2020-08-08,MIL @ DAL,MIL,DAL,Away,L,00:33:25,34,13,26,50.0,1,7,14.3,7,14,50.0,2,11,13,1,0,5,4,6,-16
2020-08-06,MIL vs. MIA,MIL,MIA,Home,W,00:30:06,33,13,17,76.5,0,4,0.0,7,9,77.8,1,11,12,4,0,1,6,5,15
2020-08-04,MIL vs. BKN,MIL,BKN,Home,L,00:15:47,16,7,8,87.5,2,3,66.7,0,3,0.0,0,6,6,4,0,0,3,1,4
2020-08-02,MIL @ HOU,MIL,HOU,Away,L,00:32:36,36,14,25,56.0,2,5,40.0,6,9,66.7,4,14,18,8,0,1,3,3,1
2020-07-31,MIL vs. BOS,MIL,BOS,Home,W,00:32:07,36,14,20,70.0,1,3,33.3,7,12,58.3,1,14,15,7,1,1,2,5,18
2020-03-06,MIL @ LAL,MIL,LAL,Away,L,00:35:31,32,10,21,47.6,1,6,16.7,11,14,78.6,1,10,11,6,1,0,2,5,-11
2020-03-04,MIL vs. IND,MIL,IND,Home,W,00:28:15,29,10,23,43.5,2,8,25.0,7,7,100.0,3,9,12,6,1,0,4,2,26
2020-03-02,MIL @ MIA,MIL,MIA,Away,L,00:30:45,13,6,18,33.3,0,4,0.0,1,2,50.0,0,15,15,3,1,1,3,0,-16
2020-03-01,MIL @ CHA,MIL,CHA,Away,W,00:34:55,41,17,28,60.7,1,4,25.0,6,7,85.7,2,18,20,6,1,0,3,2,22
2020-02-28,MIL vs. OKC,MIL,OKC,Home,W,00:27:17,32,13,20,65.0,2,4,50.0,4,5,80.0,2,11,13,6,0,0,3,2,44
2020-02-25,MIL @ TOR,MIL,TOR,Away,W,00:38:00,19,5,14,35.7,2,4,50.0,7,8,87.5,0,19,19,8,0,3,4,1,13
2020-02-24,MIL @ WAS,MIL,WAS,Away,W,00:24:51,22,8,12,66.7,0,0,0.0,6,8,75.0,2,12,14,2,0,1,8,6,14
2020-02-22,MIL vs. PHI,MIL,PHI,Home,W,00:29:08,31,12,17,70.6,2,5,40.0,5,8,62.5,0,17,17,8,0,1,4,2,25
2020-02-20,MIL @ DET,MIL,DET,Away,W,00:31:47,33,13,23,56.5,0,3,0.0,7,11,63.6,2,14,16,4,3,1,2,4,39
2020-02-08,MIL @ ORL,MIL,ORL,Away,W,00:33:34,18,6,17,35.3,0,0,0.0,6,8,75.0,4,14,18,9,0,2,5,2,7
2020-02-06,MIL vs. PHI,MIL,PHI,Home,W,00:34:56,36,13,25,52.0,1,7,14.3,9,12,75.0,3,17,20,6,1,0,3,3,18
2020-02-04,MIL @ NOP,MIL,NOP,Away,W,00:33:01,34,12,17,70.6,1,1,100.0,9,13,69.2,0,17,17,6,1,1,5,4,24
2020-02-02,MIL vs. PHX,MIL,PHX,Home,W,00:30:34,30,10,21,47.6,1,5,20.0,9,16,56.3,6,13,19,9,1,1,7,3,3
2020-01-31,MIL vs. DEN,MIL,DEN,Home,L,00:31:54,31,11,27,40.7,1,5,20.0,8,12,66.7,5,11,16,9,1,2,2,1,-7
2020-01-24,MIL @ CHA,MIL,CHA,Away,W,00:32:13,30,13,19,68.4,0,1,0.0,4,7,57.1,4,12,16,6,0,1,3,4,16
2020-01-20,MIL vs. CHI,MIL,CHI,Home,W,00:31:00,28,12,20,60.0,1,5,20.0,3,9,33.3,1,13,14,10,1,1,8,3,23
