Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-11,ATL vs. NYK,ATL,NYK,Home,L,00:41:07,22,9,20,45.0,1,6,16.7,3,4,75.0,4,11,15,0,2,1,3,2,-6
2020-03-09,ATL vs. CHA,ATL,CHA,Home,W,00:45:37,28,12,13,92.3,0,0,0.0,4,8,50.0,5,6,11,0,0,2,2,3,-1
2020-03-07,ATL @ MEM,ATL,MEM,Away,L,00:39:04,27,9,16,56.3,3,5,60.0,6,7,85.7,3,5,8,3,2,1,0,3,-8
2020-03-06,ATL @ WAS,ATL,WAS,Away,L,00:29:06,26,10,15,66.7,1,3,33.3,5,5,100.0,3,7,10,1,1,2,1,4,5
2020-03-02,ATL vs. MEM,ATL,MEM,Home,L,00:31:08,12,4,11,36.4,2,4,50.0,2,2,100.0,2,1,3,1,1,1,5,2,-15
2020-02-29,ATL vs. POR,ATL,POR,Home,W,00:36:08,24,9,14,64.3,3,5,60.0,3,3,100.0,2,8,10,4,1,2,3,4,7
2020-02-28,ATL vs. BKN,ATL,BKN,Home,W,00:32:05,33,11,15,73.3,3,4,75.0,8,10,80.0,5,8,13,2,0,1,3,2,18
2020-02-26,ATL vs. ORL,ATL,ORL,Home,L,00:35:11,26,11,19,57.9,3,5,60.0,1,1,100.0,3,4,7,4,0,2,0,2,-5
2020-02-24,ATL @ PHI,ATL,PHI,Away,L,00:39:07,21,9,16,56.3,2,5,40.0,1,2,50.0,4,5,9,1,2,0,3,1,-4
2020-02-22,ATL vs. DAL,ATL,DAL,Home,W,00:37:04,35,13,18,72.2,3,3,100.0,6,9,66.7,5,12,17,2,1,2,1,1,9
2020-02-20,ATL vs. MIA,ATL,MIA,Home,W,00:30:24,12,5,9,55.6,0,0,0.0,2,2,100.0,2,5,7,1,2,3,2,4,5
2020-02-12,ATL @ CLE,ATL,CLE,Away,L,00:34:06,23,9,12,75.0,1,2,50.0,4,4,100.0,0,4,4,3,1,1,3,4,-8
2020-02-10,ATL @ ORL,ATL,ORL,Away,L,00:33:11,22,10,14,71.4,1,3,33.3,1,1,100.0,4,4,8,2,0,1,1,3,-32
2020-02-09,ATL vs. NYK,ATL,NYK,Home,W,00:49:53,32,12,19,63.2,1,3,33.3,7,9,77.8,5,11,16,3,0,1,0,2,9
2020-02-07,ATL @ BOS,ATL,BOS,Away,L,00:38:23,30,10,19,52.6,1,4,25.0,9,10,90.0,2,8,10,1,1,1,2,4,-13
2020-02-05,ATL @ MIN,ATL,MIN,Away,W,00:40:50,27,11,19,57.9,2,5,40.0,3,4,75.0,3,9,12,2,0,1,3,3,-3
2020-02-03,ATL vs. BOS,ATL,BOS,Home,L,00:38:07,22,10,12,83.3,2,2,100.0,0,0,0.0,3,8,11,3,1,2,2,4,-7
2020-02-01,ATL @ DAL,ATL,DAL,Away,L,00:33:03,26,11,20,55.0,1,2,50.0,3,5,60.0,5,6,11,0,0,0,2,1,-10
