Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-11,HOU @ SAS,HOU,SAS,Away,L,27.3,20,8,17,47.1,2,4,50.0,2,2,100.0,0,5,5,6,1,0,7,1,-15
2020-08-04,HOU @ POR,HOU,POR,Away,L,35.1,15,5,14,35.7,0,2,0.0,5,12,41.7,0,3,3,9,2,1,1,5,-10
2020-08-02,HOU vs. MIL,HOU,MIL,Home,W,38.2,31,10,21,47.6,1,3,33.3,10,12,83.3,1,5,6,8,0,1,5,2,-5
2020-07-31,HOU @ DAL,HOU,DAL,Away,W,43.4,31,13,30,43.3,1,3,33.3,4,8,50.0,5,6,11,8,2,1,6,5,12
2020-03-10,HOU vs. MIN,HOU,MIN,Home,W,36.59,27,11,17,64.7,0,0,0.0,5,6,83.3,0,6,6,7,4,0,6,5,8
2020-03-08,HOU vs. ORL,HOU,ORL,Home,L,30.15,24,9,19,47.4,2,5,40.0,4,5,80.0,2,6,8,4,1,0,8,2,-29
2020-03-05,HOU vs. LAC,HOU,LAC,Home,L,32.36,29,11,27,40.7,0,2,0.0,7,11,63.6,7,8,15,5,1,0,2,2,-13
2020-03-02,HOU @ NYK,HOU,NYK,Away,L,37.22,24,9,19,47.4,1,3,33.3,5,7,71.4,3,6,9,3,0,1,6,3,-9
2020-02-29,HOU @ BOS,HOU,BOS,Away,W,43.15,41,16,27,59.3,1,2,50.0,8,12,66.7,2,6,8,5,3,0,6,2,-3
2020-02-26,HOU vs. MEM,HOU,MEM,Home,W,33.45,33,15,24,62.5,1,2,50.0,2,3,66.7,2,7,9,8,4,0,5,3,37
2020-02-22,HOU @ UTA,HOU,UTA,Away,W,38.58,34,14,26,53.8,2,4,50.0,4,4,100.0,2,4,6,4,1,0,2,4,-2
2020-02-20,HOU @ GSW,HOU,GSW,Away,W,30.22,21,10,19,52.6,1,2,50.0,0,0,0.0,2,3,5,10,1,0,4,3,18
2020-02-11,HOU vs. BOS,HOU,BOS,Home,W,36.36,36,13,23,56.5,0,2,0.0,10,13,76.9,1,9,10,5,2,0,4,3,9
2020-02-09,HOU vs. UTA,HOU,UTA,Home,L,37.42,39,18,33,54.5,1,2,50.0,2,4,50.0,1,5,6,4,1,1,3,3,4
