Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-14,PHI @ HOU,PHI,HOU,Away,W,23.58,18,6,10,60.0,2,3,66.7,4,4,100.0,0,7,7,4,1,0,0,0,2
2020-08-12,PHI vs. TOR,PHI,TOR,Home,L,24.46,22,8,13,61.5,1,4,25.0,5,8,62.5,1,5,6,5,0,2,0,1,10
2020-08-09,PHI @ POR,PHI,POR,Away,L,32.39,16,7,19,36.8,2,4,50.0,0,0,0.0,2,5,7,3,0,0,0,0,-7
2020-08-07,PHI vs. ORL,PHI,ORL,Home,W,39.43,23,8,21,38.1,2,5,40.0,5,7,71.4,6,9,15,4,0,0,2,4,15
2020-08-05,PHI @ WAS,PHI,WAS,Away,W,37.16,18,8,18,44.4,1,5,20.0,1,1,100.0,1,5,6,2,1,1,2,5,0
2020-08-03,PHI vs. SAS,PHI,SAS,Home,W,30.47,25,10,17,58.8,3,5,60.0,2,2,100.0,1,5,6,4,1,1,3,5,7
2020-08-01,PHI @ IND,PHI,IND,Away,L,36.32,30,12,29,41.4,3,8,37.5,3,3,100.0,4,4,8,0,1,1,0,2,0
2020-03-11,PHI vs. DET,PHI,DET,Home,W,29.27,15,5,14,35.7,1,7,14.3,4,4,100.0,1,6,7,5,0,0,0,2,4
2020-03-07,PHI @ GSW,PHI,GSW,Away,L,34.47,24,10,23,43.5,1,5,20.0,3,3,100.0,1,3,4,4,1,0,2,3,-7
2020-03-05,PHI @ SAC,PHI,SAC,Away,W,36.3,28,11,22,50.0,4,6,66.7,2,3,66.7,4,10,14,3,0,1,2,1,21
2020-03-03,PHI @ LAL,PHI,LAL,Away,L,33.04,18,8,18,44.4,2,6,33.3,0,1,0.0,2,5,7,2,0,0,3,4,-14
2020-03-01,PHI @ LAC,PHI,LAC,Away,L,40.58,25,11,21,52.4,3,7,42.9,0,1,0.0,2,2,4,4,1,0,1,3,-5
2020-02-27,PHI vs. NYK,PHI,NYK,Home,W,35.23,34,14,21,66.7,3,6,50.0,3,3,100.0,1,6,7,7,1,1,1,4,-6
2020-02-26,PHI @ CLE,PHI,CLE,Away,L,36.27,11,4,13,30.8,1,4,25.0,2,2,100.0,2,2,4,3,3,1,2,1,-10
2020-02-24,PHI vs. ATL,PHI,ATL,Home,W,35.17,25,9,18,50.0,4,6,66.7,3,4,75.0,0,6,6,4,1,1,0,1,21
2020-02-22,PHI @ MIL,PHI,MIL,Away,L,30.55,11,3,10,30.0,0,2,0.0,5,5,100.0,2,3,5,1,1,0,1,1,-28
2020-02-20,PHI vs. BKN,PHI,BKN,Home,W,46.12,22,10,20,50.0,0,4,0.0,2,3,66.7,2,10,12,6,2,0,3,5,18
2020-02-11,PHI vs. LAC,PHI,LAC,Home,W,36.57,17,8,19,42.1,1,6,16.7,0,0,0.0,1,11,12,5,0,0,0,0,18
2020-02-09,PHI vs. CHI,PHI,CHI,Home,W,30.29,14,5,9,55.6,2,2,100.0,2,2,100.0,0,3,3,4,0,0,1,2,-5
2020-02-07,PHI vs. MEM,PHI,MEM,Home,W,32.33,21,9,17,52.9,3,4,75.0,0,1,0.0,0,6,6,5,0,2,0,1,17
2020-02-06,PHI @ MIL,PHI,MIL,Away,L,37.57,25,10,23,43.5,5,6,83.3,0,0,0.0,1,6,7,4,1,0,1,1,-8
2020-02-03,PHI @ MIA,PHI,MIA,Away,L,25.13,6,3,12,25.0,0,6,0.0,0,0,0.0,1,4,5,2,0,0,0,1,-8
2020-02-01,PHI @ BOS,PHI,BOS,Away,L,32.22,10,4,12,33.3,1,2,50.0,1,1,100.0,0,6,6,1,1,0,2,2,-19
2020-01-30,PHI @ ATL,PHI,ATL,Away,L,35.11,21,6,15,40.0,0,4,0.0,9,10,90.0,0,9,9,4,0,0,3,4,1
2020-01-28,PHI vs. GSW,PHI,GSW,Home,W,36.46,14,6,10,60.0,1,3,33.3,1,2,50.0,0,7,7,4,0,0,2,1,11
2020-01-25,PHI vs. LAL,PHI,LAL,Home,W,38.16,29,10,20,50.0,3,8,37.5,6,7,85.7,1,7,8,1,0,1,3,3,6
2020-01-22,PHI @ TOR,PHI,TOR,Away,L,40.43,22,7,18,38.9,4,10,40.0,4,5,80.0,0,6,6,4,1,2,1,3,-9
2020-01-20,PHI @ BKN,PHI,BKN,Away,W,33.46,15,5,17,29.4,3,10,30.0,2,2,100.0,0,6,6,0,1,1,0,3,-7
2020-01-18,PHI @ NYK,PHI,NYK,Away,W,34.16,15,5,13,38.5,4,8,50.0,1,1,100.0,0,8,8,3,0,0,2,2,-2
2020-01-17,PHI vs. CHI,PHI,CHI,Home,W,36.1,13,5,12,41.7,0,3,0.0,3,3,100.0,0,3,3,4,2,0,1,1,19
2020-01-15,PHI vs. BKN,PHI,BKN,Home,W,35.22,34,14,20,70.0,4,6,66.7,2,3,66.7,1,9,10,3,1,0,0,1,6
2020-01-13,PHI @ IND,PHI,IND,Away,L,39.16,15,7,16,43.8,1,5,20.0,0,2,0.0,1,10,11,3,1,0,3,1,2
2020-01-11,PHI @ DAL,PHI,DAL,Away,L,34.08,20,9,22,40.9,2,7,28.6,0,0,0.0,2,8,10,1,0,0,0,1,-18
2020-01-09,PHI vs. BOS,PHI,BOS,Home,W,34.56,16,7,17,41.2,2,5,40.0,0,0,0.0,0,7,7,3,2,0,1,1,5
2020-01-06,PHI vs. OKC,PHI,OKC,Home,W,22.08,18,7,11,63.6,4,6,66.7,0,0,0.0,0,6,6,4,0,0,1,6,6
2020-01-03,PHI @ HOU,PHI,HOU,Away,L,41.3,24,8,18,44.4,2,4,50.0,6,6,100.0,0,2,2,2,0,1,0,3,-7
2019-12-31,PHI @ IND,PHI,IND,Away,L,23.58,9,4,9,44.4,1,3,33.3,0,0,0.0,1,1,2,2,0,0,0,2,-17
2019-12-28,PHI @ MIA,PHI,MIA,Away,L,36.15,12,4,15,26.7,0,4,0.0,4,4,100.0,0,8,8,0,0,0,0,3,-15
2019-12-27,PHI @ ORL,PHI,ORL,Away,L,36.13,24,9,19,47.4,3,8,37.5,3,4,75.0,2,9,11,3,0,0,2,2,0
2019-12-25,PHI vs. MIL,PHI,MIL,Home,W,34.51,22,8,16,50.0,5,7,71.4,1,1,100.0,1,3,4,2,1,0,1,0,5
2019-12-23,PHI @ DET,PHI,DET,Away,W,34.16,35,14,21,66.7,4,7,57.1,3,3,100.0,1,6,7,3,2,0,0,3,22
