Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-01-29,HOU @ POR,HOU,POR,Away,L,7.38,2,1,1,100.0,0,0,0.0,0,2,0.0,1,3,4,0,0,0,1,1,1
2020-01-26,HOU @ DEN,HOU,DEN,Away,L,8.25,3,1,2,50.0,0,0,0.0,1,4,25.0,2,0,2,1,0,0,0,1,6
2020-01-24,HOU @ MIN,HOU,MIN,Away,W,6.43,4,2,4,50.0,0,0,0.0,0,1,0.0,1,2,3,0,0,1,0,0,1
2020-01-22,HOU vs. DEN,HOU,DEN,Home,W,9.09,6,3,5,60.0,0,0,0.0,0,1,0.0,1,0,1,0,0,2,0,0,2
2020-01-20,HOU vs. OKC,HOU,OKC,Home,L,7.22,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-7
2020-01-18,HOU vs. LAL,HOU,LAL,Home,L,7.38,4,2,4,50.0,0,0,0.0,0,0,0.0,3,4,7,1,1,2,2,0,10
2020-01-15,HOU vs. POR,HOU,POR,Home,L,12.0,4,2,5,40.0,0,0,0.0,0,0,0.0,4,5,9,2,0,1,3,1,-2
2020-01-14,HOU @ MEM,HOU,MEM,Away,L,9.55,8,3,4,75.0,0,0,0.0,2,2,100.0,1,5,6,1,0,0,1,1,7
2020-01-09,HOU @ OKC,HOU,OKC,Away,L,8.28,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,-10
2020-01-08,HOU @ ATL,HOU,ATL,Away,W,8.27,10,3,5,60.0,0,0,0.0,4,4,100.0,2,4,6,0,1,0,0,0,13
2020-01-03,HOU vs. PHI,HOU,PHI,Home,W,7.36,6,3,6,50.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,0,-7
2019-12-31,HOU vs. DEN,HOU,DEN,Home,W,9.12,6,3,4,75.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,4
