Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,GSW vs. LAC,GSW,LAC,Home,L,9.04,10,4,7,57.1,2,3,66.7,0,0,0.0,0,0,0,2,0,0,0,0,-9
2020-03-07,GSW vs. PHI,GSW,PHI,Home,W,8.02,1,0,2,0.0,0,0,0.0,1,2,50.0,0,0,0,2,0,1,0,0,0
2020-03-05,GSW vs. TOR,GSW,TOR,Home,L,8.11,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,1,0,-6
2020-03-03,GSW @ DEN,GSW,DEN,Away,W,9.04,9,4,5,80.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,2,1,-9
2020-03-01,GSW vs. WAS,GSW,WAS,Home,L,9.33,6,3,6,50.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,-1
2020-02-29,GSW @ PHX,GSW,PHX,Away,W,7.44,3,1,3,33.3,0,1,0.0,1,1,100.0,0,1,1,2,0,0,0,0,2
2020-02-25,GSW vs. SAC,GSW,SAC,Home,L,9.0,6,3,5,60.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4
2020-02-23,GSW vs. NOP,GSW,NOP,Home,L,8.47,5,2,7,28.6,1,1,100.0,0,0,0.0,3,0,3,1,1,1,1,2,2
2020-02-20,GSW vs. HOU,GSW,HOU,Home,L,7.42,8,4,6,66.7,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
2020-02-12,GSW @ PHX,GSW,PHX,Away,L,9.03,7,3,5,60.0,1,2,50.0,0,0,0.0,0,1,1,1,0,1,1,0,4
2020-02-10,GSW vs. MIA,GSW,MIA,Home,L,7.2,4,1,4,25.0,0,2,0.0,2,3,66.7,0,1,1,1,0,0,1,1,-3
2020-02-08,GSW vs. LAL,GSW,LAL,Home,L,6.41,10,4,5,80.0,1,2,50.0,1,3,33.3,0,0,0,1,1,0,1,1,3
2020-02-05,MIN vs. ATL,MIN,ATL,Home,L,8.25,4,2,4,50.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,2,1,3
2020-02-03,MIN @ SAC,MIN,SAC,Away,L,7.21,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,3,-3
2020-02-01,MIN @ LAC,MIN,LAC,Away,L,0.34,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0
2020-01-27,MIN vs. SAC,MIN,SAC,Home,L,8.57,4,2,3,66.7,0,0,0.0,0,1,0.0,0,0,0,6,0,0,0,0,9
2020-01-25,MIN vs. OKC,MIN,OKC,Home,L,5.18,5,2,4,50.0,1,2,50.0,0,2,0.0,0,1,1,0,0,0,0,1,-1
2020-01-24,MIN vs. HOU,MIN,HOU,Home,L,2.28,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-2
2020-01-22,MIN @ CHI,MIN,CHI,Away,L,5.52,3,1,3,33.3,1,3,33.3,0,2,0.0,0,0,0,1,1,0,1,1,10
2020-01-20,MIN vs. DEN,MIN,DEN,Home,L,6.16,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-9
2020-01-18,MIN vs. TOR,MIN,TOR,Home,L,7.52,4,1,3,33.3,0,1,0.0,2,2,100.0,1,2,3,2,0,0,2,1,-2
2020-01-17,MIN @ IND,MIN,IND,Away,L,6.57,6,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-6
2020-01-15,MIN vs. IND,MIN,IND,Home,L,6.09,9,4,5,80.0,1,1,100.0,0,0,0.0,0,1,1,1,1,0,0,0,-1
2020-01-13,MIN vs. OKC,MIN,OKC,Home,L,6.4,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-9
2020-01-11,MIN @ HOU,MIN,HOU,Away,L,7.33,2,0,5,0.0,0,3,0.0,2,2,100.0,0,2,2,0,0,0,0,0,-6
2020-01-09,MIN vs. POR,MIN,POR,Home,W,8.02,9,3,4,75.0,1,2,50.0,2,4,50.0,1,2,3,4,0,0,0,0,9
2020-01-07,MIN @ MEM,MIN,MEM,Away,L,7.49,0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,1,0,1,1,1,4
2020-01-05,MIN @ CLE,MIN,CLE,Away,W,7.17,4,2,4,50.0,0,0,0.0,0,0,0.0,2,2,4,2,1,0,2,0,8
2019-12-26,MIN @ SAC,MIN,SAC,Away,W,7.24,5,1,3,33.3,1,1,100.0,2,3,66.7,0,2,2,2,0,0,0,0,5
2019-12-23,MIN @ GSW,MIN,GSW,Away,L,9.33,6,2,6,33.3,1,3,33.3,1,1,100.0,0,1,1,0,0,0,2,0,-13
2019-12-21,MIN @ POR,MIN,POR,Away,L,7.27,1,0,2,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,1,0,-2
2019-12-20,MIN @ DEN,MIN,DEN,Away,L,10.28,10,4,7,57.1,1,2,50.0,1,2,50.0,0,1,1,1,0,0,1,0,5
