Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,IND vs. BOS,IND,BOS,Home,L,9.49,9,4,6,66.7,0,1,0.0,1,1,100.0,1,0,1,1,0,0,1,1,-10
2020-03-08,IND @ DAL,IND,DAL,Away,W,10.07,7,3,7,42.9,1,1,100.0,0,0,0.0,2,3,5,1,1,0,0,0,-4
2020-03-06,IND @ CHI,IND,CHI,Away,W,7.19,6,3,4,75.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,0,1
2020-03-04,IND @ MIL,IND,MIL,Away,L,9.21,6,3,5,60.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,3,1,-16
2020-03-02,IND @ SAS,IND,SAS,Away,W,8.34,2,0,1,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,1,1,4
2020-02-29,IND @ CLE,IND,CLE,Away,W,9.25,6,3,3,100.0,0,0,0.0,0,0,0.0,1,0,1,3,2,0,0,0,-2
2020-02-27,IND vs. POR,IND,POR,Home,W,7.12,4,1,3,33.3,0,0,0.0,2,2,100.0,3,1,4,1,1,0,0,0,0
2020-02-25,IND vs. CHA,IND,CHA,Home,W,7.09,6,2,2,100.0,0,0,0.0,2,2,100.0,2,3,5,2,0,0,0,0,10
2020-02-23,IND @ TOR,IND,TOR,Away,L,7.18,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,1,3
2020-02-21,IND @ NYK,IND,NYK,Away,W,9.17,6,3,5,60.0,0,0,0.0,0,0,0.0,2,1,3,1,1,0,1,2,6
2020-02-12,IND vs. MIL,IND,MIL,Home,W,9.06,0,0,4,0.0,0,0,0.0,0,2,0.0,0,4,4,1,0,0,0,1,-7
2020-02-10,IND vs. BKN,IND,BKN,Home,L,8.11,6,3,4,75.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,0,3
2020-02-08,IND vs. NOP,IND,NOP,Home,L,9.02,5,2,4,50.0,1,1,100.0,0,0,0.0,0,2,2,1,0,1,1,2,3
2020-02-07,IND vs. TOR,IND,TOR,Home,L,10.0,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,4,1,-3
2020-02-05,IND @ TOR,IND,TOR,Away,L,8.28,4,2,2,100.0,0,0,0.0,0,0,0.0,0,5,5,0,0,0,3,1,-7
2020-02-03,IND vs. DAL,IND,DAL,Home,L,7.53,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,0,-7
2020-02-01,IND vs. NYK,IND,NYK,Home,L,7.23,6,3,3,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,6
2020-01-29,IND vs. CHI,IND,CHI,Home,W,4.13,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,1
2020-01-26,IND @ POR,IND,POR,Away,L,10.1,4,2,6,33.3,0,1,0.0,0,0,0.0,2,3,5,4,0,0,1,2,-3
2020-01-24,IND @ GSW,IND,GSW,Away,W,8.0,4,0,1,0.0,0,0,0.0,4,4,100.0,0,2,2,1,0,0,1,0,-10
2020-01-22,IND @ PHX,IND,PHX,Away,W,7.15,6,2,3,66.7,0,0,0.0,2,2,100.0,2,1,3,0,0,0,0,1,11
2020-01-20,IND @ UTA,IND,UTA,Away,L,7.38,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-7
2020-01-19,IND @ DEN,IND,DEN,Away,W,12.0,7,3,5,60.0,1,1,100.0,0,0,0.0,0,2,2,3,0,0,3,0,-1
2020-01-17,IND vs. MIN,IND,MIN,Home,W,3.53,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,-1
2020-01-15,IND @ MIN,IND,MIN,Away,W,10.04,2,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,3,1,0,2,1,7
2020-01-13,IND vs. PHI,IND,PHI,Home,W,6.06,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,-1
2020-01-08,IND vs. MIA,IND,MIA,Home,L,10.47,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,1,-12
