Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-12,LAC @ DEN,LAC,DEN,Away,W,00:09:09,11,3,5,60.0,3,4,75.0,2,3,66.7,1,1,2,1,2,0,0,0,13
2020-08-08,LAC @ POR,LAC,POR,Away,W,00:07:35,5,2,6,33.3,1,2,50.0,0,0,0.0,0,1,1,1,2,0,0,0,3
2020-08-06,LAC @ DAL,LAC,DAL,Away,W,00:08:51,6,3,6,50.0,0,0,0.0,0,0,0.0,1,1,2,3,0,0,1,0,8
2020-08-04,LAC vs. PHX,LAC,PHX,Home,L,00:09:38,10,1,2,50.0,0,1,0.0,8,8,100.0,0,2,2,0,0,0,0,2,4
2020-08-01,LAC vs. NOP,LAC,NOP,Home,W,00:07:56,15,4,6,66.7,4,5,80.0,3,3,100.0,0,2,2,0,0,0,0,0,5
2020-07-30,LAC @ LAL,LAC,LAL,Away,L,00:03:26,9,3,3,100.0,3,3,100.0,0,0,0.0,0,1,1,0,0,0,1,1,8
2020-03-10,LAC @ GSW,LAC,GSW,Away,W,00:07:42,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,3,1,0,0,0,4
2020-03-08,LAC vs. LAL,LAC,LAL,Home,L,00:11:11,10,2,3,66.7,2,2,100.0,4,5,80.0,1,1,2,2,0,0,0,0,-10
2020-03-05,LAC @ HOU,LAC,HOU,Away,W,00:07:02,4,1,3,33.3,0,1,0.0,2,2,100.0,1,2,3,0,0,0,0,1,1
2020-03-03,LAC @ OKC,LAC,OKC,Away,W,00:07:19,8,3,4,75.0,1,1,100.0,1,2,50.0,0,1,1,0,0,0,0,1,1
2020-03-01,LAC vs. PHI,LAC,PHI,Home,W,00:06:15,8,2,3,66.7,2,3,66.7,2,2,100.0,0,1,1,0,0,0,0,0,2
2020-02-28,LAC vs. DEN,LAC,DEN,Home,W,00:06:50,8,3,3,100.0,2,2,100.0,0,0,0.0,0,1,1,1,0,0,1,0,6
2020-02-26,LAC @ PHX,LAC,PHX,Away,W,00:06:49,1,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,2,1,0,0,0,7
