Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-09,OKC vs. WAS,OKC,WAS,Home,W,00:06:23,8,3,4,75.0,2,2,100.0,0,0,0.0,0,1,1,2,1,0,0,1,5
2020-08-07,OKC @ MEM,OKC,MEM,Away,L,00:02:11,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-2
2020-08-05,OKC @ LAL,OKC,LAL,Away,W,00:06:23,5,2,3,66.7,1,1,100.0,0,0,0.0,0,2,2,1,0,0,1,0,7
2020-08-03,OKC vs. DEN,OKC,DEN,Home,L,00:08:06,4,1,3,33.3,1,1,100.0,1,2,50.0,0,0,0,2,0,0,0,1,-4
2020-08-01,OKC vs. UTA,OKC,UTA,Home,W,00:03:26,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-3
2020-03-08,OKC @ BOS,OKC,BOS,Away,W,00:09:29,4,1,6,16.7,0,1,0.0,2,2,100.0,1,0,1,0,0,0,1,1,-1
2020-03-06,OKC @ NYK,OKC,NYK,Away,W,00:04:25,6,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0,3,0,0,1,0,12
2020-03-04,OKC @ DET,OKC,DET,Away,W,00:10:23,3,1,4,25.0,0,2,0.0,1,1,100.0,0,2,2,2,1,0,2,1,1
2020-03-03,OKC vs. LAC,OKC,LAC,Home,L,00:04:36,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
2020-02-27,OKC vs. SAC,OKC,SAC,Home,W,00:07:37,9,3,5,60.0,1,1,100.0,2,3,66.7,0,1,1,2,1,0,0,0,4
2020-02-25,OKC @ CHI,OKC,CHI,Away,W,00:09:25,5,1,3,33.3,0,1,0.0,3,4,75.0,0,0,0,2,0,0,0,0,0
2020-02-23,OKC vs. SAS,OKC,SAS,Home,W,00:03:35,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,3
2020-02-21,OKC vs. DEN,OKC,DEN,Home,W,00:07:26,9,3,4,75.0,1,1,100.0,2,2,100.0,1,1,2,0,0,0,0,1,4
2020-02-13,OKC @ NOP,OKC,NOP,Away,W,00:08:56,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4
2020-02-11,OKC vs. SAS,OKC,SAS,Home,L,00:09:30,10,4,6,66.7,2,4,50.0,0,0,0.0,0,0,0,0,0,0,0,3,-4
2020-02-09,OKC vs. BOS,OKC,BOS,Home,L,00:08:41,11,4,7,57.1,1,3,33.3,2,2,100.0,0,1,1,0,1,0,0,1,-2
2020-02-07,OKC vs. DET,OKC,DET,Home,W,00:09:23,10,2,3,66.7,0,1,0.0,6,6,100.0,0,1,1,1,0,1,0,1,-3
2020-02-05,OKC vs. CLE,OKC,CLE,Home,W,00:06:45,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2
2020-01-31,OKC @ PHX,OKC,PHX,Away,W,00:08:40,6,1,3,33.3,0,2,0.0,4,4,100.0,0,1,1,3,1,0,0,1,1
2020-01-29,OKC @ SAC,OKC,SAC,Away,W,00:03:26,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,4
2020-01-25,OKC @ MIN,OKC,MIN,Away,W,00:05:41,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-1
2020-01-24,OKC vs. ATL,OKC,ATL,Home,W,00:03:41,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,1,0,8
2020-01-22,OKC @ ORL,OKC,ORL,Away,W,00:06:48,7,1,4,25.0,0,2,0.0,5,6,83.3,0,0,0,0,2,0,1,1,-1
2020-01-20,OKC @ HOU,OKC,HOU,Away,W,00:05:17,0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,0,0,0,2,12
2020-01-18,OKC vs. POR,OKC,POR,Home,W,00:04:16,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,1,8
2020-01-17,OKC vs. MIA,OKC,MIA,Home,L,00:09:03,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,2,5
2020-01-15,OKC vs. TOR,OKC,TOR,Home,L,00:05:51,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,12
2020-01-13,OKC @ MIN,OKC,MIN,Away,W,00:06:00,4,2,7,28.6,0,3,0.0,0,0,0.0,0,2,2,1,1,0,1,0,1
2020-01-11,OKC vs. LAL,OKC,LAL,Home,L,00:07:42,7,3,5,60.0,0,2,0.0,1,2,50.0,0,3,3,1,1,0,0,0,0
2020-01-09,OKC vs. HOU,OKC,HOU,Home,W,00:04:42,6,3,3,100.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,4
2020-01-07,OKC @ BKN,OKC,BKN,Away,W,00:09:51,16,5,6,83.3,2,3,66.7,4,4,100.0,0,1,1,0,1,0,1,0,2
2020-01-06,OKC @ PHI,OKC,PHI,Away,L,00:07:10,4,1,5,20.0,0,2,0.0,2,2,100.0,0,1,1,2,0,0,1,3,-2
2020-01-04,OKC @ CLE,OKC,CLE,Away,W,00:07:09,1,0,3,0.0,0,2,0.0,1,2,50.0,0,2,2,1,0,0,0,1,-1
2020-01-02,OKC @ SAS,OKC,SAS,Away,W,00:09:05,10,5,7,71.4,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,1,3
2019-12-31,OKC vs. DAL,OKC,DAL,Home,W,00:10:07,13,5,7,71.4,1,1,100.0,2,2,100.0,0,3,3,1,0,0,1,0,11
2019-12-29,OKC @ TOR,OKC,TOR,Away,W,00:10:57,9,4,6,66.7,1,2,50.0,0,0,0.0,0,1,1,3,0,0,2,0,10
2019-12-27,OKC @ CHA,OKC,CHA,Away,W,00:07:57,7,3,6,50.0,0,2,0.0,1,1,100.0,0,1,1,1,0,0,0,0,-1
2019-12-26,OKC vs. MEM,OKC,MEM,Home,L,00:06:48,7,3,4,75.0,1,2,50.0,0,0,0.0,0,3,3,0,0,0,1,1,6
2019-12-22,OKC vs. LAC,OKC,LAC,Home,W,00:09:03,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,7
2019-12-20,OKC vs. PHX,OKC,PHX,Home,W,00:04:01,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,3,0,1
2019-12-18,OKC vs. MEM,OKC,MEM,Home,W,00:07:51,9,3,3,100.0,1,1,100.0,2,2,100.0,0,1,1,2,2,0,0,1,3
2019-12-16,OKC vs. CHI,OKC,CHI,Home,W,00:12:00,19,5,7,71.4,5,6,83.3,4,4,100.0,1,4,5,2,1,0,1,2,11
2019-12-14,OKC @ DEN,OKC,DEN,Away,L,00:10:43,6,3,6,50.0,0,2,0.0,0,0,0.0,0,1,1,4,2,0,1,1,8
2019-12-11,OKC @ SAC,OKC,SAC,Away,L,00:11:03,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,5,0,1,1,1,2
2019-12-09,OKC @ UTA,OKC,UTA,Away,W,00:06:23,4,2,5,40.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2
2019-12-08,OKC @ POR,OKC,POR,Away,W,00:05:41,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,7
2019-12-06,OKC vs. MIN,OKC,MIN,Home,W,00:05:44,6,3,5,60.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
2019-12-04,OKC vs. IND,OKC,IND,Home,L,00:07:27,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,2,-4
2019-12-01,OKC @ NOP,OKC,NOP,Away,W,00:08:17,7,3,4,75.0,1,1,100.0,0,0,0.0,0,2,2,2,0,0,0,0,3
2019-11-29,OKC vs. NOP,OKC,NOP,Home,W,00:04:21,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,6
