Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-11,SAS vs. HOU,SAS,HOU,Home,W,00:01:39,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,8
2020-08-09,SAS @ NOP,SAS,NOP,Away,W,00:10:05,15,6,8,75.0,0,0,0.0,3,3,100.0,0,0,0,0,0,0,2,0,2
2020-08-07,SAS vs. UTA,SAS,UTA,Home,W,00:08:13,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,4,2,-6
2020-08-05,SAS vs. DEN,SAS,DEN,Home,L,00:07:28,9,2,2,100.0,0,0,0.0,5,5,100.0,0,0,0,2,0,0,0,1,-2
2020-08-03,SAS @ PHI,SAS,PHI,Away,L,00:08:09,13,4,5,80.0,0,1,0.0,5,5,100.0,0,2,2,2,0,1,0,0,7
2020-08-02,SAS @ MEM,SAS,MEM,Away,W,00:09:20,8,3,3,100.0,0,0,0.0,2,4,50.0,0,0,0,2,0,1,0,0,-9
2020-07-31,SAS vs. SAC,SAS,SAC,Home,W,00:08:41,17,6,8,75.0,0,0,0.0,5,6,83.3,1,2,3,0,0,0,1,2,9
2020-03-10,SAS vs. DAL,SAS,DAL,Home,W,00:05:51,2,0,1,0.0,0,0,0.0,2,2,100.0,1,0,1,2,0,0,0,0,6
2020-03-08,SAS @ CLE,SAS,CLE,Away,L,00:08:00,5,2,6,33.3,0,0,0.0,1,1,100.0,0,1,1,1,1,0,0,0,-3
2020-03-03,SAS @ CHA,SAS,CHA,Away,W,00:09:09,6,3,6,50.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0
2020-03-02,SAS vs. IND,SAS,IND,Home,L,00:12:00,3,1,2,50.0,0,0,0.0,1,2,50.0,0,2,2,2,0,0,0,1,3
2020-02-29,SAS vs. ORL,SAS,ORL,Home,W,00:08:37,6,3,6,50.0,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,0,4
2020-02-26,SAS vs. DAL,SAS,DAL,Home,L,00:07:25,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,4,1,0,0,0,0
2020-02-21,SAS @ UTA,SAS,UTA,Away,W,00:10:10,6,3,7,42.9,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-5
