Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,GSW vs. MEM,GSW,MEM,Home,W,37.07,21,9,16,56.3,2,2,100.0,1,2,50.0,3,7,10,0,1,1,2,3,8
2021-05-11,GSW vs. PHX,GSW,PHX,Home,W,39.59,38,17,24,70.8,2,6,33.3,2,3,66.7,5,2,7,3,1,0,1,3,14
2021-05-10,GSW vs. UTA,GSW,UTA,Home,W,35.32,14,6,19,31.6,1,5,20.0,1,1,100.0,2,3,5,1,0,0,2,3,-8
2021-05-08,GSW vs. OKC,GSW,OKC,Home,W,24.23,18,8,13,61.5,1,4,25.0,1,2,50.0,0,3,3,4,0,1,1,2,30
2021-05-06,GSW vs. OKC,GSW,OKC,Home,W,32.17,18,7,18,38.9,2,6,33.3,2,2,100.0,2,5,7,4,1,0,1,3,15
2021-05-04,GSW @ NOP,GSW,NOP,Away,L,38.45,26,10,21,47.6,5,10,50.0,1,1,100.0,0,6,6,3,0,2,1,2,0
2021-05-03,GSW @ NOP,GSW,NOP,Away,W,38.17,26,10,19,52.6,2,6,33.3,4,4,100.0,1,3,4,0,1,2,1,3,13
2021-05-01,GSW @ HOU,GSW,HOU,Away,W,33.54,20,8,14,57.1,2,5,40.0,2,2,100.0,0,2,2,2,0,2,4,3,24
2021-04-29,GSW @ MIN,GSW,MIN,Away,L,38.23,27,11,20,55.0,3,6,50.0,2,3,66.7,2,2,4,3,0,2,0,2,-13
2021-04-27,GSW vs. DAL,GSW,DAL,Home,L,30.35,15,3,11,27.3,0,4,0.0,9,10,90.0,4,0,4,5,2,2,3,2,-35
2021-04-25,GSW vs. SAC,GSW,SAC,Home,W,37.44,13,6,15,40.0,1,2,50.0,0,0,0.0,4,2,6,6,3,0,1,2,8
2021-04-23,GSW vs. DEN,GSW,DEN,Home,W,33.59,19,7,14,50.0,3,6,50.0,2,4,50.0,2,5,7,2,1,2,1,2,8
2021-04-21,GSW @ WAS,GSW,WAS,Away,L,37.46,14,5,20,25.0,0,7,0.0,4,4,100.0,2,2,4,0,3,0,1,2,6
2021-04-19,GSW @ PHI,GSW,PHI,Away,W,41.36,16,6,11,54.5,1,2,50.0,3,5,60.0,0,10,10,2,0,2,2,2,3
2021-04-17,GSW @ BOS,GSW,BOS,Away,L,40.37,22,8,15,53.3,2,5,40.0,4,5,80.0,0,2,2,0,1,1,2,2,-1
2021-04-15,GSW @ CLE,GSW,CLE,Away,W,34.26,23,9,16,56.3,5,8,62.5,0,0,0.0,0,6,6,6,0,0,1,4,20
2021-04-14,GSW @ OKC,GSW,OKC,Away,W,26.26,16,6,12,50.0,1,3,33.3,3,4,75.0,0,2,2,1,1,0,1,2,33
2021-04-12,GSW vs. DEN,GSW,DEN,Home,W,41.23,17,8,17,47.1,1,3,33.3,0,0,0.0,0,1,1,1,2,1,3,2,0
2021-04-10,GSW vs. HOU,GSW,HOU,Home,W,35.32,25,11,21,52.4,1,5,20.0,2,2,100.0,1,5,6,3,0,2,2,3,9
2021-04-09,GSW vs. WAS,GSW,WAS,Home,L,35.36,15,7,13,53.8,0,5,0.0,1,4,25.0,2,5,7,6,3,0,0,3,12
2021-04-06,GSW vs. MIL,GSW,MIL,Home,W,33.16,9,4,15,26.7,1,8,12.5,0,0,0.0,2,2,4,2,1,3,0,0,-3
2021-04-04,GSW @ ATL,GSW,ATL,Away,L,35.54,16,6,12,50.0,3,7,42.9,1,4,25.0,0,5,5,2,2,0,0,3,3
2021-04-02,GSW @ TOR,GSW,TOR,Away,L,26.3,15,5,9,55.6,1,3,33.3,4,4,100.0,0,4,4,2,0,0,2,0,-37
2021-04-01,GSW @ MIA,GSW,MIA,Away,L,35.29,23,7,16,43.8,5,11,45.5,4,6,66.7,1,7,8,4,1,3,3,4,-8
2021-03-29,GSW vs. CHI,GSW,CHI,Home,W,34.33,21,8,15,53.3,3,5,60.0,2,2,100.0,0,3,3,5,2,1,3,0,12
2021-03-26,GSW vs. ATL,GSW,ATL,Home,L,33.16,29,10,19,52.6,4,7,57.1,5,7,71.4,1,6,7,3,0,2,2,1,-23
