Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,POR vs. DEN,POR,DEN,Home,W,00:31:13,22,7,13,53.8,5,9,55.6,3,3,100.0,0,3,3,10,0,0,4,2,24
2021-05-13,POR @ PHX,POR,PHX,Away,L,00:42:56,41,16,23,69.6,2,6,33.3,7,8,87.5,0,5,5,5,1,0,3,0,-2
2021-05-12,POR @ UTA,POR,UTA,Away,W,00:37:04,30,10,20,50.0,3,9,33.3,7,8,87.5,0,2,2,6,0,1,1,1,5
2021-05-10,POR vs. HOU,POR,HOU,Home,W,00:35:35,34,11,20,55.0,6,11,54.5,6,6,100.0,2,7,9,6,0,0,2,1,19
2021-05-08,POR vs. SAS,POR,SAS,Home,W,00:31:15,30,8,17,47.1,4,9,44.4,10,10,100.0,1,3,4,8,0,0,0,1,17
2021-05-07,POR vs. LAL,POR,LAL,Home,W,00:39:03,38,12,18,66.7,5,9,55.6,9,9,100.0,0,4,4,7,2,0,4,0,8
2021-05-05,POR @ CLE,POR,CLE,Away,W,00:31:19,32,10,17,58.8,6,10,60.0,6,7,85.7,0,3,3,9,2,0,2,1,14
2021-05-03,POR @ ATL,POR,ATL,Away,L,00:33:35,33,11,19,57.9,6,11,54.5,5,6,83.3,0,2,2,8,2,0,3,0,-13
2021-05-02,POR @ BOS,POR,BOS,Away,W,00:39:11,26,8,18,44.4,3,9,33.3,7,7,100.0,0,6,6,13,1,1,5,3,17
2021-04-30,POR @ BKN,POR,BKN,Away,W,00:35:57,32,12,22,54.5,8,13,61.5,0,0,0.0,1,6,7,9,1,0,1,1,17
2021-04-28,POR @ MEM,POR,MEM,Away,W,00:31:27,23,6,15,40.0,2,9,22.2,9,9,100.0,0,3,3,5,2,0,3,2,15
2021-04-27,POR @ IND,POR,IND,Away,W,00:31:07,23,6,14,42.9,4,8,50.0,7,7,100.0,0,4,4,6,1,0,3,1,32
2021-04-25,POR vs. MEM,POR,MEM,Home,L,00:36:31,23,8,27,29.6,4,10,40.0,3,3,100.0,2,4,6,5,1,1,1,3,-10
2021-04-23,POR vs. MEM,POR,MEM,Home,L,00:37:13,27,8,22,36.4,3,11,27.3,8,10,80.0,0,3,3,5,1,0,4,1,-5
2021-04-21,POR vs. DEN,POR,DEN,Home,L,00:37:15,22,9,23,39.1,2,10,20.0,2,2,100.0,0,4,4,5,2,0,2,0,-5
2021-04-13,POR vs. BOS,POR,BOS,Home,L,00:37:12,28,9,23,39.1,5,13,38.5,5,6,83.3,0,5,5,10,0,0,5,3,2
2021-04-11,POR vs. MIA,POR,MIA,Home,L,00:36:39,12,3,10,30.0,3,8,37.5,3,4,75.0,0,1,1,3,1,1,5,1,-10
2021-04-10,POR vs. DET,POR,DET,Home,W,00:34:23,27,9,20,45.0,4,8,50.0,5,6,83.3,0,3,3,10,0,0,1,1,20
2021-04-08,POR @ UTA,POR,UTA,Away,L,00:33:58,23,8,21,38.1,3,12,25.0,4,6,66.7,0,5,5,6,0,0,2,3,-16
2021-04-06,POR @ LAC,POR,LAC,Away,L,00:38:09,11,2,14,14.3,1,6,16.7,6,7,85.7,2,2,4,6,0,1,2,3,-13
2021-04-03,POR vs. OKC,POR,OKC,Home,W,00:25:23,16,6,15,40.0,3,7,42.9,1,1,100.0,1,2,3,6,3,0,3,1,42
2021-04-02,POR vs. MIL,POR,MIL,Home,L,00:34:14,32,10,19,52.6,5,10,50.0,7,10,70.0,1,3,4,5,3,1,3,1,-27
2021-03-31,POR @ DET,POR,DET,Away,W,00:36:23,33,9,19,47.4,5,7,71.4,10,11,90.9,1,3,4,10,1,0,2,2,16
2021-03-28,POR @ TOR,POR,TOR,Away,W,00:37:43,22,7,21,33.3,2,7,28.6,6,6,100.0,1,2,3,11,0,0,2,1,-2
2021-03-25,POR @ MIA,POR,MIA,Away,W,00:38:52,22,6,19,31.6,2,8,25.0,8,8,100.0,0,3,3,9,0,1,2,3,10
2021-03-23,POR vs. BKN,POR,BKN,Home,L,00:37:53,22,5,17,29.4,3,14,21.4,9,9,100.0,0,3,3,9,0,0,3,0,7
2021-03-21,POR vs. DAL,POR,DAL,Home,L,00:29:36,19,7,16,43.8,0,7,0.0,5,5,100.0,0,1,1,4,1,0,0,2,-29
2021-03-19,POR vs. DAL,POR,DAL,Home,W,00:34:29,31,10,19,52.6,4,10,40.0,7,7,100.0,0,3,3,6,0,0,1,1,0
2021-03-18,POR vs. NOP,POR,NOP,Home,W,00:37:56,36,12,22,54.5,6,15,40.0,6,6,100.0,1,5,6,0,0,0,7,0,0
2021-03-16,POR vs. NOP,POR,NOP,Home,W,00:40:36,50,13,20,65.0,6,13,46.2,18,18,100.0,1,5,6,10,0,0,4,3,9
2021-03-14,POR @ MIN,POR,MIN,Away,L,00:37:08,38,12,21,57.1,6,13,46.2,8,9,88.9,2,5,7,4,0,1,5,5,-2
