Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,NYK vs. BOS,NYK,BOS,Home,W,00:37:29,20,5,17,29.4,2,5,40.0,8,10,80.0,0,7,7,7,1,1,4,3,-1
2021-05-15,NYK vs. CHA,NYK,CHA,Home,W,00:46:06,33,12,25,48.0,4,10,40.0,5,8,62.5,0,11,11,13,1,0,4,4,10
2021-05-13,NYK vs. SAS,NYK,SAS,Home,W,00:44:53,25,7,21,33.3,1,5,20.0,10,10,100.0,0,9,9,9,1,0,3,3,1
2021-05-11,NYK @ LAL,NYK,LAL,Away,L,00:43:41,31,11,26,42.3,4,8,50.0,5,5,100.0,1,7,8,5,0,0,3,3,-7
2021-05-09,NYK @ LAC,NYK,LAC,Away,W,00:37:48,14,7,19,36.8,0,4,0.0,0,0,0.0,0,14,14,5,0,0,4,4,7
2021-05-07,NYK @ PHX,NYK,PHX,Away,L,00:33:26,24,8,16,50.0,1,5,20.0,7,9,77.8,3,8,11,4,0,0,3,4,-23
2021-05-05,NYK @ DEN,NYK,DEN,Away,L,00:29:38,14,5,15,33.3,0,5,0.0,4,6,66.7,1,7,8,5,0,1,5,3,-21
2021-05-03,NYK @ MEM,NYK,MEM,Away,W,00:38:14,28,9,23,39.1,5,8,62.5,5,5,100.0,0,6,6,6,1,0,1,3,15
2021-05-02,NYK @ HOU,NYK,HOU,Away,W,00:30:19,31,13,22,59.1,4,9,44.4,1,1,100.0,0,7,7,6,1,0,3,3,17
2021-04-28,NYK vs. CHI,NYK,CHI,Home,W,00:36:11,34,12,23,52.2,4,7,57.1,6,6,100.0,1,6,7,3,0,1,0,3,21
2021-04-26,NYK vs. PHX,NYK,PHX,Home,L,00:38:03,18,6,17,35.3,3,6,50.0,3,4,75.0,2,4,6,4,1,0,3,2,-9
2021-04-24,NYK vs. TOR,NYK,TOR,Home,W,00:39:22,31,10,17,58.8,5,7,71.4,6,8,75.0,0,10,10,1,0,0,4,3,7
2021-04-21,NYK vs. ATL,NYK,ATL,Home,W,00:40:48,40,11,21,52.4,6,8,75.0,12,13,92.3,1,10,11,6,1,0,4,4,0
2021-04-20,NYK vs. CHA,NYK,CHA,Home,W,00:40:06,16,5,16,31.3,1,6,16.7,5,6,83.3,2,8,10,7,2,0,2,2,18
2021-04-18,NYK vs. NOP,NYK,NOP,Home,W,00:47:14,33,11,28,39.3,2,8,25.0,9,10,90.0,0,5,5,10,5,0,4,4,14
2021-04-16,NYK @ DAL,NYK,DAL,Away,W,00:40:38,44,16,29,55.2,6,11,54.5,6,9,66.7,0,10,10,7,1,1,3,1,-1
2021-04-14,NYK @ NOP,NYK,NOP,Away,W,00:42:15,32,11,26,42.3,5,8,62.5,5,5,100.0,2,6,8,5,0,0,4,5,6
2021-04-12,NYK vs. LAL,NYK,LAL,Home,W,00:38:38,34,13,23,56.5,2,6,33.3,6,7,85.7,2,8,10,4,2,1,7,3,11
2021-04-11,NYK vs. TOR,NYK,TOR,Home,W,00:38:23,26,7,19,36.8,1,8,12.5,11,11,100.0,1,7,8,5,0,0,5,4,11
2021-04-09,NYK vs. MEM,NYK,MEM,Home,W,00:38:11,15,4,12,33.3,1,2,50.0,6,9,66.7,1,9,10,11,1,0,3,5,0
2021-04-07,NYK @ BOS,NYK,BOS,Away,L,00:36:48,22,9,23,39.1,2,6,33.3,2,2,100.0,0,9,9,6,3,1,3,3,-5
