Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-15,MIL vs. MIA,MIL,MIA,Home,W,00:31:51,21,8,12,66.7,1,4,25.0,4,4,100.0,1,6,7,7,0,0,4,4,3
2021-05-13,MIL @ IND,MIL,IND,Away,W,00:33:57,22,9,17,52.9,2,7,28.6,2,2,100.0,0,4,4,6,2,0,2,3,19
2021-05-11,MIL vs. ORL,MIL,ORL,Home,W,00:29:32,11,3,15,20.0,0,5,0.0,5,6,83.3,0,7,7,5,0,0,1,2,17
2021-05-10,MIL @ SAS,MIL,SAS,Away,L,00:32:25,23,10,15,66.7,2,7,28.6,1,1,100.0,2,5,7,5,0,0,3,2,-14
2021-05-07,MIL vs. HOU,MIL,HOU,Home,W,00:32:14,23,6,15,40.0,4,8,50.0,7,7,100.0,0,2,2,3,0,0,1,0,14
2021-05-04,MIL vs. BKN,MIL,BKN,Home,W,00:36:14,23,9,18,50.0,1,3,33.3,4,4,100.0,1,6,7,4,2,0,2,2,6
2021-05-02,MIL vs. BKN,MIL,BKN,Home,W,00:36:07,26,11,21,52.4,3,7,42.9,1,1,100.0,1,10,11,6,2,0,0,4,12
2021-04-30,MIL @ CHI,MIL,CHI,Away,W,00:33:02,22,8,24,33.3,3,8,37.5,3,3,100.0,0,8,8,6,0,0,2,1,5
2021-04-29,MIL @ HOU,MIL,HOU,Away,L,00:37:08,33,9,21,42.9,5,10,50.0,10,10,100.0,0,4,4,8,1,0,4,3,-1
2021-04-27,MIL @ CHA,MIL,CHA,Away,W,00:37:52,17,7,15,46.7,2,8,25.0,1,3,33.3,0,5,5,6,2,0,3,3,14
2021-04-25,MIL @ ATL,MIL,ATL,Away,L,00:33:58,23,9,18,50.0,3,5,60.0,2,2,100.0,3,3,6,2,1,0,3,1,-11
2021-04-24,MIL vs. PHI,MIL,PHI,Home,W,00:19:58,4,0,6,0.0,0,2,0.0,4,4,100.0,0,2,2,1,0,0,0,3,12
2021-04-22,MIL vs. PHI,MIL,PHI,Home,W,00:33:31,24,10,16,62.5,4,7,57.1,0,0,0.0,0,1,1,5,1,0,2,1,8
2021-04-19,MIL vs. PHX,MIL,PHX,Home,L,00:38:22,26,10,22,45.5,2,9,22.2,4,4,100.0,1,6,7,5,2,0,2,2,-6
2021-04-17,MIL vs. MEM,MIL,MEM,Home,L,00:34:58,16,5,13,38.5,3,6,50.0,3,4,75.0,1,4,5,10,2,0,3,3,-18
2021-04-15,MIL @ ATL,MIL,ATL,Away,W,00:33:48,10,4,14,28.6,2,7,28.6,0,0,0.0,2,7,9,7,1,0,1,3,-7
2021-04-14,MIL @ MIN,MIL,MIN,Away,W,00:25:11,27,9,15,60.0,3,7,42.9,6,6,100.0,1,7,8,7,1,0,3,0,27
2021-04-11,MIL @ ORL,MIL,ORL,Away,W,00:28:36,21,8,13,61.5,2,4,50.0,3,4,75.0,2,6,8,5,1,1,2,1,19
2021-04-08,MIL @ DAL,MIL,DAL,Away,L,00:35:20,14,6,27,22.2,2,4,50.0,0,0,0.0,2,6,8,3,1,0,1,3,-24
2021-04-06,MIL @ GSW,MIL,GSW,Away,L,00:37:22,28,10,19,52.6,2,4,50.0,6,6,100.0,0,2,2,7,1,0,5,1,7
2021-04-03,MIL @ SAC,MIL,SAC,Away,W,00:34:26,16,4,16,25.0,1,5,20.0,7,7,100.0,0,3,3,5,2,0,3,1,-15
2021-04-02,MIL @ POR,MIL,POR,Away,W,00:32:11,20,8,13,61.5,2,4,50.0,2,2,100.0,1,6,7,8,3,0,5,3,25
2021-03-31,MIL @ LAL,MIL,LAL,Away,W,00:35:55,17,8,18,44.4,1,3,33.3,0,0,0.0,1,5,6,8,1,0,2,4,16
2021-03-29,MIL @ LAC,MIL,LAC,Away,L,00:35:48,15,7,15,46.7,1,3,33.3,0,0,0.0,0,3,3,3,0,0,2,1,-28
2021-03-26,MIL vs. BOS,MIL,BOS,Home,L,00:28:35,19,7,11,63.6,4,5,80.0,1,1,100.0,0,3,3,4,2,1,2,3,-30
2021-03-24,MIL vs. BOS,MIL,BOS,Home,W,00:35:52,27,11,20,55.0,2,4,50.0,3,6,50.0,2,11,13,4,0,0,5,3,1
2021-03-22,MIL vs. IND,MIL,IND,Home,W,00:31:21,25,10,21,47.6,4,6,66.7,1,2,50.0,1,7,8,6,0,0,2,0,29
2021-03-20,MIL vs. SAS,MIL,SAS,Home,W,00:36:10,23,9,16,56.3,3,4,75.0,2,2,100.0,0,5,5,3,1,0,3,2,20
2021-03-17,MIL @ PHI,MIL,PHI,Away,W,00:40:07,15,6,16,37.5,0,4,0.0,3,3,100.0,1,3,4,2,2,0,8,1,3
2021-03-15,MIL @ WAS,MIL,WAS,Away,W,00:34:12,23,9,22,40.9,3,7,42.9,2,2,100.0,0,5,5,3,1,0,2,4,7
2021-03-13,MIL @ WAS,MIL,WAS,Away,W,00:33:22,16,3,12,25.0,1,4,25.0,9,9,100.0,0,5,5,8,2,1,2,2,-3
2021-03-11,MIL vs. NYK,MIL,NYK,Home,W,00:26:21,14,6,9,66.7,0,2,0.0,2,2,100.0,0,5,5,2,0,0,4,2,22
2021-03-04,MIL @ MEM,MIL,MEM,Away,W,00:39:06,22,6,17,35.3,1,4,25.0,9,9,100.0,4,6,10,4,2,0,5,1,5
2021-03-02,MIL vs. DEN,MIL,DEN,Home,L,00:29:06,20,6,12,50.0,3,6,50.0,5,8,62.5,1,3,4,6,1,0,1,1,-16
2021-02-28,MIL vs. LAC,MIL,LAC,Home,W,00:32:47,19,6,14,42.9,2,5,40.0,5,6,83.3,0,6,6,8,0,0,2,3,-1
2021-02-25,MIL vs. NOP,MIL,NOP,Home,W,00:38:52,31,14,24,58.3,2,4,50.0,1,1,100.0,1,6,7,6,0,0,2,1,10
2021-02-23,MIL vs. MIN,MIL,MIN,Home,W,00:33:34,15,6,19,31.6,3,6,50.0,0,0,0.0,0,7,7,4,2,0,0,0,2
2021-02-21,MIL vs. SAC,MIL,SAC,Home,W,00:32:37,32,13,22,59.1,3,5,60.0,3,3,100.0,1,7,8,6,4,2,5,2,6
2021-02-19,MIL vs. OKC,MIL,OKC,Home,W,00:35:49,20,7,18,38.9,1,5,20.0,5,7,71.4,2,6,8,4,1,0,2,3,10
2021-02-18,MIL vs. TOR,MIL,TOR,Home,L,00:37:08,13,5,13,38.5,0,3,0.0,3,3,100.0,2,6,8,5,1,0,6,4,-16
2021-02-16,MIL vs. TOR,MIL,TOR,Home,L,00:37:33,11,4,8,50.0,1,3,33.3,2,2,100.0,0,7,7,0,2,0,5,4,-19
2021-02-14,MIL @ OKC,MIL,OKC,Away,L,00:35:23,23,10,22,45.5,2,7,28.6,1,1,100.0,0,3,3,3,1,1,5,4,-10
2021-02-12,MIL @ UTA,MIL,UTA,Away,L,00:37:47,18,6,14,42.9,2,4,50.0,4,6,66.7,0,2,2,4,0,0,3,4,-12
2021-02-10,MIL @ PHX,MIL,PHX,Away,L,00:35:36,18,7,17,41.2,3,6,50.0,1,3,33.3,0,5,5,11,1,0,3,5,-4
2021-02-08,MIL @ DEN,MIL,DEN,Away,W,00:36:24,29,9,16,56.3,0,5,0.0,11,11,100.0,1,7,8,12,3,0,3,1,17
2021-02-06,MIL @ CLE,MIL,CLE,Away,W,00:29:23,20,8,13,61.5,4,5,80.0,0,0,0.0,0,1,1,4,1,0,2,2,18
2021-02-05,MIL @ CLE,MIL,CLE,Away,W,00:30:59,15,6,11,54.5,1,3,33.3,2,2,100.0,0,4,4,5,0,0,3,1,7
2021-02-03,MIL vs. IND,MIL,IND,Home,W,00:26:00,12,4,9,44.4,1,3,33.3,3,3,100.0,0,5,5,4,0,0,3,1,19
2021-02-01,MIL vs. POR,MIL,POR,Home,W,00:25:16,17,5,6,83.3,4,4,100.0,3,4,75.0,0,5,5,9,2,0,1,2,26
2021-01-30,MIL @ CHA,MIL,CHA,Away,L,00:32:27,18,5,9,55.6,4,6,66.7,4,4,100.0,1,3,4,4,0,0,4,3,7
