Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,BKN vs. CLE,BKN,CLE,Home,W,00:28:55,17,7,11,63.6,3,3,100.0,0,0,0.0,0,6,6,2,3,3,1,3,29
2021-05-15,BKN vs. CHI,BKN,CHI,Home,W,00:29:31,22,9,16,56.3,3,7,42.9,1,1,100.0,0,2,2,0,1,1,0,1,5
2021-05-11,BKN @ CHI,BKN,CHI,Away,W,00:20:40,13,4,10,40.0,3,5,60.0,2,2,100.0,0,3,3,5,0,0,0,0,4
2021-05-08,BKN @ DEN,BKN,DEN,Away,W,00:39:12,31,11,17,64.7,4,7,57.1,5,6,83.3,0,0,0,4,1,1,4,5,7
2021-05-06,BKN @ DAL,BKN,DAL,Away,L,00:38:51,45,17,31,54.8,7,13,53.8,4,4,100.0,0,5,5,4,4,2,1,5,-4
2021-05-04,BKN @ MIL,BKN,MIL,Away,L,00:39:17,38,14,25,56.0,6,12,50.0,4,5,80.0,1,2,3,5,3,2,3,4,-10
2021-05-02,BKN @ MIL,BKN,MIL,Away,L,00:36:37,20,8,21,38.1,2,8,25.0,2,2,100.0,2,5,7,6,2,0,4,1,3
2021-04-30,BKN vs. POR,BKN,POR,Home,L,00:33:07,28,12,26,46.2,2,8,25.0,2,2,100.0,0,2,2,3,1,0,1,1,-11
2021-04-27,BKN @ TOR,BKN,TOR,Away,W,00:34:58,9,3,13,23.1,1,5,20.0,2,2,100.0,2,4,6,4,1,1,3,2,2
2021-04-25,BKN vs. PHX,BKN,PHX,Home,W,00:35:20,34,10,19,52.6,5,7,71.4,9,9,100.0,1,5,6,12,0,0,3,1,5
2021-04-23,BKN vs. BOS,BKN,BOS,Home,W,00:34:26,15,4,19,21.1,0,6,0.0,7,7,100.0,0,9,9,11,4,1,5,3,-10
2021-04-21,BKN @ TOR,BKN,TOR,Away,L,00:37:08,28,10,21,47.6,2,5,40.0,6,6,100.0,2,9,11,8,3,1,3,1,-16
2021-04-20,BKN @ NOP,BKN,NOP,Away,W,00:37:43,32,12,19,63.2,3,7,42.9,5,6,83.3,0,2,2,8,1,0,5,3,-5
2021-04-18,BKN @ MIA,BKN,MIA,Away,L,00:37:35,20,6,19,31.6,2,9,22.2,6,6,100.0,1,3,4,9,2,2,4,3,-8
2021-04-16,BKN vs. CHA,BKN,CHA,Home,W,00:32:56,12,5,11,45.5,2,7,28.6,0,0,0.0,0,4,4,6,3,0,5,1,2
2021-04-14,BKN @ PHI,BKN,PHI,Away,L,00:33:14,37,13,22,59.1,1,3,33.3,10,10,100.0,1,2,3,9,2,1,3,1,-13
2021-04-10,BKN vs. LAL,BKN,LAL,Home,L,00:20:40,18,6,11,54.5,2,5,40.0,4,4,100.0,0,4,4,0,0,0,1,2,-3
2021-04-07,BKN vs. NOP,BKN,NOP,Home,W,00:30:07,24,7,14,50.0,4,6,66.7,6,6,100.0,1,1,2,6,0,1,1,4,29
2021-04-05,BKN vs. NYK,BKN,NYK,Home,W,00:37:16,40,15,28,53.6,5,12,41.7,5,5,100.0,0,2,2,7,1,0,2,4,-5
2021-04-04,BKN @ CHI,BKN,CHI,Away,L,00:38:46,24,12,27,44.4,0,4,0.0,0,0,0.0,0,2,2,15,2,0,1,3,-10
2021-04-01,BKN vs. CHA,BKN,CHA,Home,W,00:33:31,15,7,17,41.2,1,4,25.0,0,0,0.0,3,8,11,8,1,2,4,2,19
2021-03-31,BKN vs. HOU,BKN,HOU,Home,W,00:39:04,31,12,25,48.0,3,8,37.5,4,4,100.0,2,4,6,12,1,0,2,4,16
2021-03-29,BKN vs. MIN,BKN,MIN,Home,W,00:33:10,27,11,22,50.0,2,8,25.0,3,3,100.0,0,7,7,3,3,1,0,1,2
2021-03-21,BKN vs. WAS,BKN,WAS,Home,W,00:34:34,28,10,25,40.0,1,6,16.7,7,7,100.0,2,5,7,6,3,0,1,4,-7
2021-03-19,BKN @ ORL,BKN,ORL,Away,L,00:38:57,43,19,31,61.3,3,8,37.5,2,2,100.0,1,5,6,4,1,0,3,0,-11
2021-03-15,BKN vs. NYK,BKN,NYK,Home,W,00:36:47,34,13,18,72.2,4,6,66.7,4,6,66.7,0,1,1,4,1,0,3,3,7
2021-03-13,BKN vs. DET,BKN,DET,Home,W,00:35:45,18,8,18,44.4,0,6,0.0,2,2,100.0,0,4,4,5,3,1,5,2,8
2021-03-11,BKN vs. BOS,BKN,BOS,Home,W,00:34:27,40,15,23,65.2,5,8,62.5,5,5,100.0,2,6,8,3,1,1,3,2,1
2021-03-03,BKN @ HOU,BKN,HOU,Away,W,00:34:06,24,9,21,42.9,4,9,44.4,2,3,66.7,2,3,5,6,0,0,2,4,14
2021-03-01,BKN @ SAS,BKN,SAS,Away,W,00:42:25,27,9,24,37.5,6,10,60.0,3,4,75.0,0,6,6,7,0,1,0,0,4
2021-02-25,BKN vs. ORL,BKN,ORL,Home,W,00:30:28,27,11,18,61.1,1,6,16.7,4,5,80.0,2,3,5,9,2,0,1,2,24
2021-02-23,BKN vs. SAC,BKN,SAC,Home,W,00:36:35,21,8,22,36.4,2,6,33.3,3,3,100.0,4,1,5,7,3,0,3,3,17
2021-02-21,BKN @ LAC,BKN,LAC,Away,W,00:39:35,28,12,26,46.2,2,11,18.2,2,2,100.0,2,2,4,8,1,0,0,3,1
2021-02-18,BKN @ LAL,BKN,LAL,Away,W,00:33:48,16,7,17,41.2,0,5,0.0,2,4,50.0,3,4,7,5,1,0,5,3,12
2021-02-15,BKN @ SAC,BKN,SAC,Away,W,00:30:44,40,15,22,68.2,9,11,81.8,1,4,25.0,1,3,4,3,2,0,3,3,5
2021-02-13,BKN @ GSW,BKN,GSW,Away,W,00:33:39,23,10,17,58.8,2,5,40.0,1,1,100.0,2,3,5,4,1,0,1,1,22
2021-02-10,BKN vs. IND,BKN,IND,Home,W,00:35:25,35,8,17,47.1,2,6,33.3,17,17,100.0,2,2,4,8,1,2,2,4,17
2021-02-09,BKN @ DET,BKN,DET,Away,L,00:35:22,27,12,28,42.9,2,9,22.2,1,1,100.0,0,2,2,7,2,0,1,5,-13
2021-02-05,BKN vs. TOR,BKN,TOR,Home,L,00:35:01,15,6,12,50.0,0,4,0.0,3,4,75.0,0,5,5,5,0,1,7,1,-8
2021-02-02,BKN vs. LAC,BKN,LAC,Home,W,00:36:37,39,15,23,65.2,6,8,75.0,3,3,100.0,1,4,5,2,1,2,1,4,-4
2021-01-31,BKN @ WAS,BKN,WAS,Away,L,00:38:12,26,10,20,50.0,1,2,50.0,5,5,100.0,1,3,4,8,0,0,3,2,3
2021-01-29,BKN @ OKC,BKN,OKC,Away,W,00:33:40,25,10,16,62.5,1,3,33.3,4,4,100.0,2,3,5,7,1,1,3,2,25
2021-01-27,BKN @ ATL,BKN,ATL,Away,W,00:41:56,26,11,17,64.7,1,3,33.3,3,4,75.0,1,3,4,7,0,2,2,5,-7
2021-01-25,BKN vs. MIA,BKN,MIA,Home,W,00:39:46,16,6,17,35.3,1,4,25.0,3,3,100.0,0,8,8,4,1,0,2,2,10
2021-01-23,BKN vs. MIA,BKN,MIA,Home,W,00:36:23,28,10,17,58.8,3,5,60.0,5,6,83.3,1,5,6,7,0,1,2,5,5
2021-01-22,BKN @ CLE,BKN,CLE,Away,L,00:30:50,38,14,24,58.3,4,9,44.4,6,6,100.0,1,0,1,5,0,1,2,3,-11
2021-01-20,BKN @ CLE,BKN,CLE,Away,L,00:48:22,37,15,28,53.6,3,8,37.5,4,5,80.0,1,1,2,3,1,3,4,4,-7
2021-01-05,BKN vs. UTA,BKN,UTA,Home,W,00:29:35,29,12,19,63.2,5,7,71.4,0,0,0.0,0,6,6,5,3,0,2,3,22
2021-01-03,BKN vs. WAS,BKN,WAS,Home,L,00:39:03,30,10,20,50.0,2,7,28.6,8,8,100.0,0,5,5,10,2,2,5,3,11
2021-01-01,BKN vs. ATL,BKN,ATL,Home,L,00:33:07,18,6,21,28.6,2,11,18.2,4,4,100.0,3,8,11,4,2,0,1,0,-3
