Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,DEN @ POR,DEN,POR,Away,L,00:16:41,21,9,17,52.9,0,3,0.0,3,3,100.0,1,2,3,2,1,0,1,3,-13
2021-05-14,DEN @ DET,DEN,DET,Away,W,00:26:28,20,7,11,63.6,0,0,0.0,6,7,85.7,3,12,15,11,0,0,1,2,18
2021-05-13,DEN @ MIN,DEN,MIN,Away,W,00:32:13,31,14,21,66.7,0,3,0.0,3,3,100.0,6,8,14,4,1,1,2,2,8
2021-05-11,DEN @ CHA,DEN,CHA,Away,W,00:32:57,30,7,16,43.8,0,2,0.0,16,17,94.1,2,9,11,6,0,0,2,2,12
2021-05-08,DEN vs. BKN,DEN,BKN,Home,L,00:36:55,29,10,21,47.6,0,5,0.0,9,9,100.0,3,4,7,6,0,0,5,3,3
2021-05-07,DEN @ UTA,DEN,UTA,Away,L,00:35:02,24,9,11,81.8,2,2,100.0,4,4,100.0,2,7,9,13,0,1,5,5,-4
2021-05-05,DEN vs. NYK,DEN,NYK,Home,W,00:29:08,32,10,16,62.5,0,2,0.0,12,15,80.0,3,9,12,6,2,2,4,3,15
2021-05-03,DEN @ LAL,DEN,LAL,Away,L,00:35:36,32,12,28,42.9,1,4,25.0,7,8,87.5,3,6,9,5,2,1,2,4,3
2021-05-01,DEN @ LAC,DEN,LAC,Away,W,00:33:22,30,9,17,52.9,2,6,33.3,10,10,100.0,2,12,14,7,0,1,0,4,-3
2021-04-29,DEN vs. TOR,DEN,TOR,Home,W,00:28:25,19,8,13,61.5,2,3,66.7,1,1,100.0,4,7,11,2,1,0,1,1,-4
2021-04-28,DEN vs. NOP,DEN,NOP,Home,W,00:36:29,32,12,20,60.0,2,4,50.0,6,8,75.0,0,7,7,8,3,3,6,1,7
2021-04-26,DEN vs. MEM,DEN,MEM,Home,W,00:29:41,24,6,12,50.0,2,3,66.7,10,10,100.0,1,14,15,5,2,0,6,3,11
2021-04-24,DEN vs. HOU,DEN,HOU,Home,W,00:29:01,24,10,14,71.4,0,0,0.0,4,6,66.7,0,8,8,12,1,1,4,4,10
2021-04-23,DEN @ GSW,DEN,GSW,Away,L,00:33:23,19,7,16,43.8,0,3,0.0,5,5,100.0,0,6,6,6,0,0,1,2,-18
2021-04-21,DEN @ POR,DEN,POR,Away,W,00:35:37,25,9,18,50.0,1,6,16.7,6,7,85.7,4,5,9,5,0,1,4,0,3
2021-04-19,DEN vs. MEM,DEN,MEM,Home,W,00:45:04,47,20,31,64.5,2,6,33.3,5,6,83.3,7,8,15,8,0,1,7,3,3
2021-04-16,DEN @ HOU,DEN,HOU,Away,W,00:27:05,29,10,12,83.3,1,1,100.0,8,9,88.9,6,10,16,7,2,0,0,3,9
2021-04-14,DEN vs. MIA,DEN,MIA,Home,W,00:32:03,17,6,14,42.9,1,2,50.0,4,5,80.0,4,6,10,11,1,2,2,3,7
2021-04-12,DEN @ GSW,DEN,GSW,Away,L,00:37:17,27,10,21,47.6,1,5,20.0,6,8,75.0,4,8,12,8,1,1,4,1,-14
2021-04-11,DEN vs. BOS,DEN,BOS,Home,L,00:31:30,17,6,15,40.0,0,2,0.0,5,7,71.4,2,8,10,11,1,1,2,3,9
2021-04-09,DEN vs. SAS,DEN,SAS,Home,W,00:38:21,26,9,17,52.9,2,2,100.0,6,6,100.0,5,8,13,14,1,0,6,4,7
2021-04-07,DEN vs. SAS,DEN,SAS,Home,W,00:30:27,25,11,18,61.1,0,2,0.0,3,4,75.0,1,8,9,10,1,0,6,0,5
2021-04-06,DEN vs. DET,DEN,DET,Home,W,00:26:46,27,13,16,81.3,0,0,0.0,1,2,50.0,2,6,8,11,1,1,1,3,9
2021-04-04,DEN vs. ORL,DEN,ORL,Home,W,00:37:42,17,5,11,45.5,0,1,0.0,7,9,77.8,2,7,9,16,1,0,4,4,15
