Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-08,TOR vs. MEM,TOR,MEM,Home,L,00:30:18,18,8,21,38.1,0,4,0.0,2,4,50.0,2,1,3,4,0,0,2,0,-12
2021-05-06,TOR vs. WAS,TOR,WAS,Home,L,00:42:13,44,17,28,60.7,2,6,33.3,8,11,72.7,2,9,11,7,1,0,4,3,0
2021-05-04,TOR @ LAC,TOR,LAC,Away,L,00:41:41,24,10,24,41.7,1,5,20.0,3,4,75.0,0,7,7,2,3,0,4,2,-4
2021-05-02,TOR @ LAL,TOR,LAL,Away,W,00:38:27,39,15,26,57.7,4,8,50.0,5,7,71.4,3,10,13,4,2,2,4,2,13
2021-05-01,TOR @ UTA,TOR,UTA,Away,L,00:40:00,15,7,18,38.9,1,3,33.3,0,0,0.0,3,4,7,0,3,0,4,3,0
2021-04-29,TOR @ DEN,TOR,DEN,Away,L,00:31:49,11,5,11,45.5,1,1,100.0,0,0,0.0,1,4,5,2,1,0,2,0,-13
2021-04-27,TOR vs. BKN,TOR,BKN,Home,L,00:35:07,10,2,16,12.5,0,5,0.0,6,6,100.0,4,3,7,2,1,0,3,3,-9
2021-04-26,TOR vs. CLE,TOR,CLE,Home,W,00:31:20,25,11,19,57.9,2,5,40.0,1,2,50.0,0,5,5,4,0,1,3,5,17
2021-04-24,TOR @ NYK,TOR,NYK,Away,L,00:40:37,26,8,19,42.1,5,9,55.6,5,6,83.3,1,6,7,5,1,0,3,3,-12
2021-04-21,TOR vs. BKN,TOR,BKN,Home,W,00:37:32,27,10,19,52.6,2,5,40.0,5,6,83.3,0,9,9,6,2,0,2,2,16
2021-04-14,TOR vs. SAS,TOR,SAS,Home,W,00:37:25,20,7,20,35.0,0,1,0.0,6,7,85.7,2,9,11,6,2,1,2,4,4
2021-04-13,TOR vs. ATL,TOR,ATL,Home,L,00:40:25,30,13,19,68.4,1,5,20.0,3,4,75.0,0,6,6,7,0,2,5,4,4
2021-04-11,TOR @ NYK,TOR,NYK,Away,L,00:35:36,16,5,18,27.8,1,5,20.0,5,5,100.0,0,0,0,7,0,2,5,6,-4
2021-04-08,TOR vs. CHI,TOR,CHI,Home,L,00:38:18,27,10,17,58.8,1,2,50.0,6,7,85.7,0,8,8,1,0,2,2,3,8
2021-04-06,TOR vs. LAL,TOR,LAL,Home,L,00:40:50,27,7,21,33.3,0,6,0.0,13,15,86.7,4,3,7,2,2,1,1,3,5
2021-04-05,TOR vs. WAS,TOR,WAS,Home,W,00:36:08,22,10,16,62.5,0,4,0.0,2,2,100.0,1,4,5,3,2,1,3,3,-20
2021-04-02,TOR vs. GSW,TOR,GSW,Home,W,00:31:08,36,14,24,58.3,4,9,44.4,4,4,100.0,0,7,7,5,2,0,0,2,49
2021-03-31,TOR @ OKC,TOR,OKC,Away,L,00:37:40,14,2,9,22.2,1,3,33.3,9,10,90.0,1,6,7,4,1,0,2,3,-7
2021-03-29,TOR @ DET,TOR,DET,Away,L,00:28:20,14,5,14,35.7,0,3,0.0,4,4,100.0,4,2,6,5,0,0,2,6,-1
2021-03-28,TOR vs. POR,TOR,POR,Home,L,00:39:08,26,8,16,50.0,2,3,66.7,8,10,80.0,1,7,8,2,0,0,2,4,3
2021-03-26,TOR vs. PHX,TOR,PHX,Home,L,00:37:58,26,8,17,47.1,0,6,0.0,10,11,90.9,2,9,11,6,1,1,2,3,3
2021-03-24,TOR vs. DEN,TOR,DEN,Home,W,00:34:37,27,8,16,50.0,3,7,42.9,8,9,88.9,1,7,8,6,1,1,1,4,34
2021-03-22,TOR @ HOU,TOR,HOU,Away,L,00:35:46,21,9,18,50.0,1,3,33.3,2,3,66.7,3,7,10,3,1,1,2,5,-13
2021-03-21,TOR @ CLE,TOR,CLE,Away,L,00:24:31,9,4,12,33.3,1,3,33.3,0,0,0.0,1,2,3,2,2,0,2,2,-11
2021-03-19,TOR vs. UTA,TOR,UTA,Home,L,00:33:26,27,9,22,40.9,4,10,40.0,5,5,100.0,0,5,5,9,1,0,1,3,8
2021-03-17,TOR @ DET,TOR,DET,Away,L,00:30:17,13,3,11,27.3,0,3,0.0,7,10,70.0,1,4,5,3,0,1,2,3,4
2021-02-24,TOR @ MIA,TOR,MIA,Away,L,00:24:09,5,1,6,16.7,1,3,33.3,2,2,100.0,0,2,2,4,0,0,3,4,-3
2021-02-23,TOR vs. PHI,TOR,PHI,Home,L,00:42:20,22,9,18,50.0,1,6,16.7,3,3,100.0,0,6,6,7,3,1,1,5,4
2021-02-21,TOR vs. PHI,TOR,PHI,Home,W,00:40:34,23,8,18,44.4,1,3,33.3,6,6,100.0,1,6,7,8,1,0,2,4,-1
2021-02-19,TOR @ MIN,TOR,MIN,Away,W,00:35:10,10,4,10,40.0,0,2,0.0,2,3,66.7,2,7,9,6,1,3,2,1,12
2021-02-18,TOR @ MIL,TOR,MIL,Away,W,00:37:58,27,9,18,50.0,2,4,50.0,7,7,100.0,0,6,6,5,1,2,1,1,10
2021-02-16,TOR @ MIL,TOR,MIL,Away,W,00:38:46,23,8,23,34.8,2,8,25.0,5,6,83.3,5,8,13,6,1,0,2,2,14
2021-02-14,TOR vs. MIN,TOR,MIN,Home,L,00:36:43,18,6,19,31.6,1,3,33.3,5,5,100.0,1,7,8,6,2,1,3,4,-6
2021-02-11,TOR @ BOS,TOR,BOS,Away,L,00:35:07,23,8,14,57.1,2,4,50.0,5,7,71.4,0,4,4,2,1,0,1,2,-11
2021-02-10,TOR @ WAS,TOR,WAS,Away,W,00:34:28,26,9,18,50.0,3,4,75.0,5,7,71.4,1,4,5,2,1,1,1,3,27
2021-02-08,TOR @ MEM,TOR,MEM,Away,W,00:39:02,32,11,18,61.1,5,8,62.5,5,7,71.4,0,5,5,6,1,1,1,3,11
2021-02-06,TOR @ ATL,TOR,ATL,Away,L,00:32:55,15,6,15,40.0,1,3,33.3,2,2,100.0,1,5,6,3,3,2,0,4,-7
2021-02-05,TOR @ BKN,TOR,BKN,Away,W,00:38:36,33,12,23,52.2,0,2,0.0,9,10,90.0,4,7,11,6,3,1,0,3,11
2021-02-02,TOR @ ORL,TOR,ORL,Away,W,00:36:24,12,4,11,36.4,0,2,0.0,4,4,100.0,1,4,5,8,1,0,4,1,15
2021-01-31,TOR vs. ORL,TOR,ORL,Home,W,00:33:54,30,12,23,52.2,0,2,0.0,6,6,100.0,3,7,10,3,3,1,2,1,27
2021-01-29,TOR vs. SAC,TOR,SAC,Home,L,00:37:50,32,11,20,55.0,0,1,0.0,10,14,71.4,0,4,4,2,1,0,3,2,-11
2021-01-27,TOR vs. MIL,TOR,MIL,Home,L,00:35:07,11,5,12,41.7,1,4,25.0,0,0,0.0,4,5,9,3,0,0,2,2,-17
2021-01-22,TOR vs. MIA,TOR,MIA,Home,W,00:33:20,15,6,12,50.0,1,3,33.3,2,4,50.0,5,9,14,5,1,0,4,1,18
2021-01-20,TOR vs. MIA,TOR,MIA,Home,L,00:36:46,18,7,15,46.7,0,3,0.0,4,4,100.0,3,3,6,2,1,0,2,3,-4
2021-01-18,TOR vs. DAL,TOR,DAL,Home,W,00:33:50,19,7,19,36.8,0,4,0.0,5,5,100.0,0,3,3,5,0,0,3,2,13
2021-01-16,TOR vs. CHA,TOR,CHA,Home,W,00:32:04,9,4,14,28.6,0,5,0.0,1,2,50.0,2,3,5,4,0,2,3,4,6
2021-01-14,TOR vs. CHA,TOR,CHA,Home,W,00:37:42,15,6,15,40.0,2,6,33.3,1,1,100.0,3,4,7,4,3,1,2,3,1
2021-01-11,TOR @ POR,TOR,POR,Away,L,00:36:45,22,9,17,52.9,0,2,0.0,4,4,100.0,3,10,13,10,1,0,3,5,-2
2021-01-10,TOR @ GSW,TOR,GSW,Away,L,00:40:27,25,9,19,47.4,2,4,50.0,5,9,55.6,5,6,11,3,0,0,2,2,7
2021-01-08,TOR @ SAC,TOR,SAC,Away,W,00:33:09,17,7,11,63.6,1,2,50.0,2,2,100.0,3,6,9,12,1,1,2,5,17
