Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-13,LAC @ CHA,LAC,CHA,Away,W,00:34:51,20,7,19,36.8,5,13,38.5,1,3,33.3,0,10,10,6,1,0,3,1,17
2021-05-11,LAC @ TOR,LAC,TOR,Away,W,00:33:14,16,5,15,33.3,2,9,22.2,4,4,100.0,1,3,4,4,1,1,6,3,27
2021-05-09,LAC vs. NYK,LAC,NYK,Home,L,00:41:23,18,8,20,40.0,2,9,22.2,0,0,0.0,1,7,8,4,0,0,2,3,-7
2021-05-06,LAC vs. LAL,LAC,LAL,Home,W,00:30:39,24,8,12,66.7,3,5,60.0,5,5,100.0,1,6,7,5,0,0,5,3,26
2021-05-04,LAC vs. TOR,LAC,TOR,Home,W,00:34:45,22,8,16,50.0,2,7,28.6,4,5,80.0,0,9,9,4,0,1,2,3,6
2021-05-01,LAC vs. DEN,LAC,DEN,Home,L,00:37:36,20,5,21,23.8,3,8,37.5,7,11,63.6,0,7,7,2,1,0,0,1,3
2021-04-28,LAC @ PHX,LAC,PHX,Away,L,00:36:09,25,9,21,42.9,3,9,33.3,4,6,66.7,0,10,10,4,3,0,5,5,-14
2021-04-26,LAC @ NOP,LAC,NOP,Away,L,00:24:37,9,3,11,27.3,1,6,16.7,2,2,100.0,0,3,3,3,0,1,4,4,-14
2021-04-23,LAC @ HOU,LAC,HOU,Away,W,00:33:55,33,10,27,37.0,3,10,30.0,10,10,100.0,2,12,14,4,2,0,7,3,-3
2021-04-20,LAC @ POR,LAC,POR,Away,W,00:36:51,33,13,22,59.1,2,8,25.0,5,6,83.3,0,11,11,3,2,0,3,1,10
2021-04-18,LAC vs. MIN,LAC,MIN,Home,W,00:26:52,23,9,17,52.9,4,9,44.4,1,2,50.0,2,5,7,5,2,1,3,3,27
2021-04-16,LAC @ PHI,LAC,PHI,Away,L,00:39:03,37,14,29,48.3,4,12,33.3,5,7,71.4,2,7,9,6,1,2,7,3,-4
2021-04-13,LAC @ IND,LAC,IND,Away,W,00:38:29,36,13,25,52.0,4,7,57.1,6,6,100.0,0,7,7,8,2,0,5,3,4
2021-04-11,LAC vs. DET,LAC,DET,Home,W,00:36:36,32,12,25,48.0,1,5,20.0,7,7,100.0,2,1,3,9,1,0,2,1,2
2021-04-08,LAC vs. PHX,LAC,PHX,Home,W,00:33:58,33,12,19,63.2,7,9,77.8,2,2,100.0,0,7,7,3,2,0,1,4,17
2021-04-06,LAC vs. POR,LAC,POR,Home,W,00:34:00,36,11,18,61.1,6,9,66.7,8,8,100.0,1,2,3,5,1,1,3,3,7
2021-04-04,LAC vs. LAL,LAC,LAL,Home,W,00:31:50,16,6,14,42.9,2,4,50.0,2,2,100.0,0,7,7,3,2,0,5,3,15
2021-04-01,LAC vs. DEN,LAC,DEN,Home,L,00:31:36,17,5,15,33.3,2,7,28.6,5,6,83.3,2,6,8,5,0,0,2,2,-3
2021-03-27,LAC vs. PHI,LAC,PHI,Home,W,00:37:32,24,8,18,44.4,1,5,20.0,7,7,100.0,0,9,9,9,3,1,3,4,12
2021-03-25,LAC @ SAS,LAC,SAS,Away,W,00:34:26,24,10,28,35.7,2,5,40.0,2,3,66.7,4,9,13,4,0,0,2,0,20
2021-03-24,LAC @ SAS,LAC,SAS,Away,W,00:33:19,17,8,18,44.4,0,6,0.0,1,2,50.0,0,6,6,4,1,0,1,2,22
2021-03-22,LAC vs. ATL,LAC,ATL,Home,W,00:33:05,8,3,12,25.0,2,7,28.6,0,0,0.0,0,3,3,7,2,1,4,3,-4
2021-03-20,LAC vs. CHA,LAC,CHA,Home,W,00:32:45,21,8,14,57.1,4,8,50.0,1,1,100.0,0,5,5,10,0,0,0,4,31
2021-03-17,LAC @ DAL,LAC,DAL,Away,L,00:41:21,28,10,20,50.0,5,8,62.5,3,3,100.0,0,7,7,5,1,1,4,0,-10
2021-03-15,LAC @ DAL,LAC,DAL,Away,W,00:37:49,15,5,18,27.8,2,6,33.3,3,4,75.0,2,5,7,4,0,0,4,2,5
2021-03-14,LAC @ NOP,LAC,NOP,Away,L,00:23:15,15,5,14,35.7,1,8,12.5,4,4,100.0,1,2,3,3,1,0,4,3,-24
2021-03-11,LAC vs. GSW,LAC,GSW,Home,W,00:26:50,17,5,14,35.7,3,6,50.0,4,5,80.0,0,7,7,5,3,0,1,2,32
2021-03-02,LAC @ BOS,LAC,BOS,Away,L,00:38:38,32,12,26,46.2,5,15,33.3,3,3,100.0,2,3,5,4,1,0,2,4,6
2021-02-28,LAC @ MIL,LAC,MIL,Away,L,00:37:39,16,7,21,33.3,2,10,20.0,0,0,0.0,1,6,7,7,0,1,3,3,-2
